START-OF-LOG: 3.0
CALLSIGN: K9QJ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 71250
NAME: Dwight Aussieker
LOCATION: IL
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY:
SOAPBOX: Second attempt at a CW contest. All S&P. If I get most QSO to confirm
SOAPBOX: I should have CW DXCC. I thought I would never be able to do CW or
SOAPBOX: even come close to CW DXCC. I'm beginning to like CW.
QSO: 14038 CW 2017-11-26 2049 K9QJ          599 04     OH8X          599 15    0
QSO: 14036 CW 2017-11-26 2040 K9QJ          599 04     YW4D          599 09    0
QSO: 14026 CW 2017-11-26 2016 K9QJ          599 04     KH7B          599 31    0
QSO: 14018 CW 2017-11-26 2001 K9QJ          599 04     OH8WW         599 15    0
QSO: 14017 CW 2017-11-26 1959 K9QJ          599 04     C6AGU         599 08    0
QSO: 14015 CW 2017-11-26 1954 K9QJ          599 04     UP2L          599 17    0
QSO: 14001 CW 2017-11-26 1939 K9QJ          599 04     3B9HA         599 39    0
QSO: 21030 CW 2017-11-26 1910 K9QJ          599 04     KH6LC         599 31    0
QSO: 21020 CW 2017-11-26 1903 K9QJ          599 04     XE2AU         599 06    0
QSO: 21012 CW 2017-11-26 1831 K9QJ          599 04     CR2M          599 14    0
QSO: 21006 CW 2017-11-26 1828 K9QJ          599 04     6Y0W          599 08    0
QSO: 14055 CW 2017-11-26 1806 K9QJ          599 04     CN2AA         599 33    0
QSO: 14050 CW 2017-11-26 1756 K9QJ          599 04     ZF9CW         599 08    0
QSO: 14049 CW 2017-11-26 1752 K9QJ          599 04     EA5GX         599 14    0
QSO: 14046 CW 2017-11-26 1750 K9QJ          599 04     F8AAN         599 14    0
QSO: 14043 CW 2017-11-26 1746 K9QJ          599 04     P40L          599 09    0
QSO: 14042 CW 2017-11-26 1742 K9QJ          599 04     PZ5V          599 09    0
QSO: 14041 CW 2017-11-26 1739 K9QJ          599 04     CR3W          599 33    0
QSO: 14039 CW 2017-11-26 1735 K9QJ          599 04     YL3IZ/MM      599 07    0
QSO: 14038 CW 2017-11-26 1734 K9QJ          599 04     OA4SS         599 10    0
QSO: 14038 CW 2017-11-26 1727 K9QJ          599 04     EF2A          599 14    0
QSO: 14038 CW 2017-11-26 1634 K9QJ          599 04     OE8Q          599 15    0
QSO: 14036 CW 2017-11-26 1627 K9QJ          599 04     IO2X          599 15    0
QSO: 14032 CW 2017-11-26 1621 K9QJ          599 04     EF5F          599 14    0
QSO: 14032 CW 2017-11-26 1617 K9QJ          599 04     IK4VFD        599 15    0
QSO: 14031 CW 2017-11-26 1612 K9QJ          599 04     IT9BXR        599 15    0
QSO: 14030 CW 2017-11-26 1608 K9QJ          599 04     GW5R          599 14    0
QSO: 14027 CW 2017-11-26 1604 K9QJ          599 04     E77W          599 15    0
QSO: 14026 CW 2017-11-26 1603 K9QJ          599 04     OL3Z          599 15    0
QSO: 14025 CW 2017-11-26 1559 K9QJ          599 04     9A1A          599 15    0
QSO: 14025 CW 2017-11-26 1556 K9QJ          599 04     PA0GJV        599 14    0
QSO: 14025 CW 2017-11-26 1554 K9QJ          599 04     S50R          599 15    0
QSO: 14024 CW 2017-11-26 1553 K9QJ          599 04     OP4K          599 14    0
QSO: 14024 CW 2017-11-26 1545 K9QJ          599 04     OP4K          599 14    0
QSO: 14023 CW 2017-11-26 1543 K9QJ          599 04     PA1FP         599 14    0
QSO: 14021 CW 2017-11-26 1539 K9QJ          599 04     G3V           599 14    0
QSO: 14019 CW 2017-11-26 1534 K9QJ          599 04     PA6X          599 14    0
QSO: 14015 CW 2017-11-26 1528 K9QJ          599 04     HG5C          599 15    0
QSO: 14015 CW 2017-11-26 1527 K9QJ          599 04     TM1A          599 14    0
QSO: 14014 CW 2017-11-26 1524 K9QJ          599 04     HQ9X          599 07    0
QSO: 14010 CW 2017-11-26 1514 K9QJ          599 04     SO4M          599 15    0
QSO: 14009 CW 2017-11-26 1510 K9QJ          599 04     HA8M          599 15    0
QSO: 14009 CW 2017-11-26 1510 K9QJ          599 04     DL2OE         599 14    0
QSO: 14008 CW 2017-11-26 1508 K9QJ          599 04     HG5D          599 15    0
QSO: 14007 CW 2017-11-26 1504 K9QJ          599 04     HB9CA         599 14    0
QSO: 14006 CW 2017-11-26 1336 K9QJ          599 04     DD2ML         599 14    0
QSO: 14004 CW 2017-11-26 1330 K9QJ          599 04     LZ5Z          599 20    0
QSO: 14002 CW 2017-11-26 1328 K9QJ          599 04     IR4B          599 15    0
QSO: 14001 CW 2017-11-26 1325 K9QJ          599 04     LZ5R          599 20    0
QSO: 14000 CW 2017-11-26 1323 K9QJ          599 04     RK4FF         599 16    0
QSO:  7014 CW 2017-11-26 1318 K9QJ          599 04     VK2AL         599 30    0
QSO:  7047 CW 2017-11-26 1246 K9QJ          599 04     ZM4T          599 32    0
QSO:  7047 CW 2017-11-26 1210 K9QJ          599 04     ZM4T          599 32    0
QSO:  7034 CW 2017-11-26 1157 K9QJ          599 04     J35B          599 08    0
QSO:  7032 CW 2017-11-26 1154 K9QJ          599 04     YN2CC         599 07    0
QSO:  7016 CW 2017-11-26 1141 K9QJ          599 04     C6AGU         599 08    0
QSO:  7010 CW 2017-11-26 1134 K9QJ          599 04     T40A          599 08    0
QSO:  7062 CW 2017-11-26 0556 K9QJ          599 04     EA8ZS         599 33    0
QSO:  7057 CW 2017-11-26 0553 K9QJ          599 04     V47T          599 08    0
QSO:  7056 CW 2017-11-26 0551 K9QJ          599 04     XE2X          599 06    0
QSO:  7054 CW 2017-11-26 0548 K9QJ          599 04     CU4DX         599 14    0
QSO:  7044 CW 2017-11-26 0542 K9QJ          599 04     ZF2MJ         599 08    0
QSO:  7033 CW 2017-11-26 0530 K9QJ          599 04     KH7M          599 31    0
QSO:  7025 CW 2017-11-26 0513 K9QJ          599 04     IR4X          599 15    0
QSO:  7023 CW 2017-11-26 0508 K9QJ          599 04     CE3CT         599 12    0
QSO:  7021 CW 2017-11-26 0132 K9QJ          599 04     9A7A          599 15    0
QSO:  7012 CW 2017-11-26 0124 K9QJ          599 04     IR4M          599 15    0
QSO:  7012 CW 2017-11-26 0123 K9QJ          599 04     IR2L          599 15    0
