START-OF-LOG: 3.0
CREATED-BY: Xped version(3.2.65.4)
CALLSIGN: JA3YBK
CONTEST: CQ-WW-CW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: UNLIMITED
CLAIMED-SCORE: 11172582
NAME: Mt.RF Shigeaki Furukawa
OPERATORS: JS1PWV, JH3PRR, JG3KIV, JG3MRT, JG3WDN, JN3NFQ, JH4NMT, JR4ISF, JF4FUF, JM4MGM
SOAPBOX:
QSO: 28012 CW 2017-11-25 0000 JA3YBK        599 25     CW5W          599 13
QSO:  7004 CW 2017-11-25 0000 JA3YBK        599 25     OL3A          599 15
QSO: 14029 CW 2017-11-25 0001 JA3YBK        599 25     WU9B          599 3
QSO: 28012 CW 2017-11-25 0001 JA3YBK        599 25     JA2GHP        599 25
QSO: 14029 CW 2017-11-25 0001 JA3YBK        599 25     N6FE          599 3
QSO: 14029 CW 2017-11-25 0002 JA3YBK        599 25     R0CAF         599 19
QSO: 21028 CW 2017-11-25 0002 JA3YBK        599 25     NK6A          599 3
QSO: 14029 CW 2017-11-25 0002 JA3YBK        599 25     K3WYC         599 3
QSO: 28012 CW 2017-11-25 0002 JA3YBK        599 25     PP5FB         599 11
QSO: 21028 CW 2017-11-25 0003 JA3YBK        599 25     W6TK          599 3
QSO:  7005 CW 2017-11-25 0003 JA3YBK        599 25     RV9UP         599 18
QSO: 14029 CW 2017-11-25 0003 JA3YBK        599 25     KM5G          599 4
QSO: 21028 CW 2017-11-25 0003 JA3YBK        599 25     VE7JKZ        599 3
QSO: 14029 CW 2017-11-25 0003 JA3YBK        599 25     YC1ZAZ        599 28
QSO: 21028 CW 2017-11-25 0004 JA3YBK        599 25     N7RCS         599 3
QSO:  7006 CW 2017-11-25 0004 JA3YBK        599 25     DT0HH         599 25
QSO: 21028 CW 2017-11-25 0004 JA3YBK        599 25     N0KE          599 4
QSO: 14029 CW 2017-11-25 0004 JA3YBK        599 25     K6KQV         599 3
QSO: 21028 CW 2017-11-25 0005 JA3YBK        599 25     W7AYY         599 3
QSO:  7003 CW 2017-11-25 0005 JA3YBK        599 25     DF0HQ         599 14
QSO: 21028 CW 2017-11-25 0005 JA3YBK        599 25     NT6XX         599 3
QSO:  7002 CW 2017-11-25 0005 JA3YBK        599 25     P33W          599 20
QSO: 21028 CW 2017-11-25 0005 JA3YBK        599 25     W6JTI         599 3
QSO: 14029 CW 2017-11-25 0006 JA3YBK        599 25     K6WSC         599 3
QSO: 14029 CW 2017-11-25 0006 JA3YBK        599 25     BG3GEF        599 23
QSO: 14029 CW 2017-11-25 0007 JA3YBK        599 25     HS8KGG        599 26
QSO: 21028 CW 2017-11-25 0007 JA3YBK        599 25     KZ5J          599 4
QSO: 14029 CW 2017-11-25 0007 JA3YBK        599 25     AD1C          599 4
QSO: 21028 CW 2017-11-25 0007 JA3YBK        599 25     K0DTJ         599 3
QSO: 14029 CW 2017-11-25 0008 JA3YBK        599 25     K6LL          599 3
QSO: 21028 CW 2017-11-25 0008 JA3YBK        599 25     K2YY/6        599 3
QSO: 21028 CW 2017-11-25 0008 JA3YBK        599 25     K7QA          599 4
QSO: 14029 CW 2017-11-25 0009 JA3YBK        599 25     KN0W          599 3
QSO: 21028 CW 2017-11-25 0009 JA3YBK        599 25     W1PR          599 3
QSO: 14029 CW 2017-11-25 0009 JA3YBK        599 25     YB1AR         599 28
QSO: 21028 CW 2017-11-25 0009 JA3YBK        599 25     K6SRZ         599 3
QSO:  7003 CW 2017-11-25 0009 JA3YBK        599 25     EU1WW         599 16
QSO: 14029 CW 2017-11-25 0010 JA3YBK        599 25     KZ5D          599 4
QSO: 21028 CW 2017-11-25 0010 JA3YBK        599 25     K5ZG          599 4
QSO: 21028 CW 2017-11-25 0010 JA3YBK        599 25     N0KQ          599 3
QSO: 21028 CW 2017-11-25 0010 JA3YBK        599 25     VE7GL         599 3
QSO: 14029 CW 2017-11-25 0010 JA3YBK        599 25     N0IJ          599 4
QSO: 14029 CW 2017-11-25 0011 JA3YBK        599 25     KD7H          599 3
QSO: 21028 CW 2017-11-25 0011 JA3YBK        599 25     K0RF          599 4
QSO: 14029 CW 2017-11-25 0011 JA3YBK        599 25     VE7AX         599 3
QSO: 28012 CW 2017-11-25 0011 JA3YBK        599 25     JA7ZFN        599 25
QSO: 21028 CW 2017-11-25 0011 JA3YBK        599 25     K7ZA          599 3
QSO: 28012 CW 2017-11-25 0011 JA3YBK        599 25     VK4KW         599 30
QSO: 14029 CW 2017-11-25 0012 JA3YBK        599 25     W6NUC         599 3
QSO: 21028 CW 2017-11-25 0012 JA3YBK        599 25     WA7BNM        599 3
QSO: 28012 CW 2017-11-25 0012 JA3YBK        599 25     JA2HZA        599 25
QSO: 21028 CW 2017-11-25 0012 JA3YBK        599 25     VE7ACN/7      599 3
QSO: 14029 CW 2017-11-25 0012 JA3YBK        599 25     PY2XV         599 11
QSO: 14029 CW 2017-11-25 0013 JA3YBK        599 25     YC2VOC        599 28
QSO: 21028 CW 2017-11-25 0013 JA3YBK        599 25     WB7FDQ        599 3
QSO: 21028 CW 2017-11-25 0013 JA3YBK        599 25     W6AYC         599 3
QSO:  7008 CW 2017-11-25 0014 JA3YBK        599 25     JT5DX         599 23
