START-OF-LOG: 3.0
CALLSIGN: K6JS
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 155760
NAME: Jim Selmi
LOCATION: CA
OPERATORS: K6JS
CLUB: northern california contest club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: 99 % S&P
SOAPBOX: Elecraft K3 - KPA500 - SteppIR BigIR Vertical w/80M coil
QSO: 14041 CW 2017-11-25 0003 K6JS          599 3      RT0F          599 19
QSO:  7003 CW 2017-11-25 0047 K6JS          599 3      ZF9CW         599 08
QSO:  7072 CW 2017-11-25 0057 K6JS          599 3      VE7NZ         599 03
QSO:  7024 CW 2017-11-25 0211 K6JS          599 3      6Y3M          599 08
QSO:  7025 CW 2017-11-25 0212 K6JS          599 3      VA7ADI        599 03
QSO:  7044 CW 2017-11-25 0214 K6JS          599 3      KH6J          599 31
QSO:  7057 CW 2017-11-25 0221 K6JS          599 3      XE2X          599 06
QSO:  7028 CW 2017-11-25 0337 K6JS          599 3      EF8R          599 33
QSO:  7022 CW 2017-11-25 0339 K6JS          599 3      KH7M          599 31
QSO:  7031 CW 2017-11-25 0347 K6JS          599 3      9Y4/VE3EY     599 09
QSO:  7031 CW 2017-11-25 0358 K6JS          599 3      9Y4/VE3EY     599 09
QSO:  3547 CW 2017-11-25 0422 K6JS          599 3      CN2R          599 33
QSO:  3552 CW 2017-11-25 0427 K6JS          599 3      CR3OO         599 33
QSO:  3560 CW 2017-11-25 0432 K6JS          599 3      VA7ADI        599 03
QSO:  3558 CW 2017-11-25 0434 K6JS          599 3      VE7VR         599 03
QSO:  3508 CW 2017-11-25 0458 K6JS          599 3      VA2WA         599 05
QSO:  3521 CW 2017-11-25 0503 K6JS          599 3      6Y3M          599 08
QSO:  3536 CW 2017-11-25 0505 K6JS          599 3      VE7GL         599 03
QSO:  3539 CW 2017-11-25 0506 K6JS          599 3      VE7AX         599 03
QSO:  3520 CW 2017-11-25 0515 K6JS          599 3      ZF9CW         599 08
QSO:  3515 CW 2017-11-25 0516 K6JS          599 3      W9RE          599 04
QSO:  3545 CW 2017-11-25 0523 K6JS          599 3      ZF2MJ         599 08
QSO:  3556 CW 2017-11-25 0532 K6JS          599 3      P40C          599 09
QSO:  3548 CW 2017-11-25 0600 K6JS          599 3      VE7ACN/7      599 03
QSO:  3550 CW 2017-11-25 0601 K6JS          599 3      VA7ST         599 03
QSO:  3513 CW 2017-11-25 0613 K6JS          599 3      KH6J          599 31
QSO:  3519 CW 2017-11-25 0633 K6JS          599 3      YN2CC         599 07
QSO:  3534 CW 2017-11-25 0634 K6JS          599 3      VE6BBP        599 04
QSO:  3540 CW 2017-11-25 0637 K6JS          599 3      KH6LC         599 31
QSO:  3544 CW 2017-11-25 0638 K6JS          599 3      VE3KP         599 04
QSO:  3569 CW 2017-11-25 0650 K6JS          599 3      HQ9X          599 07
QSO:  3535 CW 2017-11-25 0656 K6JS          599 3      VE7KW         599 03
QSO:  3562 CW 2017-11-25 0700 K6JS          599 3      KK1A/MM       599 01
QSO:  3562 CW 2017-11-25 0704 K6JS          599 3      VE2IR         599 05
QSO:  3553 CW 2017-11-25 0710 K6JS          599 3      V26K          599 08
QSO:  3552 CW 2017-11-25 0712 K6JS          599 3      VP5M          599 08
QSO:  3572 CW 2017-11-25 0718 K6JS          599 3      XL3T          599 04
QSO:  3509 CW 2017-11-25 0740 K6JS          599 3      C6AGU         599 08
QSO:  3539 CW 2017-11-25 0748 K6JS          599 3      VE7FO         599 03
QSO:  3528 CW 2017-11-25 0756 K6JS          599 3      XE2ST         599 06
QSO:  3501 CW 2017-11-25 0800 K6JS          599 3      JH1AEP        599 25
QSO:  3555 CW 2017-11-25 0811 K6JS          599 3      TI7W          599 07
