START-OF-LOG: 3.0
CALLSIGN: YO8BDW
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 80784
NAME: CRASI MILAN
LOCATION: DX
OPERATORS: YO8BDW
CLUB: CSTA SUCEAVA
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: FT817 Antenna: Delta loop 40m , Inverted Vee 80m
QSO:  7000 CW 2017-11-25 0109 YO8BDW        599 20     RV9UP         599 18
QSO:  7000 CW 2017-11-25 0124 YO8BDW        599 20     DL1T          599 14
QSO:  7000 CW 2017-11-25 0127 YO8BDW        599 20     RZ7T          599 16
QSO:  7000 CW 2017-11-25 0136 YO8BDW        599 20     UB4F          599 16
QSO:  7000 CW 2017-11-25 0148 YO8BDW        599 20     SJ2W          599 14
QSO:  3500 CW 2017-11-25 0158 YO8BDW        599 20     R9T           599 16
QSO:  3500 CW 2017-11-25 0201 YO8BDW        599 20     UX1UX         599 16
QSO:  3500 CW 2017-11-25 0203 YO8BDW        599 20     OM0WR         599 15
QSO:  3500 CW 2017-11-25 0208 YO8BDW        599 20     9A7M          599 15
QSO:  3500 CW 2017-11-25 0212 YO8BDW        599 20     RW2F          599 15
QSO:  3500 CW 2017-11-25 0215 YO8BDW        599 20     9A2KI         599 15
QSO:  3500 CW 2017-11-25 0219 YO8BDW        599 20     RX7K          599 16
QSO:  3500 CW 2017-11-25 0233 YO8BDW        599 20     HA6P          599 15
QSO:  7000 CW 2017-11-25 0241 YO8BDW        599 20     DR1D          599 14
QSO:  7000 CW 2017-11-25 0245 YO8BDW        599 20     II9P          599 15
QSO:  7000 CW 2017-11-25 0251 YO8BDW        599 20     M7T           599 14
QSO:  7000 CW 2017-11-25 0300 YO8BDW        599 20     TM3R          599 14
QSO:  7000 CW 2017-11-25 0301 YO8BDW        599 20     TM1A          599 14
QSO:  7000 CW 2017-11-25 0302 YO8BDW        599 20     RC6U          599 16
QSO:  7000 CW 2017-11-25 0307 YO8BDW        599 20     UA4I          599 16
QSO:  7000 CW 2017-11-25 0309 YO8BDW        599 20     UI8J          599 17
QSO:  7000 CW 2017-11-25 0315 YO8BDW        599 20     4X/UT9CTT     599 20
QSO:  7000 CW 2017-11-25 0316 YO8BDW        599 20     RM8L          599 17
QSO:  7000 CW 2017-11-25 0326 YO8BDW        599 20     RM9A          599 17
QSO:  7000 CW 2017-11-25 0331 YO8BDW        599 20     IZ9T          599 15
QSO:  7000 CW 2017-11-25 0339 YO8BDW        599 20     RA9Y          599 18
QSO:  7000 CW 2017-11-25 0347 YO8BDW        599 20     R9PA          599 18
QSO:  7000 CW 2017-11-25 0349 YO8BDW        599 20     RX9F          599 17
QSO:  7000 CW 2017-11-25 0353 YO8BDW        599 20     RC9A          599 17
QSO:  7000 CW 2017-11-25 0407 YO8BDW        599 20     ED8X          599 33
QSO:  7000 CW 2017-11-25 0412 YO8BDW        599 20     EF3A          599 14
QSO:  7000 CW 2017-11-25 0420 YO8BDW        599 20     RU9TN         599 16
QSO:  7000 CW 2017-11-25 0429 YO8BDW        599 20     UP0L          599 17
QSO:  7000 CW 2017-11-25 0437 YO8BDW        599 20     R8TT          599 16
QSO:  7000 CW 2017-11-25 0500 YO8BDW        599 20     EF9R          599 33
QSO:  7000 CW 2017-11-25 0503 YO8BDW        599 20     UA9LDD        599 17
QSO:  7000 CW 2017-11-25 0504 YO8BDW        599 20     UA9ALE        599 17
QSO:  7000 CW 2017-11-25 0510 YO8BDW        599 20     UA3R          599 16
QSO:  7000 CW 2017-11-25 0514 YO8BDW        599 20     RX7M          599 16
QSO:  7000 CW 2017-11-25 0517 YO8BDW        599 20     RT8L          599 17
QSO:  7000 CW 2017-11-25 0518 YO8BDW        599 20     R5AJ          599 16
QSO:  7000 CW 2017-11-25 0522 YO8BDW        599 20     RU1A          599 16
QSO:  7000 CW 2017-11-25 0526 YO8BDW        599 20     SX1T          599 20
QSO:  7000 CW 2017-11-25 0528 YO8BDW        599 20     RT4D          599 16
QSO:  7000 CW 2017-11-25 0535 YO8BDW        599 20     R7AT          599 16
QSO:  7000 CW 2017-11-25 0540 YO8BDW        599 20     US7IID        599 16
QSO:  7000 CW 2017-11-25 0542 YO8BDW        599 20     UR6IM         599 16
QSO:  7000 CW 2017-11-25 0544 YO8BDW        599 20     RT6A          599 16
QSO:  7000 CW 2017-11-25 0819 YO8BDW        599 20     OM3CW         599 15
QSO: 21000 CW 2017-11-25 0824 YO8BDW        599 20     B1Z           599 24
QSO: 21000 CW 2017-11-25 0826 YO8BDW        599 20     RU9SN         599 16
QSO: 21000 CW 2017-11-25 0830 YO8BDW        599 20     UN9L          599 17
QSO: 21000 CW 2017-11-25 0833 YO8BDW        599 20     R9DA          599 17
QSO: 21000 CW 2017-11-25 0838 YO8BDW        599 20     4X6FR         599 20
QSO: 21000 CW 2017-11-25 0844 YO8BDW        599 20     RW4W          599 16
QSO: 21000 CW 2017-11-25 0901 YO8BDW        599 20     RM9A          599 17
QSO: 21000 CW 2017-11-25 0908 YO8BDW        599 20     RT9S          599 16
QSO: 21000 CW 2017-11-25 1208 YO8BDW        599 20     PS2T          599 11
QSO: 14000 CW 2017-11-25 1219 YO8BDW        599 20     RA4AR         599 16
QSO: 14000 CW 2017-11-25 1224 YO8BDW        599 20     OH8X          599 15
QSO: 14000 CW 2017-11-25 1226 YO8BDW        599 20     DK0TA         599 14
QSO: 14000 CW 2017-11-25 1230 YO8BDW        599 20     4X6FR         599 20
QSO: 14000 CW 2017-11-25 1232 YO8BDW        599 20     LX4A          599 14
QSO: 14000 CW 2017-11-25 1240 YO8BDW        599 20     RM1Q          599 16
QSO: 14000 CW 2017-11-25 1241 YO8BDW        599 20     OH3K          599 15
QSO: 14000 CW 2017-11-25 1243 YO8BDW        599 20     LA8HGA        599 14
QSO: 14000 CW 2017-11-25 1246 YO8BDW        599 20     II9P          599 15
QSO: 14000 CW 2017-11-25 1249 YO8BDW        599 20     OF8L          599 15
QSO: 14000 CW 2017-11-25 1251 YO8BDW        599 20     OH1TX         599 15
QSO: 14000 CW 2017-11-25 1255 YO8BDW        599 20     4X2M          599 20
QSO: 14000 CW 2017-11-25 1259 YO8BDW        599 20     PI4COM        599 14
QSO: 14000 CW 2017-11-25 1300 YO8BDW        599 20     SK3W          599 14
QSO: 14000 CW 2017-11-25 1302 YO8BDW        599 20     OP7B          599 14
QSO: 14000 CW 2017-11-25 1303 YO8BDW        599 20     RM9A          599 17
QSO: 14000 CW 2017-11-25 1308 YO8BDW        599 20     M7W           599 14
QSO: 14000 CW 2017-11-25 1312 YO8BDW        599 20     9H5ST         599 15
