START-OF-LOG: 3.0
CALLSIGN: ZL3X
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY:
CLAIMED-SCORE: 599760
NAME: QUAKE CONTESTERS
LOCATION: DX
OPERATORS: ZL3GA ZL3AB ZL4FZ ZL3DMC ZL3LF ZL3EVH ZL3DXT ZL3CC
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: Good fun had with a 26 hour effort due to op availability and
SOAPBOX: work commitments. Fantastic setup in record time at the Godley
SOAPBOX: Head site. Thanks to Chris, Don, Byron, Andrew and Allan for your
SOAPBOX: help, we couldn't have done it without you. Welcome to Richard
SOAPBOX: ZL4FZ as guest op.
QSO: 21015 CW 2017-11-25 0002 ZL3X          599 32     JH6WHN        599 25     1
QSO: 21021 CW 2017-11-25 0008 ZL3X          599 32     VE6BBP        599 04     1
QSO: 21003 CW 2017-11-25 0014 ZL3X          599 32     JH0INP        599 25     0
QSO: 21006 CW 2017-11-25 0016 ZL3X          599 32     N5FO          599 04     0
QSO: 21021 CW 2017-11-25 0021 ZL3X          599 32     W7WM          599 04     0
QSO: 21025 CW 2017-11-25 0026 ZL3X          599 32     NX1P          599 03     0
QSO: 21021 CW 2017-11-25 0029 ZL3X          599 32     AL7LO         599 01     0
QSO: 21021 CW 2017-11-25 0030 ZL3X          599 32     K1TTT         599 05     0
QSO: 21021 CW 2017-11-25 0030 ZL3X          599 32     ZL1BQD        599 32     0
QSO: 21021 CW 2017-11-25 0033 ZL3X          599 32     VA7MG         599 03     0
QSO: 21021 CW 2017-11-25 0034 ZL3X          599 32     JA1CTZ        599 25     0
QSO: 21021 CW 2017-11-25 0035 ZL3X          599 32     K3LR          599 05     0
QSO: 21021 CW 2017-11-25 0035 ZL3X          599 32     N0KE          599 04     0
QSO: 21021 CW 2017-11-25 0037 ZL3X          599 32     JL3RNZ        599 25     0
QSO: 21020 CW 2017-11-25 0046 ZL3X          599 32     RU0LL         599 19     0
QSO: 21034 CW 2017-11-25 0049 ZL3X          599 32     KH6J          599 31     0
QSO: 21035 CW 2017-11-25 0050 ZL3X          599 32     ZL3TE         599 32     0
QSO: 21050 CW 2017-11-25 0052 ZL3X          599 32     A31MM         599 32     0
QSO: 21042 CW 2017-11-25 0054 ZL3X          599 32     JA5FDJ        599 25     0
QSO: 21029 CW 2017-11-25 0057 ZL3X          599 32     JA3YBK        599 25     0
QSO: 14033 CW 2017-11-25 0059 ZL3X          599 32     FK/JR3RIU     599 32     1
QSO: 21021 CW 2017-11-25 0100 ZL3X          599 32     ZL3JT         599 32     0
QSO: 21021 CW 2017-11-25 0101 ZL3X          599 32     K9JF/7        599 03     0
