START-OF-LOG: 3.0
CALLSIGN: KS0M
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 52515
NAME: Richard White
LOCATION: MO
OPERATORS: KS0M
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: All S&P and I had a lot of fun.
QSO:  7000 CW 2017-11-25 0126 KS0M          599 4      ZF9CW         599 08
QSO:  7000 CW 2017-11-25 0131 KS0M          599 4      W3LPR         599 05
QSO:  7000 CW 2017-11-25 0132 KS0M          599 4      N8OO          599 04
QSO:  7000 CW 2017-11-25 0137 KS0M          599 4      K3RR          599 05
QSO:  7000 CW 2017-11-25 0138 KS0M          599 4      9A1P          599 15
QSO:  7000 CW 2017-11-25 0142 KS0M          599 4      NR1D          599 04
QSO:  7000 CW 2017-11-25 0146 KS0M          599 4      II9P          599 15
QSO:  7000 CW 2017-11-25 0147 KS0M          599 4      K8AZ          599 04
QSO:  7000 CW 2017-11-25 0148 KS0M          599 4      CT3R          599 33
QSO:  7000 CW 2017-11-25 0150 KS0M          599 4      W9RE          599 04
QSO:  7000 CW 2017-11-25 0209 KS0M          599 4      TM5N          599 14
QSO:  7000 CW 2017-11-25 0210 KS0M          599 4      VP5M          599 08
QSO:  7000 CW 2017-11-25 0226 KS0M          599 4      EA7M          599 14
QSO:  7000 CW 2017-11-25 0227 KS0M          599 4      K0ZR          599 05
QSO:  7000 CW 2017-11-25 0237 KS0M          599 4      P40C          599 09
QSO:  7000 CW 2017-11-25 0238 KS0M          599 4      AD5A          599 04
QSO:  7000 CW 2017-11-25 0246 KS0M          599 4      CT9/OM3DS     599 33
QSO:  7000 CW 2017-11-25 0249 KS0M          599 4      V47T          599 08
QSO:  7000 CW 2017-11-25 0252 KS0M          599 4      EF8A          599 33
QSO: 21000 CW 2017-11-25 1648 KS0M          599 4      C6AGU         599 08
QSO: 21000 CW 2017-11-25 1700 KS0M          599 4      EA5GX         599 14
QSO: 21000 CW 2017-11-25 1705 KS0M          599 4      VA1MM         599 05
QSO: 21000 CW 2017-11-25 1707 KS0M          599 4      P40L          599 09
QSO: 21000 CW 2017-11-25 1708 KS0M          599 4      W0AIS         599 04
QSO: 21000 CW 2017-11-25 1710 KS0M          599 4      HQ9X          599 07
