START-OF-LOG: 3.0
CREATED-BY: QARTest 6.8.1
CONTEST: CQ-WW-CW
CALLSIGN: I0YQV
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: CW
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CLAIMED-SCORE: 157407
NAME: Giorgio Fanelli
SOAPBOX: The ten meters band was closed during full contest time.
SOAPBOX: The fifteen and twenty meters band, both closed after sunset.
SOAPBOX: Very strange ionospheric propagation...
QSO:  3500 CW 2017-11-25 0544 I0YQV         599 15     YT1X          599 15
QSO:  3500 CW 2017-11-25 0546 I0YQV         599 15     LY2W          599 15
QSO:  3500 CW 2017-11-25 0549 I0YQV         599 15     HA8RM         599 15
QSO:  3500 CW 2017-11-25 0551 I0YQV         599 15     9A4WY         599 15
QSO:  3500 CW 2017-11-25 0552 I0YQV         599 15     W3LPL         599 05
QSO:  3500 CW 2017-11-25 0554 I0YQV         599 15     9A4QV         599 15
QSO:  3500 CW 2017-11-25 0555 I0YQV         599 15     CN2AA         599 33
QSO:  3500 CW 2017-11-25 0601 I0YQV         599 15     EA5RS         599 14
QSO:  3500 CW 2017-11-25 0602 I0YQV         599 15     IZ5NFD        599 15
QSO:  3500 CW 2017-11-25 0603 I0YQV         599 15     4O4A          599 15
QSO:  3500 CW 2017-11-25 0604 I0YQV         599 15     TM6M          599 14
QSO:  3500 CW 2017-11-25 0606 I0YQV         599 15     M6T           599 14
QSO:  3500 CW 2017-11-25 0608 I0YQV         599 15     YT1EA         599 15
QSO:  3500 CW 2017-11-25 0610 I0YQV         599 15     S57Z          599 15
QSO:  3500 CW 2017-11-25 0612 I0YQV         599 15     DF0HQ         599 14
QSO:  3500 CW 2017-11-25 0618 I0YQV         599 15     9A1AA         599 15
QSO:  3500 CW 2017-11-25 0621 I0YQV         599 15     EF8R          599 33
QSO:  3500 CW 2017-11-25 0623 I0YQV         599 15     CN2R          599 33
QSO:  3500 CW 2017-11-25 0626 I0YQV         599 15     EF5F          599 14
QSO:  7000 CW 2017-11-25 0635 I0YQV         599 15     N1UR          599 05
QSO:  7000 CW 2017-11-25 0637 I0YQV         599 15     SN7N          599 15
QSO:  7000 CW 2017-11-25 0639 I0YQV         599 15     9A3AG         599 15
QSO:  7000 CW 2017-11-25 0642 I0YQV         599 15     S52NR         599 15
QSO:  7000 CW 2017-11-25 0643 I0YQV         599 15     AA1K          599 05
QSO:  7000 CW 2017-11-25 0653 I0YQV         599 15     DF0HQ         599 14
QSO:  7000 CW 2017-11-25 0656 I0YQV         599 15     P40L          599 09
QSO:  7000 CW 2017-11-25 0657 I0YQV         599 15     DR5N          599 14
QSO:  7000 CW 2017-11-25 0658 I0YQV         599 15     NN7CW         599 05
QSO:  7000 CW 2017-11-25 0658 I0YQV         599 15     NR4M          599 05
QSO:  7000 CW 2017-11-25 0700 I0YQV         599 15     W4IM          599 05
QSO:  7000 CW 2017-11-25 0702 I0YQV         599 15     S52ZW         599 15
QSO:  7000 CW 2017-11-25 0708 I0YQV         599 15     LZ9W          599 20
QSO:  7000 CW 2017-11-25 0721 I0YQV         599 15     K3TUF         599 05
QSO:  7000 CW 2017-11-25 0723 I0YQV         599 15     YU1UO         599 15
QSO:  7000 CW 2017-11-25 0725 I0YQV         599 15     ED8X          599 33
QSO:  7000 CW 2017-11-25 0726 I0YQV         599 15     NC1I          599 05
QSO:  7000 CW 2017-11-25 0728 I0YQV         599 15     IS0AFM        599 15
QSO:  7000 CW 2017-11-25 0729 I0YQV         599 15     KC1XX         599 05
QSO:  7000 CW 2017-11-25 0730 I0YQV         599 15     HB9CA         599 14
QSO:  7000 CW 2017-11-25 0733 I0YQV         599 15     EW8W          599 16
QSO:  7000 CW 2017-11-25 0733 I0YQV         599 15     S51F          599 15
QSO:  7000 CW 2017-11-25 0740 I0YQV         599 15     OM6RM         599 15
QSO:  7000 CW 2017-11-25 0743 I0YQV         599 15     I3FIY         599 15
QSO:  7000 CW 2017-11-25 0747 I0YQV         599 15     W3RL          599 05
QSO:  7000 CW 2017-11-25 0749 I0YQV         599 15     9A1P          599 15
QSO:  7000 CW 2017-11-25 0751 I0YQV         599 15     Z35F          599 15
QSO:  7000 CW 2017-11-25 0753 I0YQV         599 15     RA3W          599 16
QSO:  7000 CW 2017-11-25 0800 I0YQV         599 15     W3UA          599 05
QSO:  7000 CW 2017-11-25 0804 I0YQV         599 15     OQ5M          599 14
QSO:  7000 CW 2017-11-25 0807 I0YQV         599 15     ON4CT         599 14
QSO:  7000 CW 2017-11-25 0808 I0YQV         599 15     EA6SX         599 14
QSO:  7000 CW 2017-11-25 0813 I0YQV         599 15     TM1A          599 14
QSO:  7000 CW 2017-11-25 0815 I0YQV         599 15     HG7T          599 15
QSO:  7000 CW 2017-11-25 0816 I0YQV         599 15     LY4A          599 15
QSO:  7000 CW 2017-11-25 0817 I0YQV         599 15     OL5J          599 15
QSO:  7000 CW 2017-11-25 0819 I0YQV         599 15     EA3DU         599 14
QSO:  7000 CW 2017-11-25 0820 I0YQV         599 15     OK1VK         599 15
QSO:  7000 CW 2017-11-25 0826 I0YQV         599 15     SX2T          599 20
QSO:  7000 CW 2017-11-25 0828 I0YQV         599 15     CN2AA         599 33
QSO:  7000 CW 2017-11-25 0833 I0YQV         599 15     M0DXR         599 14
QSO: 21000 CW 2017-11-25 0948 I0YQV         599 15     OF6MW         599 15
QSO: 21000 CW 2017-11-25 0949 I0YQV         599 15     P33W          599 20
QSO: 21000 CW 2017-11-25 0953 I0YQV         599 15     DK0TA         599 14
QSO: 21000 CW 2017-11-25 0954 I0YQV         599 15     K3WW          599 05
QSO: 21000 CW 2017-11-25 1031 I0YQV         599 15     UA6GF         599 16
QSO: 21000 CW 2017-11-25 1034 I0YQV         599 15     PP5BI         599 11
QSO: 21000 CW 2017-11-25 1036 I0YQV         599 15     CN2R          599 33
QSO: 21000 CW 2017-11-25 1037 I0YQV         599 15     UF5D          599 16
QSO: 21000 CW 2017-11-25 1040 I0YQV         599 15     UN9GD         599 17
QSO: 21000 CW 2017-11-25 1041 I0YQV         599 15     OF1F          599 15
QSO: 21000 CW 2017-11-25 1043 I0YQV         599 15     UR5R          599 16
QSO: 21000 CW 2017-11-25 1046 I0YQV         599 15     GU3HFN        599 14
QSO: 21000 CW 2017-11-25 1047 I0YQV         599 15     LN8W          599 14
QSO: 21000 CW 2017-11-25 1048 I0YQV         599 15     G5O           599 14
QSO: 21000 CW 2017-11-25 1051 I0YQV         599 15     RZ7T          599 16
QSO: 21000 CW 2017-11-25 1052 I0YQV         599 15     RA3SI         599 16
QSO: 21000 CW 2017-11-25 1055 I0YQV         599 15     ZW5B          599 11
QSO: 21000 CW 2017-11-25 1057 I0YQV         599 15     UZ2M          599 16
QSO: 21000 CW 2017-11-25 1059 I0YQV         599 15     OH6QU         599 15
QSO: 21000 CW 2017-11-25 1106 I0YQV         599 15     G4R           599 14
QSO: 21000 CW 2017-11-25 1107 I0YQV         599 15     RT6A          599 16
QSO: 21000 CW 2017-11-25 1346 I0YQV         599 15     V26K          599 08
QSO: 21000 CW 2017-11-25 1351 I0YQV         599 15     TM4Q          599 14
QSO: 21000 CW 2017-11-25 1352 I0YQV         599 15     PA5WT         599 14
QSO: 21000 CW 2017-11-25 1353 I0YQV         599 15     EF8R          599 33
QSO: 21000 CW 2017-11-25 1502 I0YQV         599 15     W1WEF         599 05
QSO: 21000 CW 2017-11-25 1504 I0YQV         599 15     N5DX          599 05
QSO: 21000 CW 2017-11-25 1507 I0YQV         599 15     K4AB          599 04
QSO: 21000 CW 2017-11-25 1509 I0YQV         599 15     CW4MAX        599 13
QSO: 21000 CW 2017-11-25 1510 I0YQV         599 15     NA8V          599 04
QSO: 21000 CW 2017-11-25 1516 I0YQV         599 15     K3LR          599 05
QSO: 21000 CW 2017-11-25 1517 I0YQV         599 15     WC1M          599 05
QSO: 21000 CW 2017-11-25 1518 I0YQV         599 15     W2FU          599 05
QSO: 21000 CW 2017-11-25 1520 I0YQV         599 15     W3LPL         599 05
QSO: 21000 CW 2017-11-25 1521 I0YQV         599 15     KF3B          599 05
QSO: 21000 CW 2017-11-25 1524 I0YQV         599 15     K0RF          599 04
QSO: 21000 CW 2017-11-25 1524 I0YQV         599 15     VY2TT         599 05
QSO: 21000 CW 2017-11-25 1534 I0YQV         599 15     N2NT          599 05
