START-OF-LOG: 3.0
CALLSIGN: UN7PGA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: OLEG
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UR5EQF log v.3.31-60
SOAPBOX: FT 950, Delta  20    Inv  40
QSO: 21016 CW 2017-11-25 0713 UN7PGA        599 17     JN3DSH        599 25
QSO: 21016 CW 2017-11-25 0714 UN7PGA        599 17     JL1EEI        599 25
QSO: 21016 CW 2017-11-25 0715 UN7PGA        599 17     UX8IA         599 16
QSO: 21016 CW 2017-11-25 0715 UN7PGA        599 17     UR5ZEP        599 16
QSO: 21016 CW 2017-11-25 0716 UN7PGA        599 17     JA0GCY        599 25
QSO: 21016 CW 2017-11-25 0717 UN7PGA        599 17     EV4R          599 16
QSO: 21016 CW 2017-11-25 0717 UN7PGA        599 17     OF5Z          599 15
QSO: 21016 CW 2017-11-25 0718 UN7PGA        599 17     UX7IW         599 16
QSO: 21016 CW 2017-11-25 0718 UN7PGA        599 17     US7IY         599 16
QSO: 21016 CW 2017-11-25 0719 UN7PGA        599 17     JF1KWG        599 25
QSO: 21016 CW 2017-11-25 0720 UN7PGA        599 17     RD3AD         599 16
QSO: 21016 CW 2017-11-25 0721 UN7PGA        599 17     JG6UIB        599 25
QSO: 21016 CW 2017-11-25 0721 UN7PGA        599 17     LY5R          599 15
QSO: 21016 CW 2017-11-25 0722 UN7PGA        599 17     RA3AN         599 16
QSO: 21016 CW 2017-11-25 0722 UN7PGA        599 17     RA6AN         599 16
QSO: 21016 CW 2017-11-25 0723 UN7PGA        599 17     JA2KOG        599 25
QSO: 21016 CW 2017-11-25 0724 UN7PGA        599 17     JA2VQF        599 25
QSO: 21019 CW 2017-11-25 0729 UN7PGA        599 17     JR2GRX        599 25
QSO: 21024 CW 2017-11-25 0731 UN7PGA        599 17     YT9A          599 15
QSO: 21026 CW 2017-11-25 0731 UN7PGA        599 17     UA6GO         599 16
QSO: 21029 CW 2017-11-25 0732 UN7PGA        599 17     UR6IM         599 16
QSO: 21030 CW 2017-11-25 0733 UN7PGA        599 17     R3WR          599 16
QSO: 21039 CW 2017-11-25 0735 UN7PGA        599 17     YU1ARC        599 15
QSO: 21051 CW 2017-11-25 0736 UN7PGA        599 17     JH3CTQ        599 25
QSO: 21056 CW 2017-11-25 0737 UN7PGA        599 17     9M2CNC        599 28
QSO: 21023 CW 2017-11-25 0739 UN7PGA        599 17     A65CA         599 21
QSO: 21020 CW 2017-11-25 0740 UN7PGA        599 17     UX3HA         599 16
QSO: 21032 CW 2017-11-25 0741 UN7PGA        599 17     IB9T          599 15
QSO: 21036 CW 2017-11-25 0743 UN7PGA        599 17     BD7YK         599 24
QSO: 21038 CW 2017-11-25 0744 UN7PGA        599 17     RC6U          599 16
QSO: 21040 CW 2017-11-25 0746 UN7PGA        599 17     BG5JND        599 24
QSO: 21039 CW 2017-11-25 0748 UN7PGA        599 17     EC2DX         599 14
QSO: 21042 CW 2017-11-25 0749 UN7PGA        599 17     OK7K          599 15
QSO: 21043 CW 2017-11-25 0750 UN7PGA        599 17     IR4X          599 15
QSO: 21045 CW 2017-11-25 0753 UN7PGA        599 17     RA3SI         599 16
QSO: 21046 CW 2017-11-25 0754 UN7PGA        599 17     UR2VA         599 16
QSO: 21046 CW 2017-11-25 0755 UN7PGA        599 17     R1TE          599 16
QSO: 21046 CW 2017-11-25 0758 UN7PGA        599 17     R7RF          599 16
QSO: 21046 CW 2017-11-25 0759 UN7PGA        599 17     R2VA          599 16
QSO: 21046 CW 2017-11-25 0800 UN7PGA        599 17     UR8RF         599 16
QSO: 21046 CW 2017-11-25 0800 UN7PGA        599 17     UY2ZA         599 16
QSO: 21046 CW 2017-11-25 0801 UN7PGA        599 17     RV3MR         599 16
QSO: 21046 CW 2017-11-25 0804 UN7PGA        599 17     VK6HZ         599 29
QSO: 21041 CW 2017-11-25 0806 UN7PGA        599 17     UZ2M          599 16
QSO: 21046 CW 2017-11-25 0809 UN7PGA        599 17     ES2MC         599 15
QSO: 21052 CW 2017-11-25 0811 UN7PGA        599 17     IZ8EPX        599 15
QSO: 21038 CW 2017-11-25 0828 UN7PGA        599 17     IT9RBW        599 15
QSO: 21036 CW 2017-11-25 0829 UN7PGA        599 17     UT4LW         599 16
QSO: 21036 CW 2017-11-25 0830 UN7PGA        599 17     LY2KA         599 15
QSO: 21036 CW 2017-11-25 0832 UN7PGA        599 17     RT3O          599 16
QSO: 21036 CW 2017-11-25 0834 UN7PGA        599 17     BH4AYG        599 24
QSO: 21036 CW 2017-11-25 0834 UN7PGA        599 17     R3ZZ          599 16
QSO: 21035 CW 2017-11-25 0839 UN7PGA        599 17     4Z5LY         599 20
QSO: 21034 CW 2017-11-25 0840 UN7PGA        599 17     EA6VQ         599 14
QSO: 21031 CW 2017-11-25 0841 UN7PGA        599 17     DF0SQ         599 14
QSO: 21030 CW 2017-11-25 0842 UN7PGA        599 17     YQ6A          599 20
