START-OF-LOG: 3.0
CALLSIGN: XE2B
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 557106
NAME: Fco. Luis Delgadillo Jaime
LOCATION: DX
OPERATORS: XE2B
CLUB: CLUB DE RADIO EXPERIMENTADORES DE OCCIDENTE
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: Missed most of the saturday due to a family trip commitment. This
SOAPBOX: left Sunday -to work the contest with plenty of fun.
QSO: 21014 CW 2017-11-25 0000 XE2B          599 6      VE6LB         599 04
QSO: 21014 CW 2017-11-25 0002 XE2B          599 6      N7RCS         599 03
QSO: 21014 CW 2017-11-25 0002 XE2B          599 6      N0KQ          599 03
QSO: 21009 CW 2017-11-25 0006 XE2B          599 6      W6XB          599 03
QSO: 21016 CW 2017-11-25 0008 XE2B          599 6      JJ0JML        599 25
QSO: 21033 CW 2017-11-25 0010 XE2B          599 6      VK2PN         599 30
QSO: 21030 CW 2017-11-25 0012 XE2B          599 6      RA0FF         599 19
QSO: 21024 CW 2017-11-25 0013 XE2B          599 6      W7RN          599 03
QSO: 21022 CW 2017-11-25 0014 XE2B          599 6      BI4SSB        599 24
QSO: 21020 CW 2017-11-25 0015 XE2B          599 6      NU7J          599 03
QSO: 21018 CW 2017-11-25 0016 XE2B          599 6      NA6O          599 03
QSO: 21002 CW 2017-11-25 0017 XE2B          599 6      K6XX          599 03
QSO: 21003 CW 2017-11-25 0018 XE2B          599 6      JE6RPM        599 25
QSO: 21005 CW 2017-11-25 0019 XE2B          599 6      K2YY/6        599 03
QSO: 21008 CW 2017-11-25 0019 XE2B          599 6      KN7K          599 03
QSO: 21018 CW 2017-11-25 0021 XE2B          599 6      JM7OLW        599 25
QSO: 21026 CW 2017-11-25 0023 XE2B          599 6      ZM4T          599 32
QSO: 21028 CW 2017-11-25 0023 XE2B          599 6      ZL4TT         599 32
QSO: 21050 CW 2017-11-25 0024 XE2B          599 6      A31MM         599 32
QSO: 21053 CW 2017-11-25 0026 XE2B          599 6      JH4UYB        599 25
QSO: 21044 CW 2017-11-25 0028 XE2B          599 6      JA7ZFN        599 25
QSO: 21042 CW 2017-11-25 0029 XE2B          599 6      JA5FDJ        599 25
QSO: 21041 CW 2017-11-25 0030 XE2B          599 6      7K4XNN        599 25
QSO: 21033 CW 2017-11-25 0031 XE2B          599 6      JA5DQH        599 25
QSO: 21032 CW 2017-11-25 0032 XE2B          599 6      JN2AMD        599 25
QSO: 14011 CW 2017-11-25 0042 XE2B          599 6      JA2ODB        599 25
QSO: 14006 CW 2017-11-25 0044 XE2B          599 6      LU5DX         599 13
QSO: 14005 CW 2017-11-25 0044 XE2B          599 6      LU5FF         599 13
QSO: 14018 CW 2017-11-25 0047 XE2B          599 6      CB1H          599 12
QSO: 14020 CW 2017-11-25 0049 XE2B          599 6      PS2T          599 11
QSO: 14022 CW 2017-11-25 0050 XE2B          599 6      PY2NY         599 11
QSO: 14025 CW 2017-11-25 0051 XE2B          599 6      CW5W          599 13
QSO: 14027 CW 2017-11-25 0052 XE2B          599 6      LU1DZ         599 13
QSO: 14031 CW 2017-11-25 0053 XE2B          599 6      CE3CT         599 12
QSO: 14034 CW 2017-11-25 0054 XE2B          599 6      PZ5V          599 09
QSO: 14035 CW 2017-11-25 0055 XE2B          599 6      PR2W          599 11
QSO: 14042 CW 2017-11-25 0056 XE2B          599 6      XR6F          599 12
QSO: 14046 CW 2017-11-25 0059 XE2B          599 6      LU4HK         599 13
QSO: 14048 CW 2017-11-25 0100 XE2B          599 6      W6PH          599 03
QSO: 14059 CW 2017-11-25 0102 XE2B          599 6      LU2WA         599 13
QSO: 14064 CW 2017-11-25 0103 XE2B          599 6      RI1ANC        599 29
QSO: 14066 CW 2017-11-25 0104 XE2B          599 6      PY2IU         599 11
QSO: 14030 CW 2017-11-25 0107 XE2B          599 6      JS3CTQ        599 25
QSO: 14032 CW 2017-11-25 0107 XE2B          599 6      KH6J          599 31
QSO: 14037 CW 2017-11-25 0109 XE2B          599 6      PY1SL         599 11
QSO: 14038 CW 2017-11-25 0110 XE2B          599 6      ZM4T          599 32
QSO: 14030 CW 2017-11-25 0113 XE2B          599 6      JA1ZGO        599 25
QSO: 14029 CW 2017-11-25 0115 XE2B          599 6      JA3YBK        599 25
QSO: 14019 CW 2017-11-25 0115 XE2B          599 6      PY4YY         599 11
QSO: 14017 CW 2017-11-25 0120 XE2B          599 6      OA4SS         599 10
QSO: 14024 CW 2017-11-25 0121 XE2B          599 6      CX9AU         599 13
QSO: 14021 CW 2017-11-25 0124 XE2B          599 6      PX2A          599 11
QSO: 14028 CW 2017-11-25 0126 XE2B          599 6      JE6RPM        599 25
QSO: 14050 CW 2017-11-25 0132 XE2B          599 6      LW1EUD        599 13
QSO: 14048 CW 2017-11-25 0132 XE2B          599 6      CX5UA         599 13
QSO: 14045 CW 2017-11-25 0133 XE2B          599 6      L33M          599 13
QSO:  7017 CW 2017-11-25 0136 XE2B          599 6      K3LR          599 05
QSO:  3505 CW 2017-11-25 0153 XE2B          599 6      NR5M          599 04
QSO:  3505 CW 2017-11-25 0155 XE2B          599 6      N5FO          599 04
QSO:  3505 CW 2017-11-25 0155 XE2B          599 6      N5RW          599 04
QSO:  3505 CW 2017-11-25 0155 XE2B          599 6      AD5A          599 04
QSO:  3505 CW 2017-11-25 0156 XE2B          599 6      NO4P          599 05
QSO:  3505 CW 2017-11-25 0156 XE2B          599 6      KO7SS         599 03
QSO:  3505 CW 2017-11-25 0157 XE2B          599 6      K9CT          599 04
QSO:  3505 CW 2017-11-25 0157 XE2B          599 6      K5NA          599 04
QSO:  3505 CW 2017-11-25 0159 XE2B          599 6      KH7X/W7       599 03
QSO:  3505 CW 2017-11-25 0200 XE2B          599 6      K1TTT         599 05
QSO:  3505 CW 2017-11-25 0200 XE2B          599 6      K6LL          599 03
QSO:  3505 CW 2017-11-25 0202 XE2B          599 6      K7XZ          599 03
