START-OF-LOG: 3.0
CALLSIGN: HG8C
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 297290
NAME: Tamas Csaky
LOCATION: DX
OPERATORS: HA8EK
CLUB: HA-DX-Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6895.0
QSO: 21022 CW 2017-11-25 0837 HG8C          599 15     HS0ZAR        599 26
QSO: 21021 CW 2017-11-25 0837 HG8C          599 15     EC7WA         599 14
QSO: 21019 CW 2017-11-25 0844 HG8C          599 15     XV1X          599 26
QSO: 21015 CW 2017-11-25 0845 HG8C          599 15     BH7LSW        599 24
QSO: 21013 CW 2017-11-25 0847 HG8C          599 15     CN2R          599 33
QSO: 21011 CW 2017-11-25 0849 HG8C          599 15     C44C          599 20
QSO: 21004 CW 2017-11-25 0850 HG8C          599 15     4X6FR         599 20
QSO: 21003 CW 2017-11-25 0850 HG8C          599 15     R9DA          599 17
QSO: 21003 CW 2017-11-25 0851 HG8C          599 15     JE6RPM        599 25
QSO: 21002 CW 2017-11-25 0852 HG8C          599 15     M6T           599 14
QSO: 21028 CW 2017-11-25 0856 HG8C          599 15     CR5T          599 14
QSO: 21033 CW 2017-11-25 0857 HG8C          599 15     VR20EH        599 24
QSO: 21037 CW 2017-11-25 0857 HG8C          599 15     A44A          599 21
QSO: 21040 CW 2017-11-25 0858 HG8C          599 15     9M6NA         599 28
QSO: 21048 CW 2017-11-25 0902 HG8C          599 15     PS2T          599 11
QSO: 21049 CW 2017-11-25 0903 HG8C          599 15     CN2AA         599 33
QSO: 21051 CW 2017-11-25 0903 HG8C          599 15     S79K          599 39
QSO: 21048 CW 2017-11-25 0905 HG8C          599 15     EX8M          599 17
QSO: 21047 CW 2017-11-25 0907 HG8C          599 15     ZM2B          599 32
QSO: 21047 CW 2017-11-25 0908 HG8C          599 15     R0WC          599 18
QSO: 21046 CW 2017-11-25 0910 HG8C          599 15     VK6HZ         599 29
QSO: 21039 CW 2017-11-25 0912 HG8C          599 15     YE1K          599 28
QSO: 21038 CW 2017-11-25 0914 HG8C          599 15     YE2C          599 28
QSO: 21037 CW 2017-11-25 0914 HG8C          599 15     RT4W          599 16
QSO: 21033 CW 2017-11-25 0916 HG8C          599 15     ZW5B          599 11
QSO: 21033 CW 2017-11-25 0917 HG8C          599 15     UN9GD         599 17
QSO: 21029 CW 2017-11-25 0918 HG8C          599 15     PA0BWL        599 14
QSO: 21027 CW 2017-11-25 0919 HG8C          599 15     RU3UR         599 16
