START-OF-LOG: 3.0
CALLSIGN: WA8Y
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 52864
NAME: Steven Linley
LOCATION: MI
OPERATORS: WA8Y
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: CW contests hold my interest. Family took priority this wknd
QSO:  7041 CW 2017-11-25 0337 WA8Y          599 4      PJ3T          599 09
QSO:  7043 CW 2017-11-25 0344 WA8Y          599 4      VP5M          599 08
QSO:  7045 CW 2017-11-25 0353 WA8Y          599 4      EA7TH         599 14
QSO:  7047 CW 2017-11-25 0354 WA8Y          599 4      6Y0W          599 08
QSO:  7051 CW 2017-11-25 0402 WA8Y          599 4      ED8X          599 33
QSO:  7057 CW 2017-11-25 0426 WA8Y          599 4      XE2X          599 06
QSO:  7062 CW 2017-11-25 0434 WA8Y          599 4      PX2A          599 11
QSO: 21073 CW 2017-11-25 1520 WA8Y          599 4      NP2X          599 08
QSO: 21072 CW 2017-11-25 1524 WA8Y          599 4      HQ9X          599 07
QSO: 21069 CW 2017-11-25 1525 WA8Y          599 4      DP4X          599 14
QSO: 21069 CW 2017-11-25 1526 WA8Y          599 4      PI4TIL        599 14
QSO: 21067 CW 2017-11-25 1531 WA8Y          599 4      PJ4A          599 09
QSO: 21066 CW 2017-11-25 1532 WA8Y          599 4      S53X          599 15
QSO: 21063 CW 2017-11-25 1537 WA8Y          599 4      F6HKA         599 14
QSO: 21062 CW 2017-11-25 1540 WA8Y          599 4      CR3OO         599 33
QSO: 21061 CW 2017-11-25 1542 WA8Y          599 4      ZF2MJ         599 08
QSO: 21059 CW 2017-11-25 1543 WA8Y          599 4      TM3R          599 14
QSO: 21056 CW 2017-11-25 1637 WA8Y          599 4      EF8R          599 33
QSO: 21059 CW 2017-11-25 1655 WA8Y          599 4      EF8U          599 33
QSO: 21051 CW 2017-11-25 1659 WA8Y          599 4      TO2SP         599 08
QSO: 14014 CW 2017-11-25 1854 WA8Y          599 4      VA7ST         599 03
QSO: 14022 CW 2017-11-25 1859 WA8Y          599 4      G3V           599 14
QSO: 14024 CW 2017-11-25 1902 WA8Y          599 4      PZ5V          599 09
QSO: 14025 CW 2017-11-25 1905 WA8Y          599 4      HP3SS         599 07
QSO: 14026 CW 2017-11-25 1908 WA8Y          599 4      PJ2/PA3EYC    599 09
QSO: 14027 CW 2017-11-25 1909 WA8Y          599 4      VE7NY         599 03
QSO: 21027 CW 2017-11-25 1910 WA8Y          599 4      KH6CJJ        599 31
QSO: 21032 CW 2017-11-25 1912 WA8Y          599 4      ZW5B          599 11
QSO: 21035 CW 2017-11-25 1913 WA8Y          599 4      ZF2MJ         599 08
QSO: 21038 CW 2017-11-25 2056 WA8Y          599 4      PP5EJ         599 11
QSO: 21038 CW 2017-11-25 2056 WA8Y          599 4      YN2CC         599 07
QSO: 21041 CW 2017-11-25 2058 WA8Y          599 4      PT5N          599 11
QSO: 21042 CW 2017-11-25 2058 WA8Y          599 4      6Y3M          599 08
QSO: 21047 CW 2017-11-25 2113 WA8Y          599 4      6Y0W          599 08
QSO: 21054 CW 2017-11-25 2116 WA8Y          599 4      PJ2T          599 09
QSO: 21058 CW 2017-11-25 2117 WA8Y          599 4      PP5BI         599 11
QSO: 21071 CW 2017-11-25 2118 WA8Y          599 4      VE7VR         599 03
QSO: 21001 CW 2017-11-25 2120 WA8Y          599 4      ZM4T          599 32
QSO: 21006 CW 2017-11-25 2124 WA8Y          599 4      CW4MAX        599 13
QSO: 21013 CW 2017-11-25 2126 WA8Y          599 4      PX2A          599 11
QSO: 21017 CW 2017-11-25 2127 WA8Y          599 4      PY4YY         599 11
QSO: 21022 CW 2017-11-25 2131 WA8Y          599 4      LU3CW         599 13
QSO: 21025 CW 2017-11-25 2132 WA8Y          599 4      CE3CT         599 12
QSO: 21029 CW 2017-11-25 2134 WA8Y          599 4      TI7W          599 07
QSO: 21031 CW 2017-11-25 2138 WA8Y          599 4      V34AO         599 07
QSO:  7002 CW 2017-11-25 2251 WA8Y          599 4      YT1HT         599 15
QSO:  7003 CW 2017-11-25 2256 WA8Y          599 4      DF0HQ         599 14
QSO:  7007 CW 2017-11-25 2259 WA8Y          599 4      LZ9W          599 20
QSO:  7008 CW 2017-11-25 2334 WA8Y          599 4      P40L          599 09
QSO:  7012 CW 2017-11-25 2338 WA8Y          599 4      TM4Q          599 14
QSO:  7012 CW 2017-11-25 2339 WA8Y          599 4      IR2L          599 15
QSO:  7013 CW 2017-11-25 2341 WA8Y          599 4      IR4M          599 15
QSO:  7013 CW 2017-11-25 2341 WA8Y          599 4      OL3Z          599 15
QSO:  7017 CW 2017-11-25 2345 WA8Y          599 4      HG7N          599 15
QSO:  7018 CW 2017-11-25 2346 WA8Y          599 4      OM4Q          599 15
QSO:  7019 CW 2017-11-25 2348 WA8Y          599 4      CB1H          599 12
QSO:  7020 CW 2017-11-25 2349 WA8Y          599 4      CN2AA         599 33
QSO:  7022 CW 2017-11-25 2359 WA8Y          599 4      9A7A          599 15
QSO:  7022 CW 2017-11-26 0000 WA8Y          599 4      EF5F          599 14
QSO:  7022 CW 2017-11-26 0003 WA8Y          599 4      OE5OHO        599 15
QSO:  7023 CW 2017-11-26 0006 WA8Y          599 4      DL1D          599 14
QSO:  7024 CW 2017-11-26 0007 WA8Y          599 4      EI5F          599 14
QSO:  7024 CW 2017-11-26 0008 WA8Y          599 4      RU1A          599 16
QSO:  7026 CW 2017-11-26 0009 WA8Y          599 4      SN8B          599 15
QSO:  7026 CW 2017-11-26 0012 WA8Y          599 4      DR5A          599 14
QSO:  7027 CW 2017-11-26 0023 WA8Y          599 4      EA3DU         599 14
QSO:  7028 CW 2017-11-26 0024 WA8Y          599 4      G5O           599 14
QSO:  7029 CW 2017-11-26 0028 WA8Y          599 4      LZ5R          599 20
QSO:  7030 CW 2017-11-26 0029 WA8Y          599 4      MW5B          599 14
QSO:  7031 CW 2017-11-26 0031 WA8Y          599 4      LX7I          599 14
QSO:  7031 CW 2017-11-26 0032 WA8Y          599 4      PA4M          599 14
QSO:  7032 CW 2017-11-26 0033 WA8Y          599 4      S51F          599 15
QSO:  7033 CW 2017-11-26 0140 WA8Y          599 4      TM4Q          599 14
QSO:  7033 CW 2017-11-26 0140 WA8Y          599 4      TM4Q          599 14
QSO: 14000 CW 2017-11-26 1901 WA8Y          599 4      P40X          599 09
QSO: 14061 CW 2017-11-26 1906 WA8Y          599 4      JA7ZFN        599 25
QSO: 14066 CW 2017-11-26 1911 WA8Y          599 4      JN4MMO        599 25
QSO: 14069 CW 2017-11-26 1913 WA8Y          599 4      EC2DX         599 14
QSO: 14006 CW 2017-11-26 1919 WA8Y          599 4      VY2TT         599 05
QSO: 14010 CW 2017-11-26 1922 WA8Y          599 4      F4WBN         599 14
