START-OF-LOG: 3.0
CALLSIGN: GM0EUL
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 6344
NAME: Peter Estibeiro
LOCATION: DX
OPERATORS: GM0EUL
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: My first CQWW, great fun, thanks for all the QSOs.
QSO:  7003 CW 2017-11-25 1225 GM0EUL        599 14     DF0HQ         599 14
QSO:  7011 CW 2017-11-25 1229 GM0EUL        599 14     SN2B          599 15
QSO:  7018 CW 2017-11-25 1232 GM0EUL        599 14     DL1WA         599 14
QSO: 14001 CW 2017-11-25 1250 GM0EUL        599 14     LY4L          599 15
QSO: 14004 CW 2017-11-25 1255 GM0EUL        599 14     YL2KO         599 15
QSO: 14004 CW 2017-11-25 1256 GM0EUL        599 14     UA7K          599 16
QSO: 14027 CW 2017-11-25 1305 GM0EUL        599 14     9A1A          599 15
QSO: 14028 CW 2017-11-25 1307 GM0EUL        599 14     ES9C          599 15
QSO: 14029 CW 2017-11-25 1308 GM0EUL        599 14     RU3UR         599 16
QSO: 14030 CW 2017-11-25 1310 GM0EUL        599 14     9A7A          599 15
QSO: 14034 CW 2017-11-25 1315 GM0EUL        599 14     NA8V          599 04
QSO: 14036 CW 2017-11-25 1324 GM0EUL        599 14     XL3T          599 04
QSO: 14042 CW 2017-11-25 1523 GM0EUL        599 14     HB9CA         599 14
QSO: 14057 CW 2017-11-25 1531 GM0EUL        599 14     DK3GI         599 14
QSO: 14066 CW 2017-11-25 1534 GM0EUL        599 14     DD2ML         599 14
QSO: 14086 CW 2017-11-25 1538 GM0EUL        599 14     CR3OO         599 33
QSO: 14087 CW 2017-11-25 1541 GM0EUL        599 14     P3ZR          599 20
QSO: 14089 CW 2017-11-25 1543 GM0EUL        599 14     OL6P          599 15
QSO: 14093 CW 2017-11-25 1545 GM0EUL        599 14     IR2L          599 15
QSO: 14078 CW 2017-11-25 1548 GM0EUL        599 14     W1WEF         599 05
QSO: 14041 CW 2017-11-25 1749 GM0EUL        599 14     DR4A          599 14
QSO:  7000 CW 2017-11-25 2301 GM0EUL        599 14     DK0TA         599 14
QSO:  7008 CW 2017-11-25 2303 GM0EUL        599 14     LN8W          599 14
QSO:  7009 CW 2017-11-25 2309 GM0EUL        599 14     HG7T          599 15
QSO:  7008 CW 2017-11-25 2311 GM0EUL        599 14     SK3W          599 14
QSO:  7012 CW 2017-11-25 2315 GM0EUL        599 14     TK0C          599 15
QSO:  7012 CW 2017-11-25 2317 GM0EUL        599 14     YT5A          599 15
QSO:  7013 CW 2017-11-25 2318 GM0EUL        599 14     IR4M          599 15
QSO:  7013 CW 2017-11-25 2320 GM0EUL        599 14     YT4T          599 15
QSO:  7027 CW 2017-11-25 2325 GM0EUL        599 14     OK5W          599 15
QSO: 14060 CW 2017-11-26 1744 GM0EUL        599 14     TM0R          599 14
QSO: 14045 CW 2017-11-26 1746 GM0EUL        599 14     DF0SQ         599 14
QSO:  7000 CW 2017-11-26 1754 GM0EUL        599 14     S58M          599 15
QSO:  7006 CW 2017-11-26 1801 GM0EUL        599 14     YT1HA         599 15
QSO:  7017 CW 2017-11-26 1808 GM0EUL        599 14     HG8C          599 15
QSO:  7021 CW 2017-11-26 1809 GM0EUL        599 14     YU2A          599 15
QSO:  7028 CW 2017-11-26 1813 GM0EUL        599 14     EA7RM         599 14
QSO:  7038 CW 2017-11-26 1823 GM0EUL        599 14     UY5ZZ         599 16
QSO: 14010 CW 2017-11-26 1902 GM0EUL        599 14     F4WBN         599 14
QSO:  7021 CW 2017-11-26 1951 GM0EUL        599 14     Z35M          599 15
QSO:  7022 CW 2017-11-26 1953 GM0EUL        599 14     CN2AA         599 33
QSO:  7023 CW 2017-11-26 1955 GM0EUL        599 14     YU7U          599 15
QSO:  7024 CW 2017-11-26 1956 GM0EUL        599 14     DR1D          599 14
QSO:  7029 CW 2017-11-26 2001 GM0EUL        599 14     R3ZZ          599 16
QSO:  7032 CW 2017-11-26 2012 GM0EUL        599 14     IR4X          599 15
QSO:  7034 CW 2017-11-26 2013 GM0EUL        599 14     DK8ZB         599 14
QSO:  7037 CW 2017-11-26 2016 GM0EUL        599 14     ED8X          599 33
QSO:  7037 CW 2017-11-26 2018 GM0EUL        599 14     DL1A          599 14
QSO:  7039 CW 2017-11-26 2021 GM0EUL        599 14     DD1A          599 14
QSO:  7030 CW 2017-11-26 2025 GM0EUL        599 14     DR4A          599 14
QSO:  7000 CW 2017-11-26 2214 GM0EUL        599 14     UW5U          599 16
QSO:  7005 CW 2017-11-26 2220 GM0EUL        599 14     S52AW         599 15
QSO:  7011 CW 2017-11-26 2221 GM0EUL        599 14     S56A          599 15
QSO:  7012 CW 2017-11-26 2223 GM0EUL        599 14     S59ABC        599 15
QSO:  7017 CW 2017-11-26 2228 GM0EUL        599 14     E71A          599 15
QSO:  7017 CW 2017-11-26 2231 GM0EUL        599 14     9A7A          599 15
QSO:  7020 CW 2017-11-26 2232 GM0EUL        599 14     S56X          599 15
QSO:  7030 CW 2017-11-26 2237 GM0EUL        599 14     TM4Q          599 14
QSO:  7029 CW 2017-11-26 2239 GM0EUL        599 14     TM6M          599 14
QSO:  7031 CW 2017-11-26 2240 GM0EUL        599 14     OK2D          599 15
QSO:  7032 CW 2017-11-26 2245 GM0EUL        599 14     RZ7T          599 16
QSO:  7035 CW 2017-11-26 2246 GM0EUL        599 14     9A1A          599 15
QSO:  7046 CW 2017-11-26 2251 GM0EUL        599 14     9A5Y          599 15
QSO:  7047 CW 2017-11-26 2252 GM0EUL        599 14     IZ8JFL        599 15
QSO:  7050 CW 2017-11-26 2255 GM0EUL        599 14     ER8R          599 16
QSO:  7057 CW 2017-11-26 2259 GM0EUL        599 14     HA3DX         599 15
QSO:  7059 CW 2017-11-26 2301 GM0EUL        599 14     C4W           599 20
QSO:  7064 CW 2017-11-26 2305 GM0EUL        599 14     EC2DX         599 14
QSO:  7080 CW 2017-11-26 2309 GM0EUL        599 14     UZ3U          599 16
QSO:  7084 CW 2017-11-26 2311 GM0EUL        599 14     7X2ARA        599 33
QSO:  7085 CW 2017-11-26 2315 GM0EUL        599 14     IZ8VYU        599 15
QSO:  7090 CW 2017-11-26 2317 GM0EUL        599 14     UD4F          599 16
QSO:  3503 CW 2017-11-26 2329 GM0EUL        599 14     DL9GFB        599 14
QSO:  3529 CW 2017-11-26 2332 GM0EUL        599 14     DF0HQ         599 14
QSO:  3531 CW 2017-11-26 2334 GM0EUL        599 14     DF4XX         599 14
QSO:  3535 CW 2017-11-26 2335 GM0EUL        599 14     LY4A          599 15
QSO:  3537 CW 2017-11-26 2336 GM0EUL        599 14     M6T           599 14
QSO:  3569 CW 2017-11-26 2341 GM0EUL        599 14     OR3A          599 14
QSO:  3572 CW 2017-11-26 2343 GM0EUL        599 14     PI4COM        599 14
QSO:  3531 CW 2017-11-26 2347 GM0EUL        599 14     9A7A          599 15
QSO:  3530 CW 2017-11-26 2349 GM0EUL        599 14     SN8B          599 15
QSO:  3519 CW 2017-11-26 2351 GM0EUL        599 14     YL3CW         599 15
QSO:  3516 CW 2017-11-26 2354 GM0EUL        599 14     SK3W          599 14
QSO:  3514 CW 2017-11-26 2355 GM0EUL        599 14     OM0M          599 15
QSO:  3511 CW 2017-11-26 2357 GM0EUL        599 14     PA1HR         599 14
QSO:  3507 CW 2017-11-26 2359 GM0EUL        599 14     OL3Z          599 15
END-OF-LOG:
