START-OF-LOG: 3.0
CALLSIGN: 4X1KS
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 62307
NAME: Mark Rosenberg
LOCATION: DX
OPERATORS: 
CLUB:
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Enjoyed working QRP this year.  Tiny signal = lots of fun.
QSO: 14000 CW 2017-11-25 1539 4X1KS         599 20     4X6FR         599 20     0
QSO: 14000 CW 2017-11-25 1543 4X1KS         599 20     DK1NO         599 14     0
QSO: 14000 CW 2017-11-25 1546 4X1KS         599 20     IS0AFM        599 15     0
QSO: 14000 CW 2017-11-25 1549 4X1KS         599 20     EA8/LZ1ABC    599 33     0
QSO: 14000 CW 2017-11-25 1611 4X1KS         599 20     EF3A          599 14     0
QSO: 14000 CW 2017-11-25 1645 4X1KS         599 20     YT5A          599 15     0
QSO: 14000 CW 2017-11-25 1652 4X1KS         599 20     A44A          599 21     0
QSO:  7000 CW 2017-11-25 1710 4X1KS         599 20     SJ2W          599 14     0
QSO:  7000 CW 2017-11-25 1719 4X1KS         599 20     LZ4T          599 20     0
QSO:  7000 CW 2017-11-25 1725 4X1KS         599 20     SK3W          599 14     0
QSO:  7000 CW 2017-11-25 1732 4X1KS         599 20     RT6A          599 16     0
QSO:  7000 CW 2017-11-25 1744 4X1KS         599 20     4U1GSC        599 15     0
QSO:  7000 CW 2017-11-25 1748 4X1KS         599 20     YP5A          599 20     0
QSO:  7000 CW 2017-11-25 1756 4X1KS         599 20     RU1A          599 16     0
QSO:  7000 CW 2017-11-25 1757 4X1KS         599 20     SO4R          599 15     0
QSO:  7000 CW 2017-11-25 1815 4X1KS         599 20     IB9A          599 15     0
QSO:  7000 CW 2017-11-25 1817 4X1KS         599 20     S58N          599 15     0
QSO:  7000 CW 2017-11-25 1819 4X1KS         599 20     Z3B           599 15     0
QSO:  7000 CW 2017-11-25 1824 4X1KS         599 20     OM7RU         599 15     0
QSO:  7000 CW 2017-11-25 1825 4X1KS         599 20     LZ5XQ         599 20     0
QSO:  7000 CW 2017-11-25 1827 4X1KS         599 20     DF0HQ         599 14     0
QSO:  7000 CW 2017-11-25 1829 4X1KS         599 20     OF5Z          599 15     0
QSO:  7000 CW 2017-11-25 1833 4X1KS         599 20     SN6O          599 15     0
QSO:  7000 CW 2017-11-25 1839 4X1KS         599 20     OM7M          599 15     0
QSO:  7000 CW 2017-11-25 1847 4X1KS         599 20     SN2D          599 15     0
QSO:  7000 CW 2017-11-25 1850 4X1KS         599 20     OL3Z          599 15     0
QSO:  7000 CW 2017-11-25 1901 4X1KS         599 20     ES9C          599 15     0
QSO:  7000 CW 2017-11-25 1908 4X1KS         599 20     LZ7A          599 20     0
QSO:  7000 CW 2017-11-25 1910 4X1KS         599 20     LY5E          599 15     0
QSO:  7000 CW 2017-11-25 1913 4X1KS         599 20     RU1A          599 16     0
QSO:  7000 CW 2017-11-25 1917 4X1KS         599 20     LZ5R          599 20     0
QSO:  7000 CW 2017-11-25 1924 4X1KS         599 20     CU4DX         599 14     0
QSO:  7000 CW 2017-11-25 1945 4X1KS         599 20     EA5RS         599 14     0
QSO:  7000 CW 2017-11-25 1952 4X1KS         599 20     A92GE         599 21     0
QSO:  7000 CW 2017-11-25 1956 4X1KS         599 20     RT6A          599 16     0
QSO:  7000 CW 2017-11-25 1959 4X1KS         599 20     EA5KM         599 14     0
QSO:  7000 CW 2017-11-25 2023 4X1KS         599 20     JE6RPM        599 25     0
QSO:  7000 CW 2017-11-25 2103 4X1KS         599 20     Z35F          599 15     0
QSO:  7000 CW 2017-11-25 2104 4X1KS         599 20     YU2A          599 15     0
QSO:  7000 CW 2017-11-25 2107 4X1KS         599 20     YT5A          599 15     0
QSO:  7000 CW 2017-11-25 2112 4X1KS         599 20     UC7A          599 16     0
QSO:  7000 CW 2017-11-25 2116 4X1KS         599 20     RM8L          599 17     0
QSO:  3500 CW 2017-11-25 2128 4X1KS         599 20     P33W          599 20     0
QSO:  3500 CW 2017-11-25 2131 4X1KS         599 20     UZ2M          599 16     0
QSO:  3500 CW 2017-11-25 2241 4X1KS         599 20     OM0M          599 15     0
QSO:  3500 CW 2017-11-25 2243 4X1KS         599 20     R7NW          599 16     0
QSO:  3500 CW 2017-11-25 2246 4X1KS         599 20     A44A          599 21     0
QSO:  3500 CW 2017-11-25 2253 4X1KS         599 20     S57Z          599 15     0
QSO:  3500 CW 2017-11-25 2331 4X1KS         599 20     OM0WR         599 15     0
QSO:  3500 CW 2017-11-25 2332 4X1KS         599 20     HG0R          599 15     0
QSO:  3500 CW 2017-11-25 2337 4X1KS         599 20     SZ1A          599 20     0
QSO:  3500 CW 2017-11-26 0019 4X1KS         599 20     YT1D          599 15     0
QSO:  3500 CW 2017-11-26 0028 4X1KS         599 20     IO2X          599 15     0
QSO:  3500 CW 2017-11-26 0047 4X1KS         599 20     HA8BT         599 15     0
QSO:  3500 CW 2017-11-26 0049 4X1KS         599 20     SZ1A          599 20     0
QSO:  7000 CW 2017-11-26 0102 4X1KS         599 20     9A8A          599 15     0
QSO:  7000 CW 2017-11-26 0107 4X1KS         599 20     US1Q          599 16     0
QSO:  7000 CW 2017-11-26 0112 4X1KS         599 20     KC1XX         599 05     0
QSO:  7000 CW 2017-11-26 0121 4X1KS         599 20     W3LPL         599 05     0
QSO:  7000 CW 2017-11-26 0124 4X1KS         599 20     G3P           599 14     0
QSO:  7000 CW 2017-11-26 0127 4X1KS         599 20     NR4M          599 05     0
QSO:  7000 CW 2017-11-26 0131 4X1KS         599 20     HA3DX         599 15     0
QSO:  7000 CW 2017-11-26 0138 4X1KS         599 20     LX7I          599 14     0
QSO:  7000 CW 2017-11-26 0540 4X1KS         599 20     9A1A          599 15     0
QSO:  7000 CW 2017-11-26 0544 4X1KS         599 20     S58M          599 15     0
QSO:  7000 CW 2017-11-26 0546 4X1KS         599 20     EU1A          599 16     0
QSO:  7000 CW 2017-11-26 0548 4X1KS         599 20     C4W           599 20     0
QSO:  7000 CW 2017-11-26 0550 4X1KS         599 20     P33W          599 20     0
QSO: 14000 CW 2017-11-26 0607 4X1KS         599 20     RZ7T          599 16     0
QSO: 14000 CW 2017-11-26 0613 4X1KS         599 20     UA9LDD        599 17     0
QSO: 14000 CW 2017-11-26 0617 4X1KS         599 20     A71EM         599 21     0
QSO: 14000 CW 2017-11-26 0620 4X1KS         599 20     RN9T          599 16     0
QSO: 14000 CW 2017-11-26 0624 4X1KS         599 20     4L2M          599 21     0
QSO: 21000 CW 2017-11-26 0819 4X1KS         599 20     RA9AC         599 17     0
QSO: 21000 CW 2017-11-26 0822 4X1KS         599 20     ED8X          599 33     0
QSO: 21000 CW 2017-11-26 0826 4X1KS         599 20     LY7Z          599 15     0
QSO: 21000 CW 2017-11-26 0829 4X1KS         599 20     F8AAN         599 14     0
QSO: 21000 CW 2017-11-26 0831 4X1KS         599 20     YT5A          599 15     0
QSO: 21000 CW 2017-11-26 0832 4X1KS         599 20     DL2SAX        599 14     0
QSO: 21000 CW 2017-11-26 0833 4X1KS         599 20     DK2GZ         599 14     0
QSO: 21000 CW 2017-11-26 0834 4X1KS         599 20     DR4A          599 14     0
QSO: 21000 CW 2017-11-26 0836 4X1KS         599 20     EW6W          599 16     0
QSO: 21000 CW 2017-11-26 0838 4X1KS         599 20     DF0HQ         599 14     0
QSO: 21000 CW 2017-11-26 0840 4X1KS         599 20     TM4K          599 14     0
QSO: 21000 CW 2017-11-26 0842 4X1KS         599 20     OK7Z          599 15     0
QSO: 21000 CW 2017-11-26 0847 4X1KS         599 20     LX/PA3EZC/P   599 14     0
QSO: 21000 CW 2017-11-26 0850 4X1KS         599 20     CR3W          599 33     0
QSO: 21000 CW 2017-11-26 0852 4X1KS         599 20     IZ4DLR        599 15     0
QSO: 21000 CW 2017-11-26 0854 4X1KS         599 20     OK7K          599 15     0
QSO: 21000 CW 2017-11-26 0856 4X1KS         599 20     ED5W          599 14     0
QSO: 21000 CW 2017-11-26 0859 4X1KS         599 20     OF5Z          599 15     0
QSO: 21000 CW 2017-11-26 0901 4X1KS         599 20     R4IO          599 16     0
QSO: 21000 CW 2017-11-26 0912 4X1KS         599 20     OH6QU         599 15     0
QSO: 21000 CW 2017-11-26 0913 4X1KS         599 20     RQ4D          599 16     0
QSO: 21000 CW 2017-11-26 0915 4X1KS         599 20     EA3IN         599 14     0
QSO: 21000 CW 2017-11-26 0921 4X1KS         599 20     CN2R          599 33     0
QSO: 21000 CW 2017-11-26 0922 4X1KS         599 20     EF5R          599 14     0
QSO: 21000 CW 2017-11-26 0924 4X1KS         599 20     PI4CC         599 14     0
QSO: 21000 CW 2017-11-26 0926 4X1KS         599 20     PG5M          599 14     0
QSO: 21000 CW 2017-11-26 0929 4X1KS         599 20     LZ5R          599 20     0
QSO: 21000 CW 2017-11-26 0932 4X1KS         599 20     HG6N          599 15     0
QSO: 21000 CW 2017-11-26 0933 4X1KS         599 20     UA2FF         599 15     0
QSO: 21000 CW 2017-11-26 0938 4X1KS         599 20     LY4A          599 15     0
QSO: 21000 CW 2017-11-26 0942 4X1KS         599 20     PA3AAV        599 14     0
QSO: 21000 CW 2017-11-26 0946 4X1KS         599 20     SO4M          599 15     0
QSO: 21000 CW 2017-11-26 0948 4X1KS         599 20     ES9C          599 15     0
QSO: 21000 CW 2017-11-26 0949 4X1KS         599 20     DK0TA         599 14     0
QSO: 21000 CW 2017-11-26 0951 4X1KS         599 20     EA6VQ         599 14     0
QSO: 21000 CW 2017-11-26 0954 4X1KS         599 20     HG7T          599 15     0
QSO: 21000 CW 2017-11-26 1002 4X1KS         599 20     OK7FL         599 15     0
QSO: 21000 CW 2017-11-26 1006 4X1KS         599 20     OP7B          599 14     0
QSO: 21000 CW 2017-11-26 1010 4X1KS         599 20     DD1A          599 14     0
QSO: 21000 CW 2017-11-26 1012 4X1KS         599 20     EA5KM         599 14     0
QSO: 21000 CW 2017-11-26 1017 4X1KS         599 20     SP6OJK        599 15     0
QSO: 21000 CW 2017-11-26 1018 4X1KS         599 20     PA0O          599 14     0
QSO: 21000 CW 2017-11-26 1020 4X1KS         599 20     TM5T          599 14     0
QSO: 28000 CW 2017-11-26 1022 4X1KS         599 20     M6T           599 14     0
QSO: 28000 CW 2017-11-26 1025 4X1KS         599 20     9A6R          599 15     0
QSO: 28000 CW 2017-11-26 1028 4X1KS         599 20     M2G           599 14     0
QSO: 28000 CW 2017-11-26 1030 4X1KS         599 20     PI4CC         599 14     0
