START-OF-LOG: 3.0
CALLSIGN: RN4CA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 36162
NAME: SERGEY
LOCATION: DX
OPERATORS: RN4CA
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: SDR-1000, PA houm made etw 350wtt, TB antenna AD-335 (10/15/20)
QSO: 14009 CW 2017-11-25 1145 RN4CA         599 16     NR3X          599 05
QSO: 14010 CW 2017-11-25 1151 RN4CA         599 16     K2QMF         599 05
QSO: 14012 CW 2017-11-25 1152 RN4CA         599 16     EA3NO         599 14
QSO: 14014 CW 2017-11-25 1154 RN4CA         599 16     W1KM          599 05
QSO: 14022 CW 2017-11-25 1207 RN4CA         599 16     KQ3F          599 05
QSO: 14023 CW 2017-11-25 1209 RN4CA         599 16     KF3B          599 05
QSO: 14024 CW 2017-11-25 1211 RN4CA         599 16     N5DX          599 05
QSO: 14025 CW 2017-11-25 1212 RN4CA         599 16     K1BG          599 05
QSO: 14025 CW 2017-11-25 1216 RN4CA         599 16     PZ5V          599 09
QSO: 14026 CW 2017-11-25 1217 RN4CA         599 16     CR3OO         599 33
QSO: 14032 CW 2017-11-25 1220 RN4CA         599 16     VE2IM         599 02
QSO: 14034 CW 2017-11-25 1225 RN4CA         599 16     N2SR          599 05
QSO: 14034 CW 2017-11-25 1226 RN4CA         599 16     K1VR          599 05
QSO: 14039 CW 2017-11-25 1228 RN4CA         599 16     NE2V          599 05
QSO: 14039 CW 2017-11-25 1229 RN4CA         599 16     KC1XX         599 05
QSO: 14042 CW 2017-11-25 1231 RN4CA         599 16     K3TUF         599 05
QSO: 14045 CW 2017-11-25 1232 RN4CA         599 16     6Y3M          599 08
QSO: 14046 CW 2017-11-25 1233 RN4CA         599 16     N3IQ          599 05
QSO: 14053 CW 2017-11-25 1236 RN4CA         599 16     KU2C          599 05
QSO: 14060 CW 2017-11-25 1242 RN4CA         599 16     P40L          599 09
QSO: 14063 CW 2017-11-25 1244 RN4CA         599 16     K8AZ          599 04
QSO: 14064 CW 2017-11-25 1244 RN4CA         599 16     V47T          599 08
QSO: 14070 CW 2017-11-25 1251 RN4CA         599 16     NW3Y          599 05
