START-OF-LOG: 3.0
CALLSIGN: AD4TJ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 79520
NAME: David Tanks
LOCATION: VA
OPERATORS: AD4TJ
CLUB: SHENANDOAH VALLEY WIRELESS
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: Some stations do not give their call often enough!!!
QSO: 14017 CW 2017-11-25 0134 AD4TJ         599 5      FY5FY         599 09
QSO: 14025 CW 2017-11-25 0142 AD4TJ         599 5      CW5W          599 13
QSO: 14026 CW 2017-11-25 0143 AD4TJ         599 5      KH7B          599 31
QSO: 14028 CW 2017-11-25 0145 AD4TJ         599 5      VE3VEE        599 04
QSO:  7069 CW 2017-11-25 0150 AD4TJ         599 5      N4CC          599 05
QSO:  7068 CW 2017-11-25 0152 AD4TJ         599 5      CT9/OM3BH     599 33
QSO:  7068 CW 2017-11-25 0154 AD4TJ         599 5      EF2A          599 14
QSO:  7066 CW 2017-11-25 0159 AD4TJ         599 5      S52NR         599 15
QSO:  7065 CW 2017-11-25 0200 AD4TJ         599 5      TM1A          599 14
QSO:  7064 CW 2017-11-25 0203 AD4TJ         599 5      ZF2MJ         599 08
QSO:  7063 CW 2017-11-25 0207 AD4TJ         599 5      EA7OE         599 14
QSO:  7061 CW 2017-11-25 0209 AD4TJ         599 5      TM3R          599 14
QSO:  7061 CW 2017-11-25 0213 AD4TJ         599 5      G3TXF         599 14
QSO:  7060 CW 2017-11-25 0214 AD4TJ         599 5      CU3DX         599 14
QSO:  7060 CW 2017-11-25 0218 AD4TJ         599 5      V47T          599 08
QSO:  7059 CW 2017-11-25 0219 AD4TJ         599 5      S51F          599 15
QSO:  7059 CW 2017-11-25 0220 AD4TJ         599 5      DK0TA         599 14
QSO:  7058 CW 2017-11-25 0220 AD4TJ         599 5      OL1C          599 15
QSO:  7058 CW 2017-11-25 0222 AD4TJ         599 5      TE7W          599 07
QSO:  7056 CW 2017-11-25 0230 AD4TJ         599 5      DD1A          599 14
QSO:  7056 CW 2017-11-25 0231 AD4TJ         599 5      DK3GI         599 14
QSO:  7055 CW 2017-11-25 0232 AD4TJ         599 5      9A4WY         599 15
QSO:  7055 CW 2017-11-25 0235 AD4TJ         599 5      C4W           599 20
QSO:  7054 CW 2017-11-25 0237 AD4TJ         599 5      EA4KD         599 14
QSO:  7053 CW 2017-11-25 0241 AD4TJ         599 5      ER7U          599 33
QSO:  7053 CW 2017-11-25 0244 AD4TJ         599 5      PX2A          599 11
QSO:  7050 CW 2017-11-25 0250 AD4TJ         599 5      EA7RM         599 14
QSO:  7050 CW 2017-11-25 0252 AD4TJ         599 5      EA3DU         599 14
QSO:  7050 CW 2017-11-25 0253 AD4TJ         599 5      IR6T          599 15
QSO:  7049 CW 2017-11-25 0255 AD4TJ         599 5      P40L          599 09
QSO:  7049 CW 2017-11-25 0258 AD4TJ         599 5      EA5KM         599 14
QSO:  7049 CW 2017-11-25 0259 AD4TJ         599 5      NR5M          599 04
QSO:  7048 CW 2017-11-25 0302 AD4TJ         599 5      LT1F          599 13
QSO:  7046 CW 2017-11-25 0306 AD4TJ         599 5      SX2T          599 20
QSO:  7045 CW 2017-11-25 0309 AD4TJ         599 5      IR2Y          599 15
QSO:  7044 CW 2017-11-25 0314 AD4TJ         599 5      HG3R          599 15
QSO:  7044 CW 2017-11-25 0314 AD4TJ         599 5      IR4M          599 15
QSO:  7043 CW 2017-11-25 0315 AD4TJ         599 5      VP5M          599 08
QSO:  7043 CW 2017-11-25 0316 AD4TJ         599 5      EC2DX         599 14
QSO:  7042 CW 2017-11-25 0317 AD4TJ         599 5      TM5N          599 14
QSO:  7041 CW 2017-11-25 0320 AD4TJ         599 5      OK7K          599 15
QSO:  7041 CW 2017-11-25 0325 AD4TJ         599 5      PJ2T          599 09
QSO:  7039 CW 2017-11-25 0328 AD4TJ         599 5      F5OHM         599 14
QSO:  7038 CW 2017-11-25 0328 AD4TJ         599 5      DK3WW         599 14
QSO:  7038 CW 2017-11-25 0330 AD4TJ         599 5      IO2X          599 15
QSO:  7030 CW 2017-11-25 0338 AD4TJ         599 5      F4WBN         599 14
QSO:  7029 CW 2017-11-25 0340 AD4TJ         599 5      S53X          599 15
QSO:  7028 CW 2017-11-25 0345 AD4TJ         599 5      EB8R          599 33
QSO:  7028 CW 2017-11-25 0346 AD4TJ         599 5      DL1A          599 14
QSO:  7027 CW 2017-11-25 0347 AD4TJ         599 5      S59ABC        599 15
QSO:  7027 CW 2017-11-25 0349 AD4TJ         599 5      PS2T          599 11
QSO:  7027 CW 2017-11-25 0351 AD4TJ         599 5      9A3AG         599 15
QSO:  7025 CW 2017-11-25 0353 AD4TJ         599 5      OK2D          599 15
QSO: 14001 CW 2017-11-25 1223 AD4TJ         599 5      HG5D          599 15
QSO: 14003 CW 2017-11-25 1225 AD4TJ         599 5      P40W          599 09
QSO: 14004 CW 2017-11-25 1227 AD4TJ         599 5      YL2KO         599 15
QSO: 14004 CW 2017-11-25 1227 AD4TJ         599 5      HG4F          599 15
QSO: 14004 CW 2017-11-25 1234 AD4TJ         599 5      U7K           599 16
QSO: 14006 CW 2017-11-25 1236 AD4TJ         599 5      M6T           599 14
QSO: 14009 CW 2017-11-25 1240 AD4TJ         599 5      ON5JT         599 14
QSO: 14009 CW 2017-11-25 1242 AD4TJ         599 5      MM0TGH        599 14
QSO: 14010 CW 2017-11-25 1245 AD4TJ         599 5      EW6W          599 16
QSO: 14011 CW 2017-11-25 1246 AD4TJ         599 5      DL2A          599 14
QSO: 14013 CW 2017-11-25 1248 AD4TJ         599 5      S50R          599 15
QSO: 14013 CW 2017-11-25 1252 AD4TJ         599 5      IZ8UYU        599 15
QSO: 14016 CW 2017-11-25 1256 AD4TJ         599 5      HG1R          599 15
QSO: 14016 CW 2017-11-25 1300 AD4TJ         599 5      DR5X          599 14
QSO: 14017 CW 2017-11-25 1302 AD4TJ         599 5      RV3FF         599 16
QSO: 14018 CW 2017-11-25 1304 AD4TJ         599 5      HG7T          599 15
QSO: 14019 CW 2017-11-25 1306 AD4TJ         599 5      GU3SFR        599 14
QSO: 14019 CW 2017-11-25 1307 AD4TJ         599 5      RA7A          599 16
QSO: 14020 CW 2017-11-25 1312 AD4TJ         599 5      S57AL         599 15
QSO: 14023 CW 2017-11-25 1314 AD4TJ         599 5      DR5N          599 14
QSO: 14023 CW 2017-11-25 1315 AD4TJ         599 5      TM6M          599 14
QSO: 14025 CW 2017-11-25 1320 AD4TJ         599 5      DL1T          599 14
QSO: 14025 CW 2017-11-25 1321 AD4TJ         599 5      YT9A          599 15
QSO: 14026 CW 2017-11-25 1603 AD4TJ         599 5      PI4COM        599 14
QSO: 14026 CW 2017-11-25 1604 AD4TJ         599 5      TM0R          599 14
QSO: 14027 CW 2017-11-25 1607 AD4TJ         599 5      S51TA         599 15
QSO: 14027 CW 2017-11-25 1608 AD4TJ         599 5      9A1A          599 15
QSO: 14028 CW 2017-11-25 1609 AD4TJ         599 5      PA6X          599 14
QSO: 14028 CW 2017-11-25 1610 AD4TJ         599 5      G5U           599 14
QSO: 14028 CW 2017-11-25 1610 AD4TJ         599 5      LZ5R          599 20
QSO: 14029 CW 2017-11-25 1611 AD4TJ         599 5      F8CMF         599 14
QSO: 14030 CW 2017-11-25 1613 AD4TJ         599 5      VE2FK         599 05
QSO: 14031 CW 2017-11-25 1614 AD4TJ         599 5      II9P          599 15
QSO: 14034 CW 2017-11-25 1620 AD4TJ         599 5      ED2C          599 14
QSO: 14035 CW 2017-11-25 1632 AD4TJ         599 5      HA8M          599 15
QSO: 14037 CW 2017-11-25 1634 AD4TJ         599 5      HB9ARF        599 14
QSO: 14037 CW 2017-11-25 1635 AD4TJ         599 5      EA5KM         599 14
QSO: 14038 CW 2017-11-25 1637 AD4TJ         599 5      CR5K          599 14
QSO: 14040 CW 2017-11-25 1643 AD4TJ         599 5      G4R           599 14
QSO: 14041 CW 2017-11-25 1644 AD4TJ         599 5      DR4A          599 14
QSO: 14042 CW 2017-11-25 1645 AD4TJ         599 5      E77W          599 15
QSO: 14042 CW 2017-11-25 1647 AD4TJ         599 5      SD9CA         599 14
QSO: 14043 CW 2017-11-25 1650 AD4TJ         599 5      EC2DX         599 14
QSO: 14044 CW 2017-11-25 1652 AD4TJ         599 5      PA6NB         599 14
QSO: 21002 CW 2017-11-25 1656 AD4TJ         599 5      CR2M          599 14
QSO: 21004 CW 2017-11-25 1657 AD4TJ         599 5      WA7NB         599 03
QSO: 21008 CW 2017-11-25 1708 AD4TJ         599 5      EA4IV         599 14
QSO: 21011 CW 2017-11-25 1710 AD4TJ         599 5      EA5GX         599 14
QSO: 21013 CW 2017-11-25 1712 AD4TJ         599 5      PX2A          599 11
QSO: 21015 CW 2017-11-25 1714 AD4TJ         599 5      PW8T          599 11
QSO: 21018 CW 2017-11-25 2053 AD4TJ         599 5      LU1DZ         599 13
QSO: 21018 CW 2017-11-25 2054 AD4TJ         599 5      LT1F          599 13
QSO: 21020 CW 2017-11-25 2055 AD4TJ         599 5      P40L          599 09
QSO: 21021 CW 2017-11-25 2057 AD4TJ         599 5      PY2FSR        599 11
QSO: 21022 CW 2017-11-25 2100 AD4TJ         599 5      LU3CW         599 13
QSO: 21023 CW 2017-11-25 2101 AD4TJ         599 5      PJ4A          599 09
QSO: 21026 CW 2017-11-25 2102 AD4TJ         599 5      PJ4Y          599 09
QSO: 21028 CW 2017-11-25 2106 AD4TJ         599 5      TI7W          599 07
QSO: 21030 CW 2017-11-25 2107 AD4TJ         599 5      ZW5B          599 11
QSO: 21037 CW 2017-11-25 2112 AD4TJ         599 5      PP5EJ         599 11
QSO: 21038 CW 2017-11-25 2113 AD4TJ         599 5      YN2CC         599 07
QSO: 21042 CW 2017-11-25 2116 AD4TJ         599 5      6Y3M          599 08
QSO: 21043 CW 2017-11-25 2118 AD4TJ         599 5      VE7KW         599 03
QSO: 21047 CW 2017-11-25 2119 AD4TJ         599 5      6Y0W          599 08
QSO: 21053 CW 2017-11-25 2121 AD4TJ         599 5      V26K          599 08
QSO: 21054 CW 2017-11-25 2122 AD4TJ         599 5      PJ2T          599 09
QSO: 21058 CW 2017-11-25 2124 AD4TJ         599 5      PP5BI         599 11
QSO: 21049 CW 2017-11-25 2128 AD4TJ         599 5      8R1/AG6UT     599 09
QSO: 21071 CW 2017-11-25 2129 AD4TJ         599 5      VE7VR         599 03
QSO: 28050 CW 2017-11-25 2137 AD4TJ         599 5      PY2EX         599 11
QSO: 14007 CW 2017-11-25 2145 AD4TJ         599 5      PJ4Y          599 09
QSO: 14015 CW 2017-11-25 2154 AD4TJ         599 5      LU5FF         599 13
QSO: 14017 CW 2017-11-25 2156 AD4TJ         599 5      VE6LB         599 04
QSO: 14019 CW 2017-11-25 2159 AD4TJ         599 5      XL3T          599 04
QSO: 14025 CW 2017-11-25 2200 AD4TJ         599 5      XR6F          599 12
QSO: 14032 CW 2017-11-25 2203 AD4TJ         599 5      P40L          599 09
QSO: 14032 CW 2017-11-25 2205 AD4TJ         599 5      PJ2T          599 09
QSO: 14039 CW 2017-11-25 2206 AD4TJ         599 5      LU8DZJ        599 13
QSO:  3568 CW 2017-11-26 0116 AD4TJ         599 5      VA3BF         599 04
QSO:  3564 CW 2017-11-26 0133 AD4TJ         599 5      CR3OO         599 33
QSO:  3562 CW 2017-11-26 0134 AD4TJ         599 5      VE3VN         599 04
QSO:  3557 CW 2017-11-26 0137 AD4TJ         599 5      K1ESE         599 05
QSO:  3547 CW 2017-11-26 0144 AD4TJ         599 5      VE3PN         599 04
QSO:  3538 CW 2017-11-26 0153 AD4TJ         599 5      VY2TT         599 05
QSO:  3526 CW 2017-11-26 0156 AD4TJ         599 5      VE7GL         599 03
QSO:  3509 CW 2017-11-26 0205 AD4TJ         599 5      VA2WA         599 05
QSO:  3508 CW 2017-11-26 0207 AD4TJ         599 5      VE9ML         599 05
