START-OF-LOG: 3.0
CALLSIGN: VU2AE
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 71357
NAME: SRIVATHSA SATHYANARAYAN  (VATSA)
LOCATION: DX
OPERATORS: VU2AE
CLUB: VU CONTEST GROUP
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: First non-assisted contest!! I was in competition with myself.
QSO:  7000 CW 2017-11-25 0111 VU2AE         599 22     SN8N          599 15
QSO:  7001 CW 2017-11-25 0115 VU2AE         599 22     YL3FT         599 15
QSO:  7001 CW 2017-11-25 0118 VU2AE         599 22     YT5A          599 15
QSO:  7003 CW 2017-11-25 0123 VU2AE         599 22     OH0V          599 15
QSO:  7007 CW 2017-11-25 0213 VU2AE         599 22     VU2XE         599 22
QSO:  7022 CW 2017-11-25 0325 VU2AE         599 22     A45WG         599 21
QSO: 14011 CW 2017-11-25 0332 VU2AE         599 22     JT5DX         599 23
QSO: 14017 CW 2017-11-25 0333 VU2AE         599 22     UP2L          599 17
QSO: 14032 CW 2017-11-25 0338 VU2AE         599 22     HS0ZAR        599 26
QSO: 14048 CW 2017-11-25 0409 VU2AE         599 22     A44A          599 21
QSO: 14000 CW 2017-11-25 0414 VU2AE         599 22     A71EM         599 21
QSO: 14014 CW 2017-11-25 0418 VU2AE         599 22     A65CA         599 21
QSO: 14015 CW 2017-11-25 0419 VU2AE         599 22     YE1C          599 28
QSO: 14045 CW 2017-11-25 0422 VU2AE         599 22     UN6LN         599 17
QSO: 14046 CW 2017-11-25 0422 VU2AE         599 22     UK8OM         599 17
QSO: 14052 CW 2017-11-25 0426 VU2AE         599 22     UA4PAQ        599 16
QSO: 14009 CW 2017-11-25 0445 VU2AE         599 22     R4RR          599 16
QSO: 21008 CW 2017-11-25 0457 VU2AE         599 22     3B9HA         599 39
QSO: 21012 CW 2017-11-25 0500 VU2AE         599 22     BY8AC         599 24
