START-OF-LOG: 3.0
CALLSIGN: JP1LRT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 17424
NAME: Yoshiharu Tsukuura
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: CTESTWIN by JI1AQY
SOAPBOX: Some QSO on 15m 20m 10m. These are check log.
QSO: 21052 CW 2017-11-25 0333 JP1LRT        599 25     AH0K          599 27     0
QSO: 21026 CW 2017-11-25 0334 JP1LRT        599 25     YE1K          599 28     0
QSO: 21023 CW 2017-11-25 0335 JP1LRT        599 25     BA3OM         599 24     0
QSO: 21009 CW 2017-11-25 0336 JP1LRT        599 25     VR2CC         599 24     0
QSO: 21068 CW 2017-11-25 0337 JP1LRT        599 25     JQ1NGT        599 25     0
QSO: 14001 CW 2017-11-25 0339 JP1LRT        599 25     KH7B          599 31     0
QSO: 14011 CW 2017-11-25 0341 JP1LRT        599 25     JT5DX         599 22     0
QSO: 14012 CW 2017-11-25 0341 JP1LRT        599 25     BI4WXD        599 24     0
QSO: 14016 CW 2017-11-25 0342 JP1LRT        599 25     RW0A          599 18     0
QSO: 14019 CW 2017-11-25 0343 JP1LRT        599 25     BI4IIZ        599 24     0
QSO: 14022 CW 2017-11-25 0344 JP1LRT        599 25     BG4AHK        599 24     0
QSO: 14031 CW 2017-11-25 0346 JP1LRT        599 25     UA0A          599 18     0
QSO: 14034 CW 2017-11-25 0347 JP1LRT        599 25     UA0SDX        599 18     0
QSO: 14034 CW 2017-11-25 0348 JP1LRT        599 25     BH1SCW        599 24     0
QSO: 14039 CW 2017-11-25 0349 JP1LRT        599 25     BI4SSB        599 24     0
QSO: 14040 CW 2017-11-25 0349 JP1LRT        599 25     KH6LC         599 31     0
QSO: 14041 CW 2017-11-25 0354 JP1LRT        599 25     9M6/NR1J      599 28     0
QSO: 14043 CW 2017-11-25 0357 JP1LRT        599 25     CE3CT         599 12     0
QSO: 14046 CW 2017-11-25 0358 JP1LRT        599 25     LU4HK         599 13     0
QSO: 14055 CW 2017-11-25 0401 JP1LRT        599 25     CE3DNP        599 12     0
QSO: 28032 CW 2017-11-25 0403 JP1LRT        599 25     AH2R          599 27     0
QSO: 28044 CW 2017-11-25 0404 JP1LRT        599 25     AH0K          599 27     0
QSO: 28016 CW 2017-11-25 0406 JP1LRT        599 25     VK3JA         599 30     0
QSO:  7001 CW 2017-11-25 1336 JP1LRT        599 25     AH0K          599 27     0
QSO:  7007 CW 2017-11-25 1337 JP1LRT        599 25     NR5M          599 04     0
QSO:  7010 CW 2017-11-25 1338 JP1LRT        599 25     W7WA          599 03     0
QSO:  7016 CW 2017-11-25 1340 JP1LRT        599 25     BA7NQ         599 24     0
QSO:  7025 CW 2017-11-25 1340 JP1LRT        599 25     W6PH          599 03     0
QSO:  7042 CW 2017-11-25 1342 JP1LRT        599 25     NA6O          599 03     0
QSO:  7011 CW 2017-11-25 1344 JP1LRT        599 25     K5TR          599 04     0
QSO:  7013 CW 2017-11-25 1346 JP1LRT        599 25     JA1ZGP        599 25     0
QSO:  7021 CW 2017-11-25 1348 JP1LRT        599 25     HS0ZIA        599 26     0
QSO:  7014 CW 2017-11-25 1358 JP1LRT        599 25     V85T          599 28     0
QSO:  7015 CW 2017-11-25 1359 JP1LRT        599 25     WJ9B          599 03     0
QSO:  7037 CW 2017-11-25 1405 JP1LRT        599 25     AH2R          599 27     0
QSO:  7010 CW 2017-11-25 1407 JP1LRT        599 25     RW0A          599 18     0
QSO:  7039 CW 2017-11-25 1414 JP1LRT        599 25     LZ5K          599 20     0
QSO:  7017 CW 2017-11-25 1417 JP1LRT        599 25     9A3AG         599 15     0
QSO:  7003 CW 2017-11-25 1418 JP1LRT        599 25     S56X          599 15     0
QSO:  7032 CW 2017-11-25 1419 JP1LRT        599 25     SK3W          599 14     0
