START-OF-LOG: 3.0
CALLSIGN: PA4EL
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1111
NAME: Henk de Boo van Uijen
LOCATION: DX
OPERATORS: PA4EL
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5481.0
SOAPBOX: From my holiday location, Schouwen-Duiveland (JO11WR)
SOAPBOX: Used a barefoot FT847 + FD4 or longwire antenna.
QSO:  1834 CW 2017-11-25 1645 PA4EL   599 14 OK3RM   599 15
QSO:  1831 CW 2017-11-25 1646 PA4EL   599 14 HG1G    599 15
QSO:  1819 CW 2017-11-25 1649 PA4EL   599 14 OK3C    599 15
QSO:  1811 CW 2017-11-25 1651 PA4EL   599 14 9A5Y    599 15
QSO:  1814 CW 2017-11-25 1654 PA4EL   599 14 9A1A    599 15
QSO:  1839 CW 2017-11-25 1706 PA4EL   599 14 OL3A    599 15
QSO:  1830 CW 2017-11-25 1708 PA4EL   599 14 G4IIY   599 14
QSO:  1814 CW 2017-11-25 1732 PA4EL   599 14 F5IN    599 14
QSO:  1813 CW 2017-11-25 1821 PA4EL   599 14 ZA1WW   599 15
QSO:  1823 CW 2017-11-25 1826 PA4EL   599 14 OH2XX   599 15
QSO:  7071 CW 2017-11-25 1842 PA4EL   599 14 A44A    599 21
QSO:  7063 CW 2017-11-25 1846 PA4EL   599 14 4Z5LY   599 20
QSO:  7064 CW 2017-11-25 1849 PA4EL   599 14 CU4DX   599 14
QSO:  7037 CW 2017-11-25 1925 PA4EL   599 14 ZA1WW   599 15
QSO:  7080 CW 2017-11-25 1933 PA4EL   599 14 UT4EK   599 16
QSO:  1821 CW 2017-11-25 2010 PA4EL   599 14 YT5A    599 15
QSO:  1837 CW 2017-11-25 2034 PA4EL   599 14 OR3A    599 14
QSO:  1832 CW 2017-11-25 2036 PA4EL   599 14 EU3AC   599 16
QSO:  1840 CW 2017-11-25 2040 PA4EL   599 14 OZ1AA   599 14
QSO:  1828 CW 2017-11-25 2124 PA4EL   599 14 LY2NK   599 15
QSO:  1825 CW 2017-11-25 2128 PA4EL   599 14 EW6W    599 16
QSO:  1824 CW 2017-11-25 2130 PA4EL   599 14 EU4E    599 16
QSO:  1816 CW 2017-11-25 2215 PA4EL   599 14 TK0C    599 15
QSO:  1823 CW 2017-11-25 2220 PA4EL   599 14 OL1A    599 15
QSO:  1813 CW 2017-11-25 2226 PA4EL   599 14 YL6W    599 15
QSO: 14049 CW 2017-11-26 1123 PA4EL   599 14 ZA1WW   599 15
QSO: 14036 CW 2017-11-26 1128 PA4EL   599 14 ER4A    599 16
QSO: 14045 CW 2017-11-26 1131 PA4EL   599 14 EW6W    599 16
QSO: 14034 CW 2017-11-26 1143 PA4EL   599 14 6Y3M    599 08
QSO: 14051 CW 2017-11-26 1148 PA4EL   599 14 YW4D    599 09
QSO: 14032 CW 2017-11-26 1152 PA4EL   599 14 NN3Q    599 05
QSO: 14098 CW 2017-11-26 1224 PA4EL   599 14 PJ4Y    599 09
QSO: 14013 CW 2017-11-26 1234 PA4EL   599 14 PJ2T    599 09
QSO: 14021 CW 2017-11-26 1236 PA4EL   599 14 K1KP    599 05
QSO: 14096 CW 2017-11-26 1243 PA4EL   599 14 FY5FY   599 09
QSO:  7026 CW 2017-11-26 2052 PA4EL   599 14 K1TTT   599 05
QSO:  7061 CW 2017-11-26 2107 PA4EL   599 14 W1KM    599 05
QSO:  3534 CW 2017-11-26 2116 PA4EL   599 14 HB0A    599 14
QSO:  7044 CW 2017-11-26 2136 PA4EL   599 14 K1VR    599 05
QSO:  1830 CW 2017-11-26 2149 PA4EL   599 14 LY7Z    599 15
QSO:  1843 CW 2017-11-26 2155 PA4EL   599 14 E74R    599 15
QSO:  1814 CW 2017-11-26 2205 PA4EL   599 14 S53O    599 15
QSO:  1836 CW 2017-11-26 2210 PA4EL   599 14 GM4Z    599 14
END-OF-LOG:
