START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DF5BM
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 321750
CREATED-BY: UcxLog 7.64
NAME: Uwe Bobolz
CLUB: RHEIN RUHR DX ASSOCIATION
SOAPBOX: Hello, running 100 watts to wire-antennas. Thank you to all who made a
SOAPBOX: QSO with me ! Till next year. 73 DF5BM Uwe
QSO: 14000 CW 2017-11-25 0000 DF5BM         599 14     YT5A          599 15     0
QSO: 14000 CW 2017-11-25 0003 DF5BM         599 14     YT1A          599 15     0
QSO: 14000 CW 2017-11-25 0004 DF5BM         599 14     LZ5Z          599 20     0
QSO:  7000 CW 2017-11-25 0006 DF5BM         599 14     YO9HP         599 20     0
QSO:  7000 CW 2017-11-25 0007 DF5BM         599 14     CR3OO         599 33     0
QSO:  7000 CW 2017-11-25 0012 DF5BM         599 14     IC8FBU        599 15     0
QSO:  7000 CW 2017-11-25 0013 DF5BM         599 14     EA7OT         599 14     0
QSO:  7000 CW 2017-11-25 0013 DF5BM         599 14     RT6A          599 16     0
QSO:  7000 CW 2017-11-25 0015 DF5BM         599 14     CT9/OM3BH     599 33     0
QSO:  7000 CW 2017-11-25 0021 DF5BM         599 14     CT1BQH        599 14     0
QSO:  7000 CW 2017-11-25 0023 DF5BM         599 14     EU8F          599 16     0
QSO:  7000 CW 2017-11-25 0025 DF5BM         599 14     RU3TJ         599 16     0
QSO:  7000 CW 2017-11-25 0029 DF5BM         599 14     UC7A          599 16     0
QSO:  7000 CW 2017-11-25 0029 DF5BM         599 14     TK0C          599 15     0
QSO:  7000 CW 2017-11-25 0033 DF5BM         599 14     IR7R          599 15     0
QSO:  7000 CW 2017-11-25 0034 DF5BM         599 14     SW9AA         599 20     0
QSO:  7000 CW 2017-11-25 0036 DF5BM         599 14     P40C          599 09     0
QSO:  7000 CW 2017-11-25 0037 DF5BM         599 14     YR5N          599 20     0
QSO:  7000 CW 2017-11-25 0038 DF5BM         599 14     LZ1RW         599 20     0
QSO:  7000 CW 2017-11-25 0040 DF5BM         599 14     EA4KD         599 14     0
QSO:  7000 CW 2017-11-25 0041 DF5BM         599 14     EU1A          599 16     0
QSO:  7000 CW 2017-11-25 0045 DF5BM         599 14     EF8U          599 33     0
QSO:  7000 CW 2017-11-25 0052 DF5BM         599 14     R8TT          599 16     0
QSO:  7000 CW 2017-11-25 0053 DF5BM         599 14     EA5CR         599 14     0
QSO:  7000 CW 2017-11-25 0053 DF5BM         599 14     EA3DU         599 14     0
QSO:  7000 CW 2017-11-25 0055 DF5BM         599 14     V26K          599 08     0
QSO:  7000 CW 2017-11-25 0058 DF5BM         599 14     EA8ZS         599 33     0
QSO:  7000 CW 2017-11-25 0058 DF5BM         599 14     SX2T          599 20     0
QSO:  7000 CW 2017-11-25 0100 DF5BM         599 14     ER1OO         599 16     0
QSO:  7000 CW 2017-11-25 0100 DF5BM         599 14     YT1HA         599 15     0
QSO:  7000 CW 2017-11-25 0101 DF5BM         599 14     ED2C          599 14     0
QSO:  7000 CW 2017-11-25 0101 DF5BM         599 14     EC5CR         599 14     0
QSO:  7000 CW 2017-11-25 0103 DF5BM         599 14     P40L          599 09     0
QSO:  7000 CW 2017-11-25 0104 DF5BM         599 14     N2SR          599 05     0
QSO:  7000 CW 2017-11-25 0108 DF5BM         599 14     EC2DX         599 14     0
QSO:  7000 CW 2017-11-25 0109 DF5BM         599 14     YT4T          599 15     0
QSO:  7000 CW 2017-11-25 0110 DF5BM         599 14     SZ1A          599 20     0
QSO:  7000 CW 2017-11-25 0111 DF5BM         599 14     Z35F          599 15     0
QSO:  7000 CW 2017-11-25 0112 DF5BM         599 14     IO2X          599 15     0
QSO:  7000 CW 2017-11-25 0113 DF5BM         599 14     S56X          599 15     0
QSO:  7000 CW 2017-11-25 0117 DF5BM         599 14     RZ7T          599 16     0
QSO:  7000 CW 2017-11-25 0120 DF5BM         599 14     9A5Y          599 15     0
QSO:  7000 CW 2017-11-25 0122 DF5BM         599 14     ER4A          599 16     0
QSO:  7000 CW 2017-11-25 0123 DF5BM         599 14     YU1DW         599 15     0
QSO:  7000 CW 2017-11-25 0125 DF5BM         599 14     HA3DX         599 15     0
QSO:  7000 CW 2017-11-25 0128 DF5BM         599 14     LZ9W          599 20     0
QSO:  7000 CW 2017-11-25 0128 DF5BM         599 14     9A3AG         599 15     0
QSO:  7000 CW 2017-11-25 0130 DF5BM         599 14     CR3W          599 33     0
QSO:  7000 CW 2017-11-25 0132 DF5BM         599 14     UA3R          599 16     0
QSO:  7000 CW 2017-11-25 0133 DF5BM         599 14     9A1P          599 15     0
QSO:  7000 CW 2017-11-25 0134 DF5BM         599 14     HG5C          599 15     0
QSO:  7000 CW 2017-11-25 0135 DF5BM         599 14     R7AB          599 16     0
QSO:  7000 CW 2017-11-25 0136 DF5BM         599 14     US1Q          599 16     0
QSO:  7000 CW 2017-11-25 0138 DF5BM         599 14     S57AL         599 15     0
QSO:  7000 CW 2017-11-25 0139 DF5BM         599 14     9A7A          599 15     0
QSO:  7000 CW 2017-11-25 0140 DF5BM         599 14     EA5RS         599 14     0
QSO:  7000 CW 2017-11-25 0141 DF5BM         599 14     RK3Y          599 16     0
QSO:  7000 CW 2017-11-25 0143 DF5BM         599 14     S52AW         599 15     0
QSO:  7000 CW 2017-11-25 0144 DF5BM         599 14     SN8N          599 15     0
QSO:  7000 CW 2017-11-25 0144 DF5BM         599 14     YT5A          599 15     0
QSO:  7000 CW 2017-11-25 0147 DF5BM         599 14     Z370M         599 15     0
QSO:  7000 CW 2017-11-25 0149 DF5BM         599 14     RA9Y          599 18     0
QSO:  7000 CW 2017-11-25 0150 DF5BM         599 14     NW3Y          599 05     0
QSO:  7000 CW 2017-11-25 0154 DF5BM         599 14     YN2CC         599 07     0
QSO:  7000 CW 2017-11-25 0155 DF5BM         599 14     RT9T/3        599 16     0
