START-OF-LOG: 3.0
CALLSIGN: IW5EDI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 106168
NAME: Simone Mannini
LOCATION: DX
CLUB:
CERTIFICATE: YES
CREATED-BY: RUMlogNG (3.8.1) by DL2RUM
SOAPBOX: This has been my first CW contest. It has been exciting.
QSO:  7000 CW 2017-11-25 0009 IW5EDI        599 15     SN8N          599 15     0
QSO:  7001 CW 2017-11-25 0010 IW5EDI        599 15     SK3W          599 14     0
QSO:  7027 CW 2017-11-25 0018 IW5EDI        599 15     UX4U          599 16     0
QSO:  7029 CW 2017-11-25 0021 IW5EDI        599 15     EF8R          599 33     0
QSO:  7008 CW 2017-11-25 0026 IW5EDI        599 15     JT5DX         599 23     0
QSO:  7003 CW 2017-11-25 0028 IW5EDI        599 15     EU1WW         599 16     0
QSO:  7003 CW 2017-11-25 0037 IW5EDI        599 15     ZF9CW         599 8      0
QSO:  7006 CW 2017-11-25 0040 IW5EDI        599 15     RV9UP         599 18     0
QSO:  7007 CW 2017-11-25 0042 IW5EDI        599 15     KV2K          599 5      0
QSO:  7013 CW 2017-11-25 0053 IW5EDI        599 15     HG5A          599 15     0
QSO:  7013 CW 2017-11-25 0059 IW5EDI        599 15     YO9HP         599 20     0
QSO:  7013 CW 2017-11-25 0100 IW5EDI        599 15     OZ1AA         599 14     0
QSO:  7013 CW 2017-11-25 0102 IW5EDI        599 15     CU4DX         599 14     0
QSO:  7013 CW 2017-11-25 0104 IW5EDI        599 15     Z37OM         599 15     0
QSO:  3508 CW 2017-11-25 0109 IW5EDI        599 15     UT6UD         599 16     0
QSO:  3508 CW 2017-11-25 0110 IW5EDI        599 15     DJ0SP         599 14     0
QSO:  3568 CW 2017-11-25 0118 IW5EDI        599 15     YU1KT         599 14     0
QSO:  3568 CW 2017-11-25 0122 IW5EDI        599 15     G6XX          599 14     0
QSO:  3568 CW 2017-11-25 0124 IW5EDI        599 15     EW3LN         599 16     0
QSO:  3568 CW 2017-11-25 0127 IW5EDI        599 15     E76WO         599 15     0
QSO:  3568 CW 2017-11-25 0129 IW5EDI        599 15     S59AA         599 15     0
QSO:  3568 CW 2017-11-25 0130 IW5EDI        599 15     IB9T          599 15     0
QSO:  3568 CW 2017-11-25 0133 IW5EDI        599 15     HB9CZF        599 14     0
QSO:  3568 CW 2017-11-25 0139 IW5EDI        599 15     YQ6A          599 20     0
QSO:  3568 CW 2017-11-25 0140 IW5EDI        599 15     OM3ZWA        599 15     0
QSO:  3568 CW 2017-11-25 0142 IW5EDI        599 15     S51RE         599 15     0
QSO:  3568 CW 2017-11-25 0145 IW5EDI        599 15     OF6MW         599 15     0
QSO:  3568 CW 2017-11-25 0146 IW5EDI        599 15     LY7M          599 15     0
QSO:  3568 CW 2017-11-25 0151 IW5EDI        599 15     SN8B          599 15     0
QSO: 21007 CW 2017-11-25 1136 IW5EDI        599 15     ED1K          599 14     0
QSO: 21008 CW 2017-11-25 1137 IW5EDI        599 15     UA4S          599 16     0
QSO: 21026 CW 2017-11-25 1153 IW5EDI        599 15     ZW5B          599 11     0
QSO: 21028 CW 2017-11-25 1154 IW5EDI        599 15     TK0C          599 15     0
QSO: 21030 CW 2017-11-25 1156 IW5EDI        599 15     RZ7T          599 16     0
QSO: 21031 CW 2017-11-25 1159 IW5EDI        599 15     9A1A          599 15     0
QSO: 21034 CW 2017-11-25 1207 IW5EDI        599 15     PZ5V          599 9      0
QSO: 21035 CW 2017-11-25 1209 IW5EDI        599 15     SO4R          599 15     0
QSO: 21037 CW 2017-11-25 1211 IW5EDI        599 15     A44A          599 21     0
QSO: 21040 CW 2017-11-25 1215 IW5EDI        599 15     SO4M          599 15     0
QSO: 21041 CW 2017-11-25 1216 IW5EDI        599 15     R4OF          599 16     0
QSO: 21042 CW 2017-11-25 1216 IW5EDI        599 15     OK3A          599 15     0
QSO: 21043 CW 2017-11-25 1218 IW5EDI        599 15     YT1R          599 15     0
QSO: 21045 CW 2017-11-25 1220 IW5EDI        599 15     YT5A          599 15     0
QSO: 21045 CW 2017-11-25 1223 IW5EDI        599 15     CT9/R7KW      599 33     0
QSO: 21047 CW 2017-11-25 1228 IW5EDI        599 15     6Y0W          599 8      0
QSO: 21048 CW 2017-11-25 1229 IW5EDI        599 15     CR3W          599 33     0
QSO: 21056 CW 2017-11-25 1230 IW5EDI        599 15     EF8R          599 33     0
QSO: 21060 CW 2017-11-25 1234 IW5EDI        599 15     WP2B          599 8      0
QSO: 21062 CW 2017-11-25 1241 IW5EDI        599 15     LY2W          599 15     0
QSO: 21061 CW 2017-11-25 1247 IW5EDI        599 15     ZF2MJ         599 8      0
QSO: 21063 CW 2017-11-25 1249 IW5EDI        599 15     K3RV          599 5      0
QSO: 21063 CW 2017-11-25 1250 IW5EDI        599 15     KU2M          599 5      0
QSO: 21067 CW 2017-11-25 1253 IW5EDI        599 15     CR2M          599 14     0
QSO: 21069 CW 2017-11-25 1256 IW5EDI        599 15     9G5W          599 35     0
QSO: 14000 CW 2017-11-25 1314 IW5EDI        599 15     YT1A          599 15     0
QSO: 14004 CW 2017-11-25 1319 IW5EDI        599 15     CT9/OM3GI     599 33     0
QSO: 14005 CW 2017-11-25 1327 IW5EDI        599 15     EC2DX         599 14     0
QSO: 14007 CW 2017-11-25 1329 IW5EDI        599 15     R7CA          599 16     0
QSO: 14009 CW 2017-11-25 1331 IW5EDI        599 15     VA2WA         599 5      0
QSO: 14010 CW 2017-11-25 1334 IW5EDI        599 15     RT6A          599 16     0
QSO: 14011 CW 2017-11-25 1336 IW5EDI        599 15     F5ROX         599 14     0
QSO: 14012 CW 2017-11-25 1338 IW5EDI        599 15     K3WW          599 5      0
QSO:  7005 CW 2017-11-25 2107 IW5EDI        599 15     BY8DX         599 24     0
QSO:  7004 CW 2017-11-25 2111 IW5EDI        599 15     K1ZZ          599 5      0
QSO:  7005 CW 2017-11-25 2114 IW5EDI        599 15     SJ2W          599 14     0
QSO:  7006 CW 2017-11-25 2118 IW5EDI        599 15     YE1K          599 28     0
QSO:  7008 CW 2017-11-25 2119 IW5EDI        599 15     RW0A          599 18     0
QSO:  7009 CW 2017-11-25 2122 IW5EDI        599 15     CT9/OM3BH     599 33     0
QSO:  7009 CW 2017-11-25 2123 IW5EDI        599 15     UC7A          599 16     0
QSO:  7010 CW 2017-11-25 2124 IW5EDI        599 15     OF6MW         599 15     0
QSO:  7011 CW 2017-11-25 2126 IW5EDI        599 15     US1Q          599 16     0
QSO:  7011 CW 2017-11-25 2127 IW5EDI        599 15     CN2R          599 33     0
QSO:  7013 CW 2017-11-25 2128 IW5EDI        599 15     YT5A          599 15     0
QSO:  7015 CW 2017-11-25 2132 IW5EDI        599 15     B1Z           599 24     0
QSO:  7021 CW 2017-11-25 2138 IW5EDI        599 15     JA6SHL        599 23     0
QSO:  7032 CW 2017-11-25 2139 IW5EDI        599 15     ES9C          599 15     0
QSO:  7034 CW 2017-11-25 2141 IW5EDI        599 15     OH0R          599 15     0
QSO:  7035 CW 2017-11-25 2151 IW5EDI        599 15     UP0L          599 17     0
QSO:  7036 CW 2017-11-25 2153 IW5EDI        599 15     OH9W          599 15     0
QSO:  7036 CW 2017-11-25 2156 IW5EDI        599 15     PZ5V          599 9      0
QSO:  7037 CW 2017-11-25 2159 IW5EDI        599 15     CR3W          599 33     0
QSO:  7037 CW 2017-11-25 2201 IW5EDI        599 15     PJ4Y          599 9      0
QSO:  7038 CW 2017-11-25 2203 IW5EDI        599 15     RZ7T          599 16     0
QSO:  7037 CW 2017-11-25 2219 IW5EDI        599 15     ES3V          599 15     0
QSO:  7039 CW 2017-11-25 2220 IW5EDI        599 15     RT3F          599 16     0
QSO:  7043 CW 2017-11-25 2222 IW5EDI        599 15     YL9T          599 15     0
QSO:  7048 CW 2017-11-25 2225 IW5EDI        599 15     JA3YBK        599 25     0
QSO:  7049 CW 2017-11-25 2226 IW5EDI        599 15     UA7K          599 16     0
QSO:  7069 CW 2017-11-25 2237 IW5EDI        599 15     A44A          599 21     0
QSO:  7083 CW 2017-11-25 2239 IW5EDI        599 15     OR3A          599 14     0
QSO:  7000 CW 2017-11-25 2241 IW5EDI        599 15     OF5Z          599 15     0
QSO:  7005 CW 2017-11-25 2249 IW5EDI        599 15     EA1AOQ        599 14     0
QSO:  7008 CW 2017-11-25 2250 IW5EDI        599 15     LN8W          599 14     0
QSO:  7010 CW 2017-11-25 2252 IW5EDI        599 15     LA2AB         599 14     0
QSO:  7011 CW 2017-11-25 2253 IW5EDI        599 15     RX7M          599 16     0
QSO:  7015 CW 2017-11-25 2255 IW5EDI        599 15     EW8W          599 16     0
QSO:  7024 CW 2017-11-25 2257 IW5EDI        599 15     RL5A          599 16     0
QSO:  7028 CW 2017-11-25 2258 IW5EDI        599 15     EW6W          599 16     0
QSO:  7029 CW 2017-11-25 2259 IW5EDI        599 15     RA7A          599 16     0
QSO:  7029 CW 2017-11-25 2300 IW5EDI        599 15     SM0HRP        599 14     0
QSO:  7030 CW 2017-11-25 2302 IW5EDI        599 15     UZ3A          599 16     0
QSO:  7030 CW 2017-11-25 2306 IW5EDI        599 15     HS0ZAR        599 26     0
QSO:  7032 CW 2017-11-25 2308 IW5EDI        599 15     F6ENO         599 14     0
QSO:  7043 CW 2017-11-25 2311 IW5EDI        599 15     EI0R          599 14     0
QSO:  7050 CW 2017-11-25 2314 IW5EDI        599 15     UN7LAN        599 17     0
