START-OF-LOG: 3.0
CALLSIGN: W9RNK
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 33222
NAME: Rich Knowles
LOCATION: OH
OPERATORS: W9RNK
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: The bands were poor overall. 15M was the best overall.
QSO:  7000 CW 2017-11-25 0004 W9RNK         599 4      VE3EJ         599 04
QSO:  7000 CW 2017-11-25 0012 W9RNK         599 4      W3EG          599 05
QSO:  7000 CW 2017-11-25 0016 W9RNK         599 4      IR1U          599 15
QSO:  7000 CW 2017-11-25 0020 W9RNK         599 4      DK0TA         599 14
QSO: 14000 CW 2017-11-25 1311 W9RNK         599 4      EA5KM         599 14
QSO: 14000 CW 2017-11-25 1312 W9RNK         599 4      LY5HR         599 15
QSO: 14000 CW 2017-11-25 1314 W9RNK         599 4      M6T           599 14
QSO: 14000 CW 2017-11-25 1324 W9RNK         599 4      TK0C          599 15
QSO: 14000 CW 2017-11-25 1327 W9RNK         599 4      ZF9CW         599 08
QSO: 14000 CW 2017-11-25 1329 W9RNK         599 4      LN8W          599 14
QSO: 14000 CW 2017-11-25 1333 W9RNK         599 4      OR3A          599 14
QSO: 14000 CW 2017-11-25 1336 W9RNK         599 4      5K0T          599 07
QSO: 14000 CW 2017-11-25 1341 W9RNK         599 4      RZ7T          599 16
QSO: 14000 CW 2017-11-25 1345 W9RNK         599 4      PJ2T          599 09
QSO: 21000 CW 2017-11-25 1403 W9RNK         599 4      ED8X          599 33
QSO: 21000 CW 2017-11-25 1405 W9RNK         599 4      CN2AA         599 33
QSO: 21000 CW 2017-11-25 1407 W9RNK         599 4      EF2A          599 14
QSO: 21000 CW 2017-11-25 1413 W9RNK         599 4      TI7W          599 07
QSO: 14000 CW 2017-11-25 1433 W9RNK         599 4      S57DX         599 15
QSO: 14000 CW 2017-11-25 1439 W9RNK         599 4      DK3G1         599 14
QSO: 14000 CW 2017-11-25 1441 W9RNK         599 4      K5RM          599 04
QSO: 14000 CW 2017-11-25 1445 W9RNK         599 4      G5O           599 14
QSO: 21000 CW 2017-11-25 1504 W9RNK         599 4      CR3OO         599 33
QSO: 21000 CW 2017-11-25 1504 W9RNK         599 4      ZF2MJ         599 08
QSO: 21000 CW 2017-11-25 1511 W9RNK         599 4      EF8R          599 33
QSO: 21000 CW 2017-11-25 1513 W9RNK         599 4      6Y0W          599 08
QSO: 21000 CW 2017-11-25 1529 W9RNK         599 4      CT3KN         599 33
QSO: 14000 CW 2017-11-25 1559 W9RNK         599 4      VE9SF         599 05
QSO: 14000 CW 2017-11-25 1600 W9RNK         599 4      EA1WX         599 14
QSO: 21000 CW 2017-11-25 1614 W9RNK         599 4      EC2DX         599 14
