START-OF-LOG: 3.0
CALLSIGN: SM7ZDI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Vic Pleshkevich
LOCATION: DX
OPERATORS: SM7ZDI
CLUB:
CERTIFICATE: YES
CREATED-BY: WINLOG32 v7.3.11
SOAPBOX: Casual entry as time permitted - mostly running with some S&P
QSO:  7000 CW 2017-11-25 1257 SM7ZDI        599 14     HG6O          599 15     0
QSO:  7000 CW 2017-11-25 1300 SM7ZDI        599 14     EA7TH         599 14     0
QSO:  7000 CW 2017-11-25 1301 SM7ZDI        599 14     DK5RL         599 14     0
QSO:  7000 CW 2017-11-25 1304 SM7ZDI        599 14     OM4O          599 15     0
QSO: 14000 CW 2017-11-25 1311 SM7ZDI        599 14     W1PY          599 05     0
QSO: 14000 CW 2017-11-25 1314 SM7ZDI        599 14     IT9BXR        599 15     0
QSO: 14000 CW 2017-11-25 1315 SM7ZDI        599 14     K2WK          599 05     0
QSO: 14000 CW 2017-11-25 1321 SM7ZDI        599 14     WB9Z          599 04     0
QSO: 14000 CW 2017-11-25 1328 SM7ZDI        599 14     RN3Z          599 16     0
QSO: 14000 CW 2017-11-25 1329 SM7ZDI        599 14     UX2MF         599 16     0
QSO: 14000 CW 2017-11-25 1331 SM7ZDI        599 14     RL6M          599 16     0
QSO: 14000 CW 2017-11-25 1335 SM7ZDI        599 14     LZ8U          599 20     0
QSO: 14000 CW 2017-11-25 1345 SM7ZDI        599 14     KU2C          599 05     0
QSO: 14000 CW 2017-11-25 1346 SM7ZDI        599 14     K1BX          599 05     0
QSO: 14000 CW 2017-11-25 1350 SM7ZDI        599 14     YO7LYM        599 20     0
QSO: 14000 CW 2017-11-25 1358 SM7ZDI        599 14     DL0VG         599 14     0
QSO: 14000 CW 2017-11-25 1400 SM7ZDI        599 14     W2MMD         599 05     0
QSO: 14000 CW 2017-11-25 1402 SM7ZDI        599 14     K9IG          599 04     0
QSO: 14000 CW 2017-11-25 1407 SM7ZDI        599 14     S52GO         599 15     0
QSO: 14000 CW 2017-11-25 1415 SM7ZDI        599 14     P33W          599 20     0
QSO: 14000 CW 2017-11-25 1418 SM7ZDI        599 14     WS9V          599 04     0
QSO: 14000 CW 2017-11-25 1441 SM7ZDI        599 14     VO2AC         599 02     0
QSO:  7000 CW 2017-11-25 1448 SM7ZDI        599 14     UR5WFP        599 16     0
QSO:  7000 CW 2017-11-25 1451 SM7ZDI        599 14     RK3Y          599 16     0
QSO:  7000 CW 2017-11-25 1452 SM7ZDI        599 14     UC7A          599 16     0
QSO:  7000 CW 2017-11-25 1453 SM7ZDI        599 14     UW5U          599 16     0
QSO:  7000 CW 2017-11-25 1454 SM7ZDI        599 14     RC7A          599 16     0
QSO:  7000 CW 2017-11-25 1456 SM7ZDI        599 14     EW6W          599 16     0
QSO:  7000 CW 2017-11-25 1458 SM7ZDI        599 14     R4SA          599 16     0
QSO:  7000 CW 2017-11-25 1501 SM7ZDI        599 14     OM3BA         599 15     0
QSO:  7000 CW 2017-11-25 1501 SM7ZDI        599 14     OK1DEK        599 15     0
QSO:  7000 CW 2017-11-25 1504 SM7ZDI        599 14     UR4RWW        599 16     0
QSO:  7000 CW 2017-11-25 1506 SM7ZDI        599 14     HA0DD         599 15     0
QSO:  7000 CW 2017-11-25 1508 SM7ZDI        599 14     S58Q          599 15     0
QSO:  7000 CW 2017-11-25 1509 SM7ZDI        599 14     G4FJW         599 14     0
QSO:  7000 CW 2017-11-25 1511 SM7ZDI        599 14     R8TT          599 16     0
QSO:  7000 CW 2017-11-25 1513 SM7ZDI        599 14     UA3R          599 16     0
QSO:  7000 CW 2017-11-25 1515 SM7ZDI        599 14     YO5AXF        599 20     0
QSO: 14000 CW 2017-11-25 1520 SM7ZDI        599 14     K0OO          599 05     0
QSO: 14000 CW 2017-11-25 1521 SM7ZDI        599 14     K1VR          599 05     0
QSO: 14000 CW 2017-11-25 1524 SM7ZDI        599 14     VE9AA         599 05     0
QSO: 14000 CW 2017-11-25 1532 SM7ZDI        599 14     W4RM          599 05     0
QSO: 14000 CW 2017-11-25 1535 SM7ZDI        599 14     N4ADC         599 05     0
QSO: 14000 CW 2017-11-25 1539 SM7ZDI        599 14     W1KM          599 05     0
QSO: 14000 CW 2017-11-25 1541 SM7ZDI        599 14     ND9G          599 04     0
QSO:  3500 CW 2017-11-26 0453 SM7ZDI        599 14     HA8RM         599 15     0
QSO:  3500 CW 2017-11-26 0459 SM7ZDI        599 14     OH2BR         599 15     0
QSO:  3500 CW 2017-11-26 0500 SM7ZDI        599 14     RW2F          599 15     0
QSO:  3500 CW 2017-11-26 0501 SM7ZDI        599 14     ES9C          599 15     0
QSO:  3500 CW 2017-11-26 0502 SM7ZDI        599 14     SP6MLX        599 15     0
QSO:  3500 CW 2017-11-26 0503 SM7ZDI        599 14     I2IFT         599 15     0
QSO:  3500 CW 2017-11-26 0503 SM7ZDI        599 14     LZ7A          599 20     0
QSO:  3500 CW 2017-11-26 0504 SM7ZDI        599 14     S51RJ         599 15     0
QSO:  3500 CW 2017-11-26 0505 SM7ZDI        599 14     R7AB          599 16     0
QSO:  3500 CW 2017-11-26 0506 SM7ZDI        599 14     DR4A          599 14     0
QSO:  3500 CW 2017-11-26 0506 SM7ZDI        599 14     RV3FW         599 16     0
QSO:  3500 CW 2017-11-26 0507 SM7ZDI        599 14     UY4W          599 16     0
QSO:  3500 CW 2017-11-26 0507 SM7ZDI        599 14     DD1A          599 14     0
QSO:  3500 CW 2017-11-26 0508 SM7ZDI        599 14     OL4W          599 15     0
QSO:  3500 CW 2017-11-26 0509 SM7ZDI        599 14     DL5CL         599 14     0
QSO:  3500 CW 2017-11-26 0509 SM7ZDI        599 14     DL9GCG        599 14     0
QSO:  3500 CW 2017-11-26 0510 SM7ZDI        599 14     LZ1AQ         599 20     0
QSO:  3500 CW 2017-11-26 0510 SM7ZDI        599 14     DJ3WE         599 14     0
QSO:  3500 CW 2017-11-26 0511 SM7ZDI        599 14     K3LR          599 05     0
QSO:  3500 CW 2017-11-26 0511 SM7ZDI        599 14     R3XA          599 16     0
QSO:  3500 CW 2017-11-26 0512 SM7ZDI        599 14     YR8D          599 20     0
QSO:  3500 CW 2017-11-26 0512 SM7ZDI        599 14     YU1LM         599 15     0
QSO:  3500 CW 2017-11-26 0513 SM7ZDI        599 14     S54X          599 15     0
QSO:  3500 CW 2017-11-26 0514 SM7ZDI        599 14     SP4JCQ        599 15     0
QSO:  3500 CW 2017-11-26 0515 SM7ZDI        599 14     SK3W          599 14     0
QSO:  3500 CW 2017-11-26 0515 SM7ZDI        599 14     OK1AY         599 15     0
QSO:  3500 CW 2017-11-26 0515 SM7ZDI        599 14     DR4N          599 14     0
QSO:  3500 CW 2017-11-26 0516 SM7ZDI        599 14     G3V           599 14     0
QSO:  3500 CW 2017-11-26 0517 SM7ZDI        599 14     LY5I          599 15     0
QSO:  3500 CW 2017-11-26 0517 SM7ZDI        599 14     UA7K          599 16     0
QSO:  3500 CW 2017-11-26 0519 SM7ZDI        599 14     HA6FQ         599 15     0
QSO:  3500 CW 2017-11-26 0520 SM7ZDI        599 14     YU5T          599 15     0
QSO:  3500 CW 2017-11-26 0520 SM7ZDI        599 14     DL7ON         599 14     0
