START-OF-LOG: 3.0
CALLSIGN: KC7QY
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 91350
NAME: Jim Lommen
LOCATION: NM
OPERATORS: KC7QY
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: Better conditions than expected. Nice 80M condx SUnday morning.
QSO:  3508 CW 2017-11-25 0532 KC7QY         599 4      CN2AA         599 33
QSO:  3509 CW 2017-11-25 0544 KC7QY         599 4      C6AGU         599 08
QSO:  3515 CW 2017-11-25 0603 KC7QY         599 4      TM6M          599 14
QSO:  3521 CW 2017-11-25 0620 KC7QY         599 4      6Y3M          599 08
QSO:  3544 CW 2017-11-25 0653 KC7QY         599 4      YN2CC         599 07
QSO:  3544 CW 2017-11-25 0655 KC7QY         599 4      CR3W          599 33
QSO:  3545 CW 2017-11-25 0659 KC7QY         599 4      VE3OTL        599 04
QSO:  3545 CW 2017-11-25 0702 KC7QY         599 4      ZF2MJ         599 08
QSO:  3555 CW 2017-11-25 0709 KC7QY         599 4      TI7W          599 07
QSO: 14068 CW 2017-11-25 1950 KC7QY         599 4      VE1RSM        599 05
QSO: 14067 CW 2017-11-25 1956 KC7QY         599 4      VE7IO         599 03
QSO: 14062 CW 2017-11-25 2001 KC7QY         599 4      VE3VEE        599 04
QSO: 14060 CW 2017-11-25 2003 KC7QY         599 4      V47T          599 08
QSO: 14059 CW 2017-11-25 2006 KC7QY         599 4      VE7ACN/7      599 03
QSO: 14058 CW 2017-11-25 2006 KC7QY         599 4      VE5SF         599 04
QSO: 14056 CW 2017-11-25 2009 KC7QY         599 4      6Y3M          599 08
QSO: 14055 CW 2017-11-25 2011 KC7QY         599 4      V26K          599 08
QSO: 14054 CW 2017-11-25 2014 KC7QY         599 4      ZF2MJ         599 08
QSO: 14052 CW 2017-11-25 2016 KC7QY         599 4      PS2F          599 11
QSO: 14049 CW 2017-11-25 2019 KC7QY         599 4      TI7W          599 07
QSO: 14046 CW 2017-11-25 2022 KC7QY         599 4      VE2FK         599 05
QSO: 14046 CW 2017-11-25 2024 KC7QY         599 4      YW4D          599 09
QSO: 14044 CW 2017-11-25 2025 KC7QY         599 4      KH6J          599 31
QSO: 14044 CW 2017-11-25 2129 KC7QY         599 4      VE6BBP        599 04
QSO: 14043 CW 2017-11-25 2130 KC7QY         599 4      VP5W          599 08
QSO: 14041 CW 2017-11-25 2135 KC7QY         599 4      PS2T          599 11
QSO: 14040 CW 2017-11-25 2140 KC7QY         599 4      CE3CT         599 12
QSO: 14037 CW 2017-11-25 2142 KC7QY         599 4      VE4GV         599 04
QSO: 14033 CW 2017-11-25 2153 KC7QY         599 4      TO2SP         599 08
QSO: 14032 CW 2017-11-25 2155 KC7QY         599 4      PJ4T          599 09
QSO: 14032 CW 2017-11-25 2156 KC7QY         599 4      OH1TX         599 15
QSO: 14031 CW 2017-11-25 2157 KC7QY         599 4      P40L          599 09
QSO: 14029 CW 2017-11-25 2203 KC7QY         599 4      JA3YBK        599 25
QSO: 14028 CW 2017-11-25 2203 KC7QY         599 4      KH7B          599 31
QSO: 14027 CW 2017-11-25 2208 KC7QY         599 4      KH7M          599 31
QSO: 14026 CW 2017-11-25 2210 KC7QY         599 4      OF5Z          599 15
QSO: 14026 CW 2017-11-25 2211 KC7QY         599 4      HQ9X          599 07
QSO: 14025 CW 2017-11-25 2212 KC7QY         599 4      XR6F          599 12
QSO: 14023 CW 2017-11-25 2224 KC7QY         599 4      RM0F          599 19
QSO: 14020 CW 2017-11-25 2229 KC7QY         599 4      VE7GL         599 03
QSO: 14019 CW 2017-11-25 2232 KC7QY         599 4      XL3T          599 04
QSO: 14017 CW 2017-11-25 2234 KC7QY         599 4      LU1DZ         599 13
QSO: 14016 CW 2017-11-25 2239 KC7QY         599 4      6Y0W          599 08
QSO: 14007 CW 2017-11-25 2256 KC7QY         599 4      PJ4Y          599 09
QSO: 14032 CW 2017-11-25 2259 KC7QY         599 4      PJ2T          599 09
QSO: 28047 CW 2017-11-25 2302 KC7QY         599 4      PP5FB         599 11
QSO: 21002 CW 2017-11-25 2309 KC7QY         599 4      CX2AQ         599 13
QSO: 21008 CW 2017-11-25 2313 KC7QY         599 4      PP5BI         599 11
QSO: 21011 CW 2017-11-25 2317 KC7QY         599 4      PY2WB         599 11
QSO: 21025 CW 2017-11-25 2328 KC7QY         599 4      CE3CT         599 12
QSO: 21026 CW 2017-11-25 2329 KC7QY         599 4      ZM4T          599 32
QSO: 21027 CW 2017-11-25 2331 KC7QY         599 4      JA7ZFN        599 25
QSO: 21027 CW 2017-11-25 2333 KC7QY         599 4      JA3YBK        599 25
QSO: 21036 CW 2017-11-25 2338 KC7QY         599 4      KH6J          599 31
QSO: 21046 CW 2017-11-25 2343 KC7QY         599 4      KH6LC         599 31
QSO: 21055 CW 2017-11-25 2345 KC7QY         599 4      KH6CJJ        599 31
QSO: 21029 CW 2017-11-25 2352 KC7QY         599 4      CW5W          599 13
QSO: 21018 CW 2017-11-25 2356 KC7QY         599 4      PX2A          599 11
QSO: 21006 CW 2017-11-25 2358 KC7QY         599 4      CW4MAX        599 13
QSO: 14069 CW 2017-11-26 0001 KC7QY         599 4      JE1LFX        599 25
QSO: 14069 CW 2017-11-26 0001 KC7QY         599 4      JO7KMB        599 25
QSO: 14025 CW 2017-11-26 0141 KC7QY         599 4      KH6TU         599 31
QSO:  7000 CW 2017-11-26 0155 KC7QY         599 4      CT9/OK6RA     599 33
QSO:  7001 CW 2017-11-26 0157 KC7QY         599 4      XE1IM         599 06
QSO:  7002 CW 2017-11-26 0159 KC7QY         599 4      P40W          599 09
QSO:  7006 CW 2017-11-26 0204 KC7QY         599 4      TM6M          599 14
QSO:  7006 CW 2017-11-26 0206 KC7QY         599 4      HQ9X          599 07
QSO:  7008 CW 2017-11-26 0214 KC7QY         599 4      CT9/OM3BH     599 33
QSO:  7011 CW 2017-11-26 0220 KC7QY         599 4      TK0C          599 15
QSO:  7013 CW 2017-11-26 0226 KC7QY         599 4      IR4M          599 15
QSO:  7014 CW 2017-11-26 0228 KC7QY         599 4      EA5RS         599 14
QSO:  7015 CW 2017-11-26 0237 KC7QY         599 4      CN2R          599 33
QSO:  7020 CW 2017-11-26 0300 KC7QY         599 4      CN2AA         599 33
QSO:  7021 CW 2017-11-26 0306 KC7QY         599 4      KH7M          599 31
