START-OF-LOG: 3.0
CALLSIGN: LU8EHR
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 21087
NAME: Hugo Daniel Blanco
LOCATION: DX
OPERATORS: LU8EHR
CLUB: LU Contest Group
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: I did work this contest with a "Plan B" EFLW, 10m long, vertically
SOAPBOX: hanging from my shack window, about 0.5m from building wall !
SOAPBOX: Prop was very good indeed !
QSO: 14000 CW 2017-11-25 0005 LU8EHR        599 13     JH4UYB        599 25     0
QSO: 14000 CW 2017-11-25 0007 LU8EHR        599 13     LU2WA         599 13     0
QSO: 14000 CW 2017-11-25 0018 LU8EHR        599 13     RT0C          599 19     0
QSO: 14000 CW 2017-11-25 0020 LU8EHR        599 13     PJ2T          599 09     0
QSO: 14000 CW 2017-11-25 0023 LU8EHR        599 13     W3LPL         599 05     0
QSO: 14000 CW 2017-11-25 0024 LU8EHR        599 13     YW4D          599 09     0
QSO: 14000 CW 2017-11-25 0026 LU8EHR        599 13     K1TTT         599 05     0
QSO: 14000 CW 2017-11-25 0031 LU8EHR        599 13     NR5M          599 04     0
QSO: 14000 CW 2017-11-25 0038 LU8EHR        599 13     JA6LCJ        599 25     0
QSO: 14000 CW 2017-11-25 0048 LU8EHR        599 13     K0EJ          599 04     0
QSO: 14000 CW 2017-11-25 0054 LU8EHR        599 13     N7DD          599 03     0
QSO: 14000 CW 2017-11-25 0101 LU8EHR        599 13     JH8SLS        599 25     0
QSO: 14000 CW 2017-11-25 0115 LU8EHR        599 13     PY2IU         599 11     0
QSO: 14000 CW 2017-11-25 0121 LU8EHR        599 13     RT0F          599 19     0
QSO: 14000 CW 2017-11-25 0133 LU8EHR        599 13     PX2A          599 11     0
QSO: 14000 CW 2017-11-25 0141 LU8EHR        599 13     JA7ZFN        599 25     0
QSO: 14000 CW 2017-11-25 0143 LU8EHR        599 13     PY1SL         599 11     0
QSO: 14000 CW 2017-11-25 0150 LU8EHR        599 13     KH6LC         599 31     0
QSO: 14000 CW 2017-11-25 0153 LU8EHR        599 13     K3LR          599 05     0
QSO: 14000 CW 2017-11-25 0157 LU8EHR        599 13     PY4XX         599 11     0
QSO: 14000 CW 2017-11-25 0201 LU8EHR        599 13     K0LUZ         599 05     0
QSO:  7000 CW 2017-11-25 0226 LU8EHR        599 13     P33W          599 20     0
QSO:  7000 CW 2017-11-25 0507 LU8EHR        599 13     PP5NY         599 11     0
QSO: 14000 CW 2017-11-25 0526 LU8EHR        599 13     JA2XYO        599 25     0
QSO:  7000 CW 2017-11-25 0559 LU8EHR        599 13     CE3CT         599 12     0
QSO:  7000 CW 2017-11-25 0645 LU8EHR        599 13     PY4VG         599 11     0
QSO:  7000 CW 2017-11-25 0651 LU8EHR        599 13     PX2A          599 11     0
QSO:  7000 CW 2017-11-25 0736 LU8EHR        599 13     PS2T          599 11     0
QSO:  7000 CW 2017-11-25 0802 LU8EHR        599 13     FY5KE         599 09     0
QSO:  7000 CW 2017-11-25 0813 LU8EHR        599 13     PJ2T          599 09     0
QSO: 14000 CW 2017-11-25 0824 LU8EHR        599 13     PJ4E          599 09     0
QSO: 14000 CW 2017-11-25 0905 LU8EHR        599 13     EI6JK         599 14     0
QSO: 14000 CW 2017-11-25 0908 LU8EHR        599 13     KC1XX         599 05     0
QSO: 14000 CW 2017-11-25 0919 LU8EHR        599 13     GW5R          599 14     0
QSO: 14000 CW 2017-11-25 0931 LU8EHR        599 13     KV2K          599 05     0
QSO: 14000 CW 2017-11-25 0937 LU8EHR        599 13     PY2NY         599 11     0
QSO: 21000 CW 2017-11-25 1117 LU8EHR        599 13     ZW5B          599 11     0
QSO: 21000 CW 2017-11-25 1130 LU8EHR        599 13     LU1DZ         599 13     0
QSO: 28000 CW 2017-11-25 2058 LU8EHR        599 13     LW8DQ         599 13     0
QSO: 28000 CW 2017-11-25 2101 LU8EHR        599 13     AF6SA         599 03     0
QSO: 28000 CW 2017-11-25 2105 LU8EHR        599 13     K6RC          599 03     0
QSO: 28000 CW 2017-11-25 2108 LU8EHR        599 13     W3LPL         599 05     0
QSO: 28000 CW 2017-11-25 2110 LU8EHR        599 13     PY2EX         599 11     0
QSO: 28000 CW 2017-11-25 2118 LU8EHR        599 13     K2LE          599 05     0
QSO: 28000 CW 2017-11-25 2121 LU8EHR        599 13     K1TTT         599 05     0
QSO: 28000 CW 2017-11-25 2123 LU8EHR        599 13     ZW1CML        599 11     0
QSO: 21000 CW 2017-11-25 2147 LU8EHR        599 13     N4OX          599 05     0
QSO: 21000 CW 2017-11-25 2149 LU8EHR        599 13     K6XX          599 03     0
QSO: 21000 CW 2017-11-25 2151 LU8EHR        599 13     K6LL          599 03     0
QSO: 21000 CW 2017-11-25 2152 LU8EHR        599 13     W3LPL         599 05     0
QSO: 21000 CW 2017-11-25 2153 LU8EHR        599 13     N5FO          599 04     0
QSO: 21000 CW 2017-11-25 2155 LU8EHR        599 13     VE7KW         599 03     0
QSO: 21000 CW 2017-11-25 2202 LU8EHR        599 13     N0KV          599 04     0
QSO: 21000 CW 2017-11-25 2203 LU8EHR        599 13     K4OAQ         599 05     0
QSO: 21000 CW 2017-11-25 2205 LU8EHR        599 13     K7AR          599 03     0
QSO: 21000 CW 2017-11-25 2207 LU8EHR        599 13     NR5M          599 04     0
QSO: 21000 CW 2017-11-25 2209 LU8EHR        599 13     KH6LC         599 31     0
QSO: 21000 CW 2017-11-25 2212 LU8EHR        599 13     NA6O          599 03     0
QSO: 21000 CW 2017-11-25 2214 LU8EHR        599 13     KM6JD         599 03     0
QSO: 21000 CW 2017-11-25 2216 LU8EHR        599 13     K5TU          599 04     0
QSO: 21000 CW 2017-11-25 2218 LU8EHR        599 13     FM5FJ         599 08     0
QSO: 21000 CW 2017-11-25 2222 LU8EHR        599 13     JM7OLW        599 25     0
QSO: 21000 CW 2017-11-25 2224 LU8EHR        599 13     N7ZG          599 03     0
QSO: 21000 CW 2017-11-25 2228 LU8EHR        599 13     JA2XYO        599 25     0
QSO: 21000 CW 2017-11-25 2230 LU8EHR        599 13     PJ2T          599 09     0
QSO: 21000 CW 2017-11-25 2235 LU8EHR        599 13     K9CT          599 04     0
QSO: 21000 CW 2017-11-25 2242 LU8EHR        599 13     W1PR          599 03     0
QSO: 21000 CW 2017-11-25 2249 LU8EHR        599 13     VE7XF         599 03     0
QSO: 21000 CW 2017-11-25 2252 LU8EHR        599 13     K0RF          599 04     0
QSO: 21000 CW 2017-11-25 2254 LU8EHR        599 13     W6YA          599 03     0
QSO: 21000 CW 2017-11-25 2255 LU8EHR        599 13     K5RX          599 04     0
QSO: 21000 CW 2017-11-25 2306 LU8EHR        599 13     RT0F          599 19     0
QSO: 21000 CW 2017-11-25 2314 LU8EHR        599 13     K2YY/6        599 03     0
QSO: 21000 CW 2017-11-25 2315 LU8EHR        599 13     FG/F6ARC      599 08     0
QSO: 21000 CW 2017-11-25 2327 LU8EHR        599 13     KE2VB         599 03     0
QSO: 21000 CW 2017-11-25 2329 LU8EHR        599 13     PJ4A          599 09     0
QSO: 21000 CW 2017-11-25 2331 LU8EHR        599 13     PX2A          599 11     0
QSO: 21000 CW 2017-11-25 2339 LU8EHR        599 13     JA7ZFN        599 25     0
QSO: 21000 CW 2017-11-25 2340 LU8EHR        599 13     AA7V          599 03     0
QSO: 21000 CW 2017-11-25 2345 LU8EHR        599 13     K5TR          599 04     0
QSO: 21000 CW 2017-11-26 1610 LU8EHR        599 13     PS2T          599 11     0
QSO: 21000 CW 2017-11-26 1615 LU8EHR        599 13     PR7AB         599 11     0
QSO: 21000 CW 2017-11-26 1618 LU8EHR        599 13     PZ5V          599 09     0
QSO: 21000 CW 2017-11-26 1623 LU8EHR        599 13     PT8CW         599 11     0
QSO: 21000 CW 2017-11-26 1627 LU8EHR        599 13     IB9T          599 15     0
QSO: 21000 CW 2017-11-26 1632 LU8EHR        599 13     PR2W          599 11     0
QSO: 21000 CW 2017-11-26 1636 LU8EHR        599 13     PY2EX         599 11     0
QSO: 21000 CW 2017-11-26 1640 LU8EHR        599 13     CW5W          599 13     0
QSO: 21000 CW 2017-11-26 1650 LU8EHR        599 13     PY2AXH        599 11     0
QSO: 21000 CW 2017-11-26 1701 LU8EHR        599 13     EA5DY         599 14     0
QSO: 21000 CW 2017-11-26 1711 LU8EHR        599 13     PY4YY         599 11     0
QSO: 21000 CW 2017-11-26 1714 LU8EHR        599 13     PY2WB         599 11     0
QSO: 21000 CW 2017-11-26 1735 LU8EHR        599 13     K2AX          599 05     0
QSO: 21000 CW 2017-11-26 1739 LU8EHR        599 13     PY2KJ         599 11     0
QSO: 21000 CW 2017-11-26 1742 LU8EHR        599 13     EF8R          599 33     0
QSO: 21000 CW 2017-11-26 1744 LU8EHR        599 13     VY2TT         599 05     0
QSO: 21000 CW 2017-11-26 1748 LU8EHR        599 13     KC1XX         599 05     0
QSO: 21000 CW 2017-11-26 1759 LU8EHR        599 13     K2SSS         599 05     0
QSO: 28000 CW 2017-11-26 1804 LU8EHR        599 13     W0AIH         599 04     0
QSO: 28000 CW 2017-11-26 1806 LU8EHR        599 13     PP2FRS        599 11     0
QSO: 28000 CW 2017-11-26 1809 LU8EHR        599 13     AA9A          599 04     0
QSO: 28000 CW 2017-11-26 1811 LU8EHR        599 13     NR5M          599 04     0
QSO: 28000 CW 2017-11-26 1815 LU8EHR        599 13     N0NI          599 04     0
QSO: 28000 CW 2017-11-26 1825 LU8EHR        599 13     NX5M          599 04     0
QSO: 28000 CW 2017-11-26 1829 LU8EHR        599 13     K9IMM         599 04     0
QSO: 28000 CW 2017-11-26 1835 LU8EHR        599 13     W4MYA         599 05     0
QSO: 28000 CW 2017-11-26 1845 LU8EHR        599 13     K3IE          599 04     0
QSO: 28000 CW 2017-11-26 1848 LU8EHR        599 13     NR4M          599 05     0
QSO: 21000 CW 2017-11-26 1936 LU8EHR        599 13     AA9A          599 04     0
QSO: 21000 CW 2017-11-26 1941 LU8EHR        599 13     NN7CW         599 05     0
