START-OF-LOG: 3.0
CALLSIGN: GM0OBX
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 118503
NAME: W D McFarland
LOCATION: DX
OPERATORS: GM0OBX
CLUB: STIRLING DISTRICT AMATEUR RADIO SOCIETY
CERTIFICATE: NO
CREATED-BY: Win-Test 4.25.0
SOAPBOX: JUST PLAYING AT IT. GET THE CW SPEED UP )
QSO:  7017 CW 2017-11-25 0001 GM0OBX        599 14     EA9/EA5HPX    599 33     0
QSO:  7023 CW 2017-11-25 0003 GM0OBX        599 14     CR3W          599 33     0
QSO:  7025 CW 2017-11-25 0004 GM0OBX        599 14     EA7RM         599 14     0
QSO:  7007 CW 2017-11-25 0004 GM0OBX        599 14     9A7A          599 15     0
QSO:  7034 CW 2017-11-25 0005 GM0OBX        599 14     RZ7T          599 16     0
QSO:  7021 CW 2017-11-25 0013 GM0OBX        599 14     9A5Y          599 15     0
QSO:  7027 CW 2017-11-25 0015 GM0OBX        599 14     UX4U          599 16     0
QSO:  7009 CW 2017-11-25 0020 GM0OBX        599 14     TK0C          599 15     0
QSO:  7044 CW 2017-11-25 0025 GM0OBX        599 14     HG6N          599 15     0
QSO:  7048 CW 2017-11-25 0026 GM0OBX        599 14     EC5CR         599 14     0
QSO:  7031 CW 2017-11-25 0028 GM0OBX        599 14     IB9T          599 15     0
QSO:  7016 CW 2017-11-25 0029 GM0OBX        599 14     YU1RA         599 15     0
QSO:  7004 CW 2017-11-25 0032 GM0OBX        599 14     OL3A          599 15     0
QSO:  7002 CW 2017-11-25 0033 GM0OBX        599 14     P33W          599 20     0
QSO:  7004 CW 2017-11-25 0040 GM0OBX        599 14     EW8W          599 16     0
QSO:  7024 CW 2017-11-25 0042 GM0OBX        599 14     SN7Q          599 15     0
QSO:  7019 CW 2017-11-25 0045 GM0OBX        599 14     UZ2M          599 16     0
QSO:  7069 CW 2017-11-25 0048 GM0OBX        599 14     4U1A          599 16     0
QSO:  7062 CW 2017-11-25 0050 GM0OBX        599 14     YO9HP         599 20     0
QSO:  7009 CW 2017-11-25 0052 GM0OBX        599 14     SO4M          599 15     0
QSO:  7028 CW 2017-11-25 0054 GM0OBX        599 14     DL1A          599 14     0
QSO:  7039 CW 2017-11-25 0055 GM0OBX        599 14     OK7K          599 15     0
QSO:  7028 CW 2017-11-25 0059 GM0OBX        599 14     EF8RI         599 33     0
QSO:  7059 CW 2017-11-25 0103 GM0OBX        599 14     V47T          599 08     0
QSO:  7035 CW 2017-11-25 0745 GM0OBX        599 14     ES2MC         599 15     0
QSO:  7017 CW 2017-11-25 0746 GM0OBX        599 14     LX7I          599 14     0
QSO:  7031 CW 2017-11-25 0748 GM0OBX        599 14     ES1BH         599 15     0
QSO:  7063 CW 2017-11-25 0750 GM0OBX        599 14     TM1A          599 14     0
QSO:  7038 CW 2017-11-25 0751 GM0OBX        599 14     LY2W          599 15     0
QSO:  7027 CW 2017-11-25 0754 GM0OBX        599 14     HB9CA         599 14     0
QSO:  7049 CW 2017-11-25 0759 GM0OBX        599 14     EF2A          599 14     0
QSO:  7056 CW 2017-11-25 0802 GM0OBX        599 14     DL8WEM        599 14     0
QSO:  7056 CW 2017-11-25 0804 GM0OBX        599 14     CR2AA         599 14     0
QSO:  7056 CW 2017-11-25 0806 GM0OBX        599 14     G6FTB         599 14     0
QSO:  7056 CW 2017-11-25 0807 GM0OBX        599 14     SP1AEN        599 15     0
QSO:  7056 CW 2017-11-25 0808 GM0OBX        599 14     F1IWH         599 14     0
QSO:  7056 CW 2017-11-25 0809 GM0OBX        599 14     SK0QO         599 14     0
QSO:  7056 CW 2017-11-25 0810 GM0OBX        599 14     LY4A          599 15     0
QSO:  7056 CW 2017-11-25 0811 GM0OBX        599 14     EA6AJ         599 14     0
QSO:  7056 CW 2017-11-25 0812 GM0OBX        599 14     OK1FZM        599 15     0
QSO:  7056 CW 2017-11-25 0813 GM0OBX        599 14     DL1NKS        599 14     0
QSO:  7032 CW 2017-11-25 0815 GM0OBX        599 14     IK3UNA        599 15     0
QSO:  7008 CW 2017-11-25 0817 GM0OBX        599 14     EW6W          599 16     0
QSO: 21037 CW 2017-11-25 1447 GM0OBX        599 14     KE4KY         599 04     0
QSO: 21073 CW 2017-11-25 1450 GM0OBX        599 14     N3IQ          599 05     0
QSO: 21069 CW 2017-11-25 1450 GM0OBX        599 14     NN3W          599 05     0
QSO: 21080 CW 2017-11-25 1450 GM0OBX        599 14     9Y4/VE3EY     599 09     0
QSO: 21051 CW 2017-11-25 1453 GM0OBX        599 14     TO2SP         599 08     0
