START-OF-LOG: 3.0
CALLSIGN: OH2HZ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 33320
NAME: Jorma Aho-Mantila
LOCATION: DX
OPERATORS: OH2HZ
CLUB:
CERTIFICATE: NO
CREATED-BY: TR4W v.4.247
SOAPBOX: Rig Kenwoood TS180S, antennas Cushcraft R5 vertical and W3DZZ trap dipole.
SOAPBOX: Thanks for the contest next year a new try.
QSO: 14000 CW 2017-11-25 0817 OH2HZ         599 15     S50R          599 15
QSO: 14000 CW 2017-11-25 0821 OH2HZ         599 15     EF8U          599 33
QSO: 14000 CW 2017-11-25 0823 OH2HZ         599 15     YT2ISM        599 15
QSO: 14000 CW 2017-11-25 0824 OH2HZ         599 15     OM7M          599 15
QSO: 14000 CW 2017-11-25 0828 OH2HZ         599 15     LZ5Z          599 20
QSO: 14000 CW 2017-11-25 0829 OH2HZ         599 15     DK0TA         599 14
QSO: 14000 CW 2017-11-25 0831 OH2HZ         599 15     TK0C          599 15
QSO: 14000 CW 2017-11-25 0832 OH2HZ         599 15     9A5Y          599 15
QSO: 14000 CW 2017-11-25 0834 OH2HZ         599 15     S51YI         599 15
QSO: 14000 CW 2017-11-25 0835 OH2HZ         599 15     YT1A          599 15
QSO: 14000 CW 2017-11-25 0837 OH2HZ         599 15     F5OHM         599 14
QSO: 14000 CW 2017-11-25 0839 OH2HZ         599 15     HG5D          599 15
QSO: 14000 CW 2017-11-25 0842 OH2HZ         599 15     RT6A          599 16
QSO: 14000 CW 2017-11-25 0844 OH2HZ         599 15     HG4F          599 15
QSO: 14000 CW 2017-11-25 0845 OH2HZ         599 15     HA8M          599 15
QSO: 14000 CW 2017-11-25 0846 OH2HZ         599 15     YT5A          599 15
QSO: 14000 CW 2017-11-25 0848 OH2HZ         599 15     R8FF/8        599 17
QSO: 14000 CW 2017-11-25 0850 OH2HZ         599 15     DF0HQ         599 14
QSO: 14000 CW 2017-11-25 0852 OH2HZ         599 15     IQ3RK         599 15
