START-OF-LOG: 3.0
CALLSIGN: K6ICS
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 16683
NAME: Michael K. Gauthier
LOCATION: LAX
OPERATORS: K6ICS
CLUB:
CERTIFICATE: YES
CREATED-BY: N3FJP's CQ WW DX Contest Log 5.5
SOAPBOX: Problem with the "cut numbers" and "sloppy sending". I like "N" for "9".
QSO: 21000 CW 2017-11-25 1642 K6ICS         599 03     EA5KM         599 14     0
QSO: 21000 CW 2017-11-25 1644 K6ICS         599 03     NR5M          599 04     0
QSO: 28000 CW 2017-11-25 1743 K6ICS         599 03     PU7IN         599 11     0
QSO: 28000 CW 2017-11-25 1755 K6ICS         599 03     LU7HN         599 13     0
QSO: 14000 CW 2017-11-25 1812 K6ICS         599 03     KH7B          599 31     0
QSO: 14000 CW 2017-11-25 1821 K6ICS         599 03     KH6J          599 31     0
QSO: 14000 CW 2017-11-25 1849 K6ICS         599 03     KH6LC         599 31     0
QSO: 21000 CW 2017-11-25 2157 K6ICS         599 03     CE3CT         599 12     0
QSO: 21000 CW 2017-11-25 2202 K6ICS         599 03     CW5W          599 13     0
QSO: 21000 CW 2017-11-25 2203 K6ICS         599 03     N4OX          599 05     0
QSO: 21000 CW 2017-11-25 2207 K6ICS         599 03     LW3DG         599 13     0
QSO: 21000 CW 2017-11-25 2247 K6ICS         599 03     W6YA          599 03     0
QSO: 21000 CW 2017-11-25 2255 K6ICS         599 03     LT1F          599 13     0
QSO: 21000 CW 2017-11-25 2301 K6ICS         599 03     JA2XYO        599 25     0
QSO: 21000 CW 2017-11-25 2302 K6ICS         599 03     JA5FDJ        599 25     0
QSO: 21000 CW 2017-11-25 2311 K6ICS         599 03     JA7ZFN        599 25     0
QSO: 21000 CW 2017-11-25 2313 K6ICS         599 03     JA3YBK        599 25     0
QSO: 21000 CW 2017-11-25 2314 K6ICS         599 03     JA0QNJ        599 25     0
QSO: 14000 CW 2017-11-25 2356 K6ICS         599 03     CE3CT         599 12     0
QSO: 14000 CW 2017-11-26 0004 K6ICS         599 03     JE2YRB        599 25     0
QSO: 14000 CW 2017-11-26 0008 K6ICS         599 03     YW4D          599 09     0
QSO: 14000 CW 2017-11-26 0012 K6ICS         599 03     TI7W          599 07     0
QSO: 14000 CW 2017-11-26 0019 K6ICS         599 03     JA7ZFN        599 25     0
QSO: 14000 CW 2017-11-26 0022 K6ICS         599 03     6Y3M          599 08     0
QSO: 14000 CW 2017-11-26 0024 K6ICS         599 03     JR1IJV        599 25     0
QSO: 21000 CW 2017-11-26 0031 K6ICS         599 03     A31MM         599 32     0
QSO: 14000 CW 2017-11-26 0038 K6ICS         599 03     JR3MZR        599 25     0
QSO: 14000 CW 2017-11-26 0039 K6ICS         599 03     K5TU          599 04     0
QSO: 14000 CW 2017-11-26 0042 K6ICS         599 03     JR2GRX        599 25     0
QSO:  7000 CW 2017-11-26 0406 K6ICS         599 03     AI6V          599 03     0
QSO:  7000 CW 2017-11-26 0407 K6ICS         599 03     KH6LC         599 31     0
QSO:  7000 CW 2017-11-26 0409 K6ICS         599 03     K9CT          599 04     0
QSO:  7000 CW 2017-11-26 0411 K6ICS         599 03     W3LPL         599 05     0
QSO:  7000 CW 2017-11-26 0416 K6ICS         599 03     6Y3W          599 08     0
QSO:  7000 CW 2017-11-26 0420 K6ICS         599 03     KH6J          599 31     0
QSO:  7000 CW 2017-11-26 0538 K6ICS         599 03     VE6WQ         599 04     0
QSO:  7000 CW 2017-11-26 0544 K6ICS         599 03     VA7DZ         599 03     0
QSO:  7000 CW 2017-11-26 0546 K6ICS         599 03     KH7M          599 31     0
QSO:  7000 CW 2017-11-26 0549 K6ICS         599 03     VE7NY         599 03     0
QSO:  7000 CW 2017-11-26 0555 K6ICS         599 03     CR2JJ         599 14     0
QSO:  7000 CW 2017-11-26 0557 K6ICS         599 03     XE2X          599 06     0
QSO:  7000 CW 2017-11-26 0817 K6ICS         599 03     JA3YBK        599 25     0
QSO:  7000 CW 2017-11-26 0827 K6ICS         599 03     V49T          599 08     0
QSO:  3500 CW 2017-11-26 0835 K6ICS         599 03     NA6O          599 03     0
QSO:  7000 CW 2017-11-26 1054 K6ICS         599 03     P40L          599 09     0
QSO:  7000 CW 2017-11-26 1108 K6ICS         599 03     JA7ZFN        599 25     0
QSO:  7000 CW 2017-11-26 1113 K6ICS         599 03     JR2GRX        599 25     0
QSO:  7000 CW 2017-11-26 1117 K6ICS         599 03     JS3CTX        599 25     0
QSO: 21000 CW 2017-11-26 1811 K6ICS         599 03     CW4MAX        599 13     0
QSO: 21000 CW 2017-11-26 1814 K6ICS         599 03     HP3SS         599 07     0
QSO: 21000 CW 2017-11-26 1816 K6ICS         599 03     PJ2T          599 09     0
QSO: 21000 CW 2017-11-26 1821 K6ICS         599 03     ZW5B          599 11     0
QSO: 21000 CW 2017-11-26 1830 K6ICS         599 03     TO2SP         599 11     0
QSO: 28000 CW 2017-11-26 1833 K6ICS         599 03     PP5FB         599 11     0
QSO: 28000 CW 2017-11-26 1839 K6ICS         599 03     KM6Z          599 03     0
QSO: 28000 CW 2017-11-26 1841 K6ICS         599 03     CE3CT         599 12     0
QSO: 28000 CW 2017-11-26 1846 K6ICS         599 03     CW5W          599 13     0
QSO: 28000 CW 2017-11-26 1850 K6ICS         599 03     KH7W          599 31     0
QSO: 28000 CW 2017-11-26 1916 K6ICS         599 03     KH6LC         599 31     0
QSO: 28000 CW 2017-11-26 1921 K6ICS         599 03     NA6O          599 03     0
QSO: 21000 CW 2017-11-26 1928 K6ICS         599 03     PJ4A          599 09     0
QSO: 21000 CW 2017-11-26 1932 K6ICS         599 03     KH6J          599 31     0
QSO: 21000 CW 2017-11-26 2007 K6ICS         599 03     ZM4T          599 32     0
QSO: 21000 CW 2017-11-26 2016 K6ICS         599 03     6Y3M          599 08     0
QSO: 21000 CW 2017-11-26 2019 K6ICS         599 03     PJ4A          599 09     0
QSO: 28000 CW 2017-11-26 2026 K6ICS         599 03     PY2EX         599 11     0
QSO: 14000 CW 2017-11-26 2033 K6ICS         599 03     NR4M          599 05     0
QSO: 14000 CW 2017-11-26 2035 K6ICS         599 03     KH6J          599 31     0
QSO: 14000 CW 2017-11-26 2040 K6ICS         599 03     XL3T          599 04     0
QSO: 14000 CW 2017-11-26 2047 K6ICS         599 03     PV0C          599 11     0
QSO: 14000 CW 2017-11-26 2050 K6ICS         599 03     VE7FO         599 03     0
QSO: 14000 CW 2017-11-26 2053 K6ICS         599 03     PJ2T          599 09     0
QSO: 28000 CW 2017-11-26 2059 K6ICS         599 03     PJ2T          599 09     0
QSO: 21000 CW 2017-11-26 2139 K6ICS         599 03     ZF2MJ         599 08     0
QSO: 21000 CW 2017-11-26 2141 K6ICS         599 03     ZL4TT         599 32     0
QSO: 21000 CW 2017-11-26 2207 K6ICS         599 03     PX2A          599 11     0
QSO: 21000 CW 2017-11-26 2209 K6ICS         599 03     XE1EM         599 06     0
QSO: 21000 CW 2017-11-26 2223 K6ICS         599 03     JA5BQS        599 25     0
QSO: 21000 CW 2017-11-26 2227 K6ICS         599 03     CB1H          599 12     0
QSO: 14000 CW 2017-11-26 2235 K6ICS         599 03     VE7ACN/7      599 03     0
QSO: 21000 CW 2017-11-26 2347 K6ICS         599 03     JE2YRD        599 25     0
QSO: 21000 CW 2017-11-26 2350 K6ICS         599 03     JR2GRX        599 25     0
QSO: 21000 CW 2017-11-26 2359 K6ICS         599 03     JR3EOI        599 25     0
END-OF-LOG:
