START-OF-LOG: 3.0
CALLSIGN: M0CVO
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 16434
NAME: NIGEL BOOTH
LOCATION: DX
OPERATORS: M0CVO
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6858.0
SOAPBOX: Main antenna is down so made do with wire OCFD.
QSO:  7000 CW 2017-11-25 0714 M0CVO         599 14     9A3AM         599 15
QSO:  7000 CW 2017-11-25 0716 M0CVO         599 14     EW6W          599 16
QSO:  7000 CW 2017-11-25 0718 M0CVO         599 14     LY9Y          599 15
QSO:  7000 CW 2017-11-25 0719 M0CVO         599 14     SN1Y          599 15
QSO:  7000 CW 2017-11-25 0721 M0CVO         599 14     9A1P          599 15
QSO:  7000 CW 2017-11-25 0723 M0CVO         599 14     RT1M          599 16
QSO:  7000 CW 2017-11-25 0728 M0CVO         599 14     UW0K          599 16
QSO:  7000 CW 2017-11-25 0729 M0CVO         599 14     OH0R          599 15
QSO:  7000 CW 2017-11-25 0730 M0CVO         599 14     OK2D          599 15
QSO:  7000 CW 2017-11-25 0732 M0CVO         599 14     9A1A          599 15
QSO:  7000 CW 2017-11-25 0735 M0CVO         599 14     SN2B          599 15
QSO:  7000 CW 2017-11-25 0737 M0CVO         599 14     EF3A          599 14
QSO:  7000 CW 2017-11-25 0738 M0CVO         599 14     SK3W          599 14
QSO:  7000 CW 2017-11-25 0739 M0CVO         599 14     DA0WRTC       599 14
QSO:  7000 CW 2017-11-25 0740 M0CVO         599 14     LY5W          599 15
QSO:  7000 CW 2017-11-25 0742 M0CVO         599 14     S58M          599 15
QSO: 14000 CW 2017-11-25 0749 M0CVO         599 14     RU3UR         599 16
QSO: 14000 CW 2017-11-25 0750 M0CVO         599 14     UA3EDQ        599 16
QSO: 14000 CW 2017-11-25 0752 M0CVO         599 14     II9P          599 15
QSO: 14000 CW 2017-11-25 0754 M0CVO         599 14     LZ9W          599 20
QSO: 14000 CW 2017-11-25 0758 M0CVO         599 14     HG5D          599 15
QSO: 14000 CW 2017-11-25 0802 M0CVO         599 14     IT9SSI        599 15
QSO: 14000 CW 2017-11-25 0806 M0CVO         599 14     R7AB          599 16
QSO: 14000 CW 2017-11-25 0810 M0CVO         599 14     YT5A          599 15
QSO: 14000 CW 2017-11-25 0814 M0CVO         599 14     EA5KM         599 14
QSO: 14000 CW 2017-11-25 0820 M0CVO         599 14     E77W          599 15
QSO: 14000 CW 2017-11-25 0822 M0CVO         599 14     SN8B          599 15
QSO: 14000 CW 2017-11-25 0825 M0CVO         599 14     R7LV          599 16
