START-OF-LOG: 3.0
CALLSIGN: W0BF
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE:
NAME: Gary N. Reeb
LOCATION: AZ
CLUB:
CERTIFICATE: NO
CREATED-BY: WA7BNM Web2Cabrillo 1.13
SOAPBOX: Thank you to all stations that copied my weak signal.
QSO:  7000 CW 2017-11-26 1131 W0BF          599 3      VE6WZ         599 04
QSO:  7000 CW 2017-11-26 1142 W0BF          599 3      JE6RPM        599 25
QSO:  7000 CW 2017-11-26 1145 W0BF          599 3      JR2GRX        599 25
QSO:  7000 CW 2017-11-26 1152 W0BF          599 3      VA2WA         599 05
QSO:  7000 CW 2017-11-26 1225 W0BF          599 3      VE7GL         599 03
QSO:  7000 CW 2017-11-26 1239 W0BF          599 3      KH6LC         599 31
QSO:  7000 CW 2017-11-26 1240 W0BF          599 3      XE2X          599 06
QSO:  7000 CW 2017-11-26 1257 W0BF          599 3      JA7ZFN        599 25
QSO:  7000 CW 2017-11-26 1301 W0BF          599 3      JR4OZR        599 25
QSO:  7000 CW 2017-11-26 1319 W0BF          599 3      JH1EAQ        599 25
QSO:  7000 CW 2017-11-26 1322 W0BF          599 3      KH6J          599 31
QSO:  7000 CW 2017-11-26 1412 W0BF          599 3      ZM4T          599 32
QSO:  7000 CW 2017-11-26 1446 W0BF          599 3      JA3YBK        599 25
QSO:  7000 CW 2017-11-26 1455 W0BF          599 3      RT0F          599 19
QSO:  7000 CW 2017-11-26 1509 W0BF          599 3      JI1RXQ        599 25
END-OF-LOG:
