START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: K2WR
LOCATION: ENY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 17640
NAME: Richard L. Gelber
OPERATORS: K2WR
CLUB: YANKEE CLIPPER CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: A minor effort, but a score is a score.  Hoped to capitalize on
SOAPBOX: the fresh meat syndrome for Sunday afternoon, but couldn't get
SOAPBOX: any runs going, although the S&P results weren't bad.  Condx
SOAPBOX: pretty decent for low spots and SFI.
QSO: 21239 PH 2018-10-28 2102 K2WR          59  5      ZX5J          59  11
QSO: 21256 PH 2018-10-28 2102 K2WR          59  5      CX5A          59  13
QSO: 21280 PH 2018-10-28 2105 K2WR          59  5      HI8RD         59  08
QSO: 21283 PH 2018-10-28 2107 K2WR          59  5      TG9ANF        59  07
QSO: 21287 PH 2018-10-28 2109 K2WR          59  5      HI3T          59  08
QSO: 21292 PH 2018-10-28 2110 K2WR          59  5      YW4D          59  09
QSO: 21298 PH 2018-10-28 2111 K2WR          59  5      PY2CX         59  11
QSO: 21302 PH 2018-10-28 2111 K2WR          59  5      CO6LC         59  08
QSO: 21323 PH 2018-10-28 2113 K2WR          59  5      ZF1A          59  08
QSO: 21335 PH 2018-10-28 2117 K2WR          59  5      PY2EJ         59  11
QSO: 21339 PH 2018-10-28 2117 K2WR          59  5      LU3DX         59  13
QSO: 21343 PH 2018-10-28 2118 K2WR          59  5      CE3PA         59  12
QSO: 21345 PH 2018-10-28 2120 K2WR          59  5      PJ2T          59  09
QSO: 21352 PH 2018-10-28 2120 K2WR          59  5      KH7XS         59  31
QSO: 21365 PH 2018-10-28 2122 K2WR          59  5      PQ5B          59  11
QSO: 21372 PH 2018-10-28 2125 K2WR          59  5      CE3DNP        59  12
QSO: 21378 PH 2018-10-28 2126 K2WR          59  5      PJ4G          59  09
QSO: 21278 PH 2018-10-28 2126 K2WR          59  5      TI1T          59  07
QSO: 21329 PH 2018-10-28 2127 K2WR          59  5      LU5VV         59  13
QSO: 21295 PH 2018-10-28 2127 K2WR          59  5      ZF9CW         59  08
QSO: 21216 PH 2018-10-28 2128 K2WR          59  5      HC0E          59  10
QSO: 14245 PH 2018-10-28 2132 K2WR          59  5      PZ5K          59  09
QSO: 14249 PH 2018-10-28 2133 K2WR          59  5      ZX5J          59  11
QSO: 14292 PH 2018-10-28 2137 K2WR          59  5      9Y4W          59  09
QSO: 14256 PH 2018-10-28 2138 K2WR          59  5      VP5W          59  08
QSO: 14262 PH 2018-10-28 2138 K2WR          59  5      PP2FRS        59  11
QSO: 14270 PH 2018-10-28 2139 K2WR          59  5      CE3NR         59  12
QSO: 14336 PH 2018-10-28 2141 K2WR          59  5      AL7KC         59  01
QSO: 14242 PH 2018-10-28 2141 K2WR          59  5      P40T          59  09
QSO: 14159 PH 2018-10-28 2142 K2WR          59  5      P40W          59  09
QSO: 14286 PH 2018-10-28 2145 K2WR          59  5      V3A           59  07
QSO: 14308 PH 2018-10-28 2145 K2WR          59  5      8P5A          59  08
QSO: 14329 PH 2018-10-28 2147 K2WR          59  5      JA7ZFN        59  25
QSO: 14162 PH 2018-10-28 2147 K2WR          59  5      JA7NVF        59  25
QSO: 14223 PH 2018-10-28 2150 K2WR          59  5      KL7RA         59  01
QSO: 14169 PH 2018-10-28 2152 K2WR          59  5      KH7XS         59  31
QSO: 14160 PH 2018-10-28 2154 K2WR          59  5      KP2M          59  08
QSO: 14300 PH 2018-10-28 2155 K2WR          59  5      CX2CC         59  13
QSO: 14269 PH 2018-10-28 2156 K2WR          59  5      JR3NZC        59  25
QSO: 14343 PH 2018-10-28 2157 K2WR          59  5      JR2GRX        59  25
QSO: 14287 PH 2018-10-28 2157 K2WR          59  5      JE6RPM        59  25
QSO: 14195 PH 2018-10-28 2159 K2WR          59  5      T42T          59  08
QSO: 14339 PH 2018-10-28 2204 K2WR          59  5      AH2R          59  27
QSO: 14197 PH 2018-10-28 2210 K2WR          59  5      PY0F          59  11
QSO: 14328 PH 2018-10-28 2211 K2WR          59  5      JH4UYB        59  25
QSO: 14226 PH 2018-10-28 2218 K2WR          59  5      V26B          59  08
QSO: 14293 PH 2018-10-28 2218 K2WR          59  5      KP3Z          59  08
QSO: 14200 PH 2018-10-28 2219 K2WR          59  5      HI3T          59  08
QSO: 14204 PH 2018-10-28 2219 K2WR          59  5      PP5RT         59  11
QSO: 14182 PH 2018-10-28 2220 K2WR          59  5      HK3C          59  09
QSO:  7157 PH 2018-10-28 2229 K2WR          59  5      SN3A          59  15
QSO:  7143 PH 2018-10-28 2231 K2WR          59  5      9A7A          59  15
QSO:  7128 PH 2018-10-28 2232 K2WR          59  5      IO5O          59  15
QSO:  7200 PH 2018-10-28 2233 K2WR          59  5      EI9HX         59  14
QSO:  7195 PH 2018-10-28 2235 K2WR          59  5      IR6T          59  15
QSO:  7193 PH 2018-10-28 2236 K2WR          59  5      RL3A          59  16
QSO:  7190 PH 2018-10-28 2236 K2WR          59  5      DR1A          59  14
QSO:  7186 PH 2018-10-28 2238 K2WR          59  5      OK5Z          59  15
QSO:  7185 PH 2018-10-28 2239 K2WR          59  5      IR2L          59  15
QSO:  7183 PH 2018-10-28 2239 K2WR          59  5      PJ4G          59  09
QSO:  7189 PH 2018-10-28 2240 K2WR          59  5      EF8R          59  33
QSO:  7169 PH 2018-10-28 2242 K2WR          59  5      ES9C          59  15
QSO:  7182 PH 2018-10-28 2243 K2WR          59  5      SN8B          59  15
QSO:  7180 PH 2018-10-28 2244 K2WR          59  5      OM7JG         59  15
QSO:  7221 PH 2018-10-28 2247 K2WR          59  5      SP8K          59  15
QSO:  7285 PH 2018-10-28 2248 K2WR          59  5      M6T           59  14
QSO:  7285 PH 2018-10-28 2249 K2WR          59  5      OK1CF         59  15
QSO:  7289 PH 2018-10-28 2252 K2WR          59  5      VP2MDG        59  08
QSO:  7228 PH 2018-10-28 2253 K2WR          59  5      HB9EOU        59  14
QSO:  7224 PH 2018-10-28 2254 K2WR          59  5      UW5ZM         59  16
QSO:  3767 PH 2018-10-28 2301 K2WR          59  5      VE9CB         59  05
QSO:  3764 PH 2018-10-28 2302 K2WR          59  5      VE3JM         59  04
QSO:  3723 PH 2018-10-28 2309 K2WR          59  5      CN3A          59  33
QSO:  3720 PH 2018-10-28 2318 K2WR          59  5      KP2M          59  08
QSO:  3736 PH 2018-10-28 2319 K2WR          59  5      ZF9CW         59  08
QSO:  3792 PH 2018-10-28 2321 K2WR          59  5      K4AJA/VP9     59  05
QSO:  3705 PH 2018-10-28 2327 K2WR          59  5      M6T           59  14
QSO:  3766 PH 2018-10-28 2328 K2WR          59  5      VE2BWL        59  05
END-OF-LOG:
