START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: R1QE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 0
LOCATION: DX
CLUB: RUSSIAN CW CLUB
CREATED-BY: UR5EQF log v.3.31-60
NAME: Bobrov Vladimir
OPERATORS: R1QE
SOAPBOX: Rig ICOM-718, 100Wt. Ant. Quad 160m. All band. 10m. up
QSO: 14000 PH 2018-10-27 1411 R1QE          59  16     ER1JA         59  16
QSO: 14000 PH 2018-10-27 1414 R1QE          59  16     DL0WM         59  14
QSO: 14000 PH 2018-10-27 1419 R1QE          59  16     DQ5M          59  14
QSO: 14000 PH 2018-10-27 1422 R1QE          59  16     9A9A          59  15
QSO: 14000 PH 2018-10-27 1429 R1QE          59  16     YP3A          59  20
QSO: 14000 PH 2018-10-27 1431 R1QE          59  16     OM2Y          59  15
QSO: 14000 PH 2018-10-27 1436 R1QE          59  16     DK5QN         59  14
QSO: 14000 PH 2018-10-27 1442 R1QE          59  16     LZ6O          59  20
QSO: 14000 PH 2018-10-27 1444 R1QE          59  16     IR3Z          59  15
QSO: 14000 PH 2018-10-27 1448 R1QE          59  16     DJ5MW         59  14
QSO: 21000 PH 2018-10-27 1452 R1QE          59  16     PY2KJ         59  11
QSO: 14000 PH 2018-10-27 1515 R1QE          59  16     DL2ARD        59  14
QSO: 14000 PH 2018-10-27 1515 R1QE          59  16     M6T           59  14
QSO: 14000 PH 2018-10-27 1519 R1QE          59  16     9A7A          59  15
QSO: 14000 PH 2018-10-27 1522 R1QE          59  16     DF0HQ         59  14
QSO: 14000 PH 2018-10-27 1530 R1QE          59  16     S52OT         59  15
QSO: 14000 PH 2018-10-27 1536 R1QE          59  16     IK2XDE        59  15
QSO:  7000 PH 2018-10-27 1545 R1QE          59  16     YU1KN         59  15
QSO:  7000 PH 2018-10-27 1546 R1QE          59  16     YT1HA         59  15
QSO:  7000 PH 2018-10-27 1553 R1QE          59  16     YT8WW         59  15
