START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: NY3C
LOCATION: DE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 111962
NAME: Gene MC DOWELL
OPERATORS: NY3C
CLUB: FRANKFORD RADIO CLUB
CERTIFICATE: NO
CREATED-BY: GenLog v7.0
SOAPBOX: Fun but sure will be glad when band condx improve!
QSO: 21000 PH 2018-10-27 1307 NY3C          59  05     CN3A          59  33
QSO: 21000 PH 2018-10-27 1308 NY3C          59  05     OK1GTH        59  15
QSO: 21000 PH 2018-10-27 1311 NY3C          59  05     HG7T          59  15
QSO: 21000 PH 2018-10-27 1313 NY3C          59  05     PJ4K          59  09
QSO: 21000 PH 2018-10-27 1314 NY3C          59  05     IK4GRO        59  15
QSO: 21000 PH 2018-10-27 1315 NY3C          59  05     S50C          59  15
QSO: 21000 PH 2018-10-27 1315 NY3C          59  05     IK2YCW        59  15
QSO: 21000 PH 2018-10-27 1316 NY3C          59  05     DL0AO         59  14
QSO: 21000 PH 2018-10-27 1317 NY3C          59  05     9A7A          59  15
QSO: 21000 PH 2018-10-27 1318 NY3C          59  05     HK3TK         59  09
QSO: 21000 PH 2018-10-27 1319 NY3C          59  05     YW4D          59  09
QSO: 21000 PH 2018-10-27 1320 NY3C          59  05     IQ0RU         59  15
QSO: 21000 PH 2018-10-27 1320 NY3C          59  05     S53M          59  15
QSO: 21000 PH 2018-10-27 1324 NY3C          59  05     P40T          59  09
QSO: 21000 PH 2018-10-27 1326 NY3C          59  05     DR6C          59  14
QSO: 21000 PH 2018-10-27 1327 NY3C          59  05     PJ4Q          59  09
QSO: 21000 PH 2018-10-27 1327 NY3C          59  05     S50W          59  15
QSO: 21000 PH 2018-10-27 1328 NY3C          59  05     S52ZW         59  15
QSO: 21000 PH 2018-10-27 1332 NY3C          59  05     PI4COM        59  14
QSO: 21000 PH 2018-10-27 1333 NY3C          59  05     HG6N          59  15
QSO: 21000 PH 2018-10-27 1336 NY3C          59  05     9A5Y          59  15
QSO: 21000 PH 2018-10-27 1337 NY3C          59  05     LX7I          59  14
QSO: 21000 PH 2018-10-27 1340 NY3C          59  05     ED5T          59  14
QSO: 21000 PH 2018-10-27 1340 NY3C          59  05     OK1NP         59  15
QSO: 21000 PH 2018-10-27 1343 NY3C          59  05     EA5IGO        59  14
QSO: 21000 PH 2018-10-27 1349 NY3C          59  05     KP3Z          59  08
QSO: 21000 PH 2018-10-27 1349 NY3C          59  05     YL7X          59  15
QSO: 21000 PH 2018-10-27 1359 NY3C          59  05     CR6T          59  14
QSO: 21000 PH 2018-10-27 1400 NY3C          59  05     P40L          59  09
QSO: 21000 PH 2018-10-27 1402 NY3C          59  05     8P5A          59  08
QSO: 21000 PH 2018-10-27 1403 NY3C          59  05     OH0V          59  15
QSO: 21000 PH 2018-10-27 1408 NY3C          59  05     KP2M          59  08
QSO: 21000 PH 2018-10-27 1408 NY3C          59  05     OR2M          59  14
QSO: 21000 PH 2018-10-27 1410 NY3C          59  05     YL2SM         59  15
QSO: 21000 PH 2018-10-27 1411 NY3C          59  05     K5TR          59  04
QSO: 21000 PH 2018-10-27 1413 NY3C          59  05     CT1AHU        59  14
QSO: 21000 PH 2018-10-27 1413 NY3C          59  05     PI4M          59  14
QSO: 21000 PH 2018-10-27 1415 NY3C          59  05     HA1TJ         59  15
QSO: 21000 PH 2018-10-27 1419 NY3C          59  05     ED8W          59  33
QSO: 21000 PH 2018-10-27 1421 NY3C          59  05     D4C           59  35
QSO: 21000 PH 2018-10-27 1422 NY3C          59  05     HA3DX         59  15
QSO:  3500 PH 2018-10-28 0248 NY3C          59  05     V26B          59  08
QSO:  3500 PH 2018-10-28 0255 NY3C          59  05     VP5W          59  08
QSO:  3500 PH 2018-10-28 0300 NY3C          59  05     OQ5M          59  14
QSO:  3500 PH 2018-10-28 0305 NY3C          59  05     M6T           59  14
QSO:  3500 PH 2018-10-28 0307 NY3C          59  05     DF0HQ         59  14
QSO:  3500 PH 2018-10-28 0309 NY3C          59  05     UW7LL         59  16
QSO:  3500 PH 2018-10-28 0314 NY3C          59  05     TM2T          59  14
QSO:  3500 PH 2018-10-28 0315 NY3C          59  05     EC6AAE        59  14
QSO:  3500 PH 2018-10-28 0317 NY3C          59  05     EA6FO         59  14
QSO:  3500 PH 2018-10-28 0321 NY3C          59  05     PJ2T          59  09
QSO:  3500 PH 2018-10-28 0328 NY3C          59  05     FY5KE         59  09
QSO:  3500 PH 2018-10-28 0331 NY3C          59  05     EF8R          59  33
QSO:  3500 PH 2018-10-28 0333 NY3C          59  05     OK8WW         59  15
QSO:  3500 PH 2018-10-28 0335 NY3C          59  05     M1U           59  14
QSO:  3500 PH 2018-10-28 0339 NY3C          59  05     CS2I          59  14
QSO:  3500 PH 2018-10-28 0340 NY3C          59  05     TI2OY         59  07
QSO:  3500 PH 2018-10-28 0342 NY3C          59  05     NA8V          59  04
QSO:  3500 PH 2018-10-28 0343 NY3C          59  05     W2RE          59  05
QSO:  3500 PH 2018-10-28 0345 NY3C          59  05     IR6T          59  15
QSO:  3500 PH 2018-10-28 0346 NY3C          59  05     UW1M          59  16
QSO:  3500 PH 2018-10-28 0347 NY3C          59  05     VP2MDG        59  08
QSO:  3500 PH 2018-10-28 0348 NY3C          59  05     G4L           59  14
QSO:  3500 PH 2018-10-28 0350 NY3C          59  05     SN8B          59  15
QSO:  3500 PH 2018-10-28 0355 NY3C          59  05     OM2VL         59  15
QSO:  1800 PH 2018-10-28 0358 NY3C          59  05     VE3JM         59  04
QSO:  1800 PH 2018-10-28 0400 NY3C          59  05     K3LR          59  05
QSO:  1800 PH 2018-10-28 0404 NY3C          59  05     PJ2T          59  09
QSO:  7000 PH 2018-10-28 0410 NY3C          59  05     S54ZZ         59  15
QSO:  7000 PH 2018-10-28 0412 NY3C          59  05     EA5SR         59  14
QSO:  7000 PH 2018-10-28 0414 NY3C          59  05     EC1kR         59  14
QSO:  7000 PH 2018-10-28 0416 NY3C          59  05     9K2K          59  21
QSO:  7000 PH 2018-10-28 0416 NY3C          59  05     CN3A          59  33
QSO:  7000 PH 2018-10-28 0417 NY3C          59  05     HA8M          59  15
QSO:  7000 PH 2018-10-28 0419 NY3C          59  05     TM3R          59  14
QSO:  7000 PH 2018-10-28 0420 NY3C          59  05     IR4M          59  15
QSO:  7000 PH 2018-10-28 0421 NY3C          59  05     IR9W          59  15
QSO:  7000 PH 2018-10-28 0422 NY3C          59  05     IR4X          59  15
QSO:  7000 PH 2018-10-28 0422 NY3C          59  05     IR6T          59  15
QSO:  7000 PH 2018-10-28 0423 NY3C          59  05     ED3X          59  14
QSO:  7000 PH 2018-10-28 0425 NY3C          59  05     EF8R          59  33
QSO:  7000 PH 2018-10-28 0426 NY3C          59  05     OK1CF         59  15
QSO:  7000 PH 2018-10-28 0428 NY3C          59  05     LZ9W          59  20
QSO:  7000 PH 2018-10-28 0431 NY3C          59  05     I2VRN         59  15
QSO:  7000 PH 2018-10-28 0432 NY3C          59  05     LX7I          59  14
QSO:  7000 PH 2018-10-28 0437 NY3C          59  05     8P5A          59  08
QSO:  7000 PH 2018-10-28 0438 NY3C          59  05     ED7P          59  14
QSO:  7000 PH 2018-10-28 0439 NY3C          59  05     LZ5R          59  20
QSO:  7000 PH 2018-10-28 0440 NY3C          59  05     9A7A          59  15
QSO:  7000 PH 2018-10-28 0440 NY3C          59  05     DR1A          59  14
QSO:  7000 PH 2018-10-28 0442 NY3C          59  05     HI3T          59  08
QSO:  7000 PH 2018-10-28 0445 NY3C          59  05     VP2MDG        59  08
QSO:  7000 PH 2018-10-28 0447 NY3C          59  05     YW5DX         59  09
QSO:  7000 PH 2018-10-28 0448 NY3C          59  05     KH6J          59  31
QSO: 14000 PH 2018-10-28 1439 NY3C          59  05     HG3R          59  15
QSO: 14000 PH 2018-10-28 1441 NY3C          59  05     IK6QON        59  15
QSO: 14000 PH 2018-10-28 1442 NY3C          59  05     RM3DA         59  16
