START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: LC1U
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME:
OPERATORS: LB8CG LB1RH
CLUB: LA4O
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: We operated from rented cabin at JP50VA with pretty simple antennas.
QSO:  7111 PH 2018-10-27 0005 LC1U          59  14     HG6N          59  15     1
QSO:  7158 PH 2018-10-27 0007 LC1U          59  14     HA8M          59  15     1
QSO:  7176 PH 2018-10-27 0013 LC1U          59  14     SN5O          59  15     1
QSO:  7173 PH 2018-10-27 0013 LC1U          59  14     II2S          59  15     1
QSO:  7168 PH 2018-10-27 0019 LC1U          59  14     SN8B          59  15     1
QSO:  7170 PH 2018-10-27 0020 LC1U          59  14     EI5IX         59  14     1
QSO:  7174 PH 2018-10-27 0021 LC1U          59  14     TM5EE         59  14     1
QSO:  7189 PH 2018-10-27 0021 LC1U          59  14     LZ5R          59  20     1
QSO:  7193 PH 2018-10-27 0023 LC1U          59  14     9A1TT         59  15     1
QSO:  7195 PH 2018-10-27 0023 LC1U          59  14     S57O          59  15     1
QSO:  7148 PH 2018-10-27 0027 LC1U          59  14     SN7H          59  15     1
QSO:  7144 PH 2018-10-27 0028 LC1U          59  14     DJ8OG         59  14     1
QSO:  7127 PH 2018-10-27 0029 LC1U          59  14     HG7T          59  15     1
QSO:  1838 PH 2018-10-27 0037 LC1U          59  14     SQ1OD         59  15     1
QSO:  1840 PH 2018-10-27 0037 LC1U          59  14     OH1C          59  15     1
QSO:  1858 PH 2018-10-27 0038 LC1U          59  14     OK7K          59  15     1
QSO:  1868 PH 2018-10-27 0038 LC1U          59  14     OK1T          59  15     1
QSO:  1875 PH 2018-10-27 0039 LC1U          59  14     YL2SM         59  15     1
QSO:  1864 PH 2018-10-27 0045 LC1U          59  14     OM0WR         59  15     1
QSO:  1861 PH 2018-10-27 0050 LC1U          59  14     S53O          59  15     1
QSO: 14221 PH 2018-10-27 0056 LC1U          59  14     R7KZ          59  15     1
QSO: 14210 PH 2018-10-27 0101 LC1U          59  14     OG73X         59  15     1
QSO:  3720 PH 2018-10-27 0103 LC1U          59  14     SN5O          59  15     1
QSO:  3716 PH 2018-10-27 0104 LC1U          59  14     UW5Y          59  16     1
QSO:  3712 PH 2018-10-27 0105 LC1U          59  14     PA9M          59  14     1
QSO:  3699 PH 2018-10-27 0106 LC1U          59  14     RV9FF         59  16     1
QSO:  3696 PH 2018-10-27 0106 LC1U          59  14     OM7RU         59  15     1
QSO:  3689 PH 2018-10-27 0107 LC1U          59  14     SQ2PHG        59  15     1
QSO:  3684 PH 2018-10-27 0108 LC1U          59  14     LY5Q          59  15     1
QSO:  3702 PH 2018-10-27 0110 LC1U          59  14     IZ1GAR        59  15     1
QSO:  3761 PH 2018-10-27 0112 LC1U          59  14     OH5Z          59  15     1
QSO:  3764 PH 2018-10-27 0112 LC1U          59  14     EW6W          59  16     1
QSO:  3773 PH 2018-10-27 0113 LC1U          59  14     ES9C          59  15     1
QSO:  3779 PH 2018-10-27 0114 LC1U          59  14     OZ5E          59  14     1
QSO:  3617 PH 2018-10-27 0118 LC1U          59  14     LY7Z          59  15     1
QSO:  3628 PH 2018-10-27 0118 LC1U          59  14     SK7K          59  14     1
QSO:  3629 PH 2018-10-27 0119 LC1U          59  14     HF5L          59  15     1
QSO:  3632 PH 2018-10-27 0120 LC1U          59  14     LY9A          59  15     1
QSO:  3623 PH 2018-10-27 0120 LC1U          59  14     9A2KI         59  15     1
QSO:  3676 PH 2018-10-27 0127 LC1U          59  14     HG5R          59  15     1
QSO:  3672 PH 2018-10-27 0128 LC1U          59  14     YO9FLD        59  20     1
QSO:  3669 PH 2018-10-27 0129 LC1U          59  14     US6EX         59  16     1
QSO:  3657 PH 2018-10-27 0130 LC1U          59  14     LY2BAA        59  15     1
QSO:  3644 PH 2018-10-27 0130 LC1U          59  14     US5D          59  16     1
