START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: JG1TUC
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 693
NAME: Hiroshi Dobashi
OPERATORS: JG1TUC
CLUB:
CERTIFICATE: NO
CREATED-BY:
SOAPBOX: Fun contest! Looking forward to participating in the contest next year.
QSO: 14208 PH 2018-10-27 0111 JG1TUC          59  25     K7RL          59  03     0
QSO: 14200 PH 2018-10-27 0128 JG1TUC          59  25     N7DD          59  03     0
QSO: 14235 PH 2018-10-27 0154 JG1TUC          59  25     RT0C          59  19     0
QSO: 14188 PH 2018-10-27 0203 JG1TUC          59  25     WC6H          59  03     0
QSO: 14232 PH 2018-10-27 0436 JG1TUC          59  25     NH7A          59  31     0
QSO: 14221 PH 2018-10-28 0002 JG1TUC          59  25     BV30R         59  24     0
QSO: 21205 PH 2018-10-28 0159 JG1TUC          59  25     KH7XS         59  31     0
QSO: 21215 PH 2018-10-28 0201 JG1TUC          59  25     BA4DL         59  24     0
QSO: 21213 PH 2018-10-28 0202 JG1TUC          59  25     VR2EH         59  24     0
QSO: 21235 PH 2018-10-28 0204 JG1TUC          59  25     HL1IWD        59  25     0
QSO: 21231 PH 2018-10-28 0210 JG1TUC          59  25     B4T           59  24     0
QSO: 21225 PH 2018-10-28 0217 JG1TUC          59  25     VR2CC         59  24     0
QSO: 21228 PH 2018-10-28 0220 JG1TUC          59  25     RT0C          59  19     0
QSO: 21301 PH 2018-10-28 0230 JG1TUC          59  25     KH6J          59  31     0
QSO: 21218 PH 2018-10-28 0326 JG1TUC          59  25     RA0QD         59  19     0
QSO: 21261 PH 2018-10-28 0644 JG1TUC          59  25     EW6W          59  16     0
QSO: 21280 PH 2018-10-28 0703 JG1TUC          59  25     ES9C          59  15     0
END-OF-LOG:
