START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: M0CVO
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 13667
NAME: NIGEL BOOTH
OPERATORS: M0CVO
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: Some good activity in this year's contest from new QTH.
QSO:  7000 PH 2018-10-27 0628 M0CVO         59  14     DR3W          59  14
QSO:  7000 PH 2018-10-27 0628 M0CVO         59  14     E7DX          59  15
QSO:  7000 PH 2018-10-27 0630 M0CVO         59  14     SN8B          59  15
QSO:  7000 PH 2018-10-27 0635 M0CVO         59  14     HA8M          59  15
QSO:  7000 PH 2018-10-27 0638 M0CVO         59  14     IR6T          59  15
QSO:  7000 PH 2018-10-27 0641 M0CVO         59  14     EF8R          59  33
QSO:  7000 PH 2018-10-27 0644 M0CVO         59  14     DA2X          59  14
QSO:  7000 PH 2018-10-27 0647 M0CVO         59  14     OK1GTH        59  15
QSO:  7000 PH 2018-10-27 0649 M0CVO         59  14     EA5SR         59  14
QSO:  7000 PH 2018-10-27 0651 M0CVO         59  14     US1Q          59  16
QSO:  7000 PH 2018-10-27 0652 M0CVO         59  14     OE5BGN        59  15
QSO:  7000 PH 2018-10-27 0653 M0CVO         59  14     S56X          59  15
QSO:  7000 PH 2018-10-27 0705 M0CVO         59  14     IK3ZAQ        59  15
QSO:  7000 PH 2018-10-27 0707 M0CVO         59  14     IW2MZX        59  15
QSO:  7000 PH 2018-10-27 0710 M0CVO         59  14     HB9OK         59  14
QSO:  7000 PH 2018-10-27 0712 M0CVO         59  14     DG7LAN/P      59  14
QSO:  7000 PH 2018-10-27 0713 M0CVO         59  14     UT4U          59  16
QSO:  7000 PH 2018-10-27 0716 M0CVO         59  14     LC1U          59  14
QSO:  7000 PH 2018-10-27 0717 M0CVO         59  14     YT1PA         59  15
QSO:  7000 PH 2018-10-27 0720 M0CVO         59  14     SJ0X          59  14
QSO:  7000 PH 2018-10-27 0723 M0CVO         59  14     TM5AEO        59  14
QSO:  7000 PH 2018-10-27 0726 M0CVO         59  14     DP6T          59  14
QSO: 14000 PH 2018-10-27 0728 M0CVO         59  14     UZ5ZU         59  16
QSO: 14000 PH 2018-10-27 0731 M0CVO         59  14     RT8U          59  18
QSO: 14000 PH 2018-10-27 0735 M0CVO         59  14     LZ5R          59  20
QSO: 14000 PH 2018-10-27 0738 M0CVO         59  14     YT1X          59  15
QSO: 14000 PH 2018-10-27 0739 M0CVO         59  14     UP0L          59  17
QSO: 14000 PH 2018-10-27 0741 M0CVO         59  14     RM3WO         59  16
QSO: 14000 PH 2018-10-27 0744 M0CVO         59  14     9A9A          59  15
QSO: 14000 PH 2018-10-27 0749 M0CVO         59  14     IO5O          59  15
QSO: 14000 PH 2018-10-27 0750 M0CVO         59  14     OG73X         59  15
QSO: 14000 PH 2018-10-27 0753 M0CVO         59  14     EA9KB         59  33
QSO: 14000 PH 2018-10-27 0755 M0CVO         59  14     EW8OP         59  16
QSO: 14000 PH 2018-10-27 0758 M0CVO         59  14     S50G          59  15
QSO: 14000 PH 2018-10-27 0810 M0CVO         59  14     OM2Y          59  15
QSO: 14000 PH 2018-10-27 0813 M0CVO         59  14     EA9LZ         59  33
QSO: 14000 PH 2018-10-27 0818 M0CVO         59  14     RC1W          59  16
QSO: 14000 PH 2018-10-27 0823 M0CVO         59  14     ES9C          59  15
QSO: 14000 PH 2018-10-27 0824 M0CVO         59  14     EE5T          59  14
QSO: 14000 PH 2018-10-27 0828 M0CVO         59  14     IO9A          59  15
QSO: 14000 PH 2018-10-27 0830 M0CVO         59  14     S53M          59  15
QSO: 14000 PH 2018-10-27 0834 M0CVO         59  14     ED3X          59  14
QSO: 14000 PH 2018-10-27 0835 M0CVO         59  14     OG7A          59  15
QSO: 14000 PH 2018-10-27 0837 M0CVO         59  14     IF9A          59  15
QSO: 14000 PH 2018-10-27 0841 M0CVO         59  14     LY7Z          59  15
QSO: 14000 PH 2018-10-27 0843 M0CVO         59  14     CN2CO         59  33
QSO: 14000 PH 2018-10-27 0847 M0CVO         59  14     LY2K          59  15
QSO: 14000 PH 2018-10-27 0849 M0CVO         59  14     RM7C          59  16
QSO: 14000 PH 2018-10-27 0851 M0CVO         59  14     ED7P          59  14
QSO: 14000 PH 2018-10-27 0853 M0CVO         59  14     EM2G          59  16
QSO: 14000 PH 2018-10-27 0857 M0CVO         59  14     EF8R          59  33
QSO: 14000 PH 2018-10-27 0858 M0CVO         59  14     9A3XV         59  15
QSO: 14000 PH 2018-10-27 0911 M0CVO         59  14     CT9ABO        59  33
QSO: 14000 PH 2018-10-27 0913 M0CVO         59  14     RW3XZ         59  16
QSO: 14000 PH 2018-10-27 0914 M0CVO         59  14     OG60F         59  15
QSO: 14000 PH 2018-10-27 0916 M0CVO         59  14     IQ0RU         59  15
QSO: 14000 PH 2018-10-27 0918 M0CVO         59  14     RW1CW         59  16
QSO: 14000 PH 2018-10-27 0919 M0CVO         59  14     IT9GSF        59  15
QSO: 14000 PH 2018-10-27 0921 M0CVO         59  14     ED1T          59  14
QSO: 14000 PH 2018-10-27 0944 M0CVO         59  14     EC4DX         59  14
QSO: 14000 PH 2018-10-27 0948 M0CVO         59  14     LY5W          59  15
QSO: 14000 PH 2018-10-27 0950 M0CVO         59  14     LY2MM         59  15
