START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: F4DBD
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 85500
NAME: Frederick GUERIN
OPERATORS: F4DBD
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: very nice contest ! so happy to be on air !
QSO:  3612 PH 2018-10-27 0620 F4DBD         59  14     DP7D          59  14
QSO:  3692 PH 2018-10-27 0622 F4DBD         59  14     OL9R          59  15
QSO:  3703 PH 2018-10-27 0623 F4DBD         59  14     DL1NKS        59  14
QSO:  3709 PH 2018-10-27 0624 F4DBD         59  14     PA9M          59  14
QSO:  3717 PH 2018-10-27 0625 F4DBD         59  14     DM0Y          59  14
QSO:  3730 PH 2018-10-27 0627 F4DBD         59  14     DP5N          59  14
QSO:  3735 PH 2018-10-27 0627 F4DBD         59  14     DR1A          59  14
QSO:  3742 PH 2018-10-27 0628 F4DBD         59  14     HB9EOU        59  14
QSO:  3745 PH 2018-10-27 0629 F4DBD         59  14     TM2T          59  14
QSO:  3749 PH 2018-10-27 0630 F4DBD         59  14     OK8WW         59  15
QSO:  3759 PH 2018-10-27 0631 F4DBD         59  14     GM2T          59  14
QSO:  3765 PH 2018-10-27 0632 F4DBD         59  14     TM0T          59  14
QSO:  3782 PH 2018-10-27 0633 F4DBD         59  14     PA2TMS        59  14
QSO:  3790 PH 2018-10-27 0633 F4DBD         59  14     M6T           59  14
QSO:  7099 PH 2018-10-27 0932 F4DBD         59  14     SO100N        59  15
QSO:  7105 PH 2018-10-27 0948 F4DBD         59  14     HB9OK         59  14
QSO:  7129 PH 2018-10-27 0949 F4DBD         59  14     S56Y          59  15
QSO:  7134 PH 2018-10-27 0949 F4DBD         59  14     M6T           59  14
QSO:  7144 PH 2018-10-27 0958 F4DBD         59  14     OH5Z          59  15
QSO:  7148 PH 2018-10-27 0959 F4DBD         59  14     PA7AL         59  14
QSO:  7156 PH 2018-10-27 0959 F4DBD         59  14     9A5Y          59  15
QSO:  7164 PH 2018-10-27 1000 F4DBD         59  14     DK3T          59  14
QSO:  7168 PH 2018-10-27 1005 F4DBD         59  14     LA4C          59  14
QSO:  7182 PH 2018-10-27 1006 F4DBD         59  14     DF0HQ         59  14
QSO:  7120 PH 2018-10-27 1042 F4DBD         59  14     F4HIK         59  14
QSO:  7146 PH 2018-10-27 1042 F4DBD         59  14     PI4M          59  14
QSO:  7170 PH 2018-10-27 1043 F4DBD         59  14     PC1PM         59  14
QSO:  7190 PH 2018-10-27 1053 F4DBD         59  14     PI4D          59  14
QSO:  7193 PH 2018-10-27 1054 F4DBD         59  14     DG1IU         59  14
QSO:  7115 PH 2018-10-27 1109 F4DBD         59  14     EI5IX         59  14
QSO:  7123 PH 2018-10-27 1111 F4DBD         59  14     IW2MZX        59  15
QSO: 14104 PH 2018-10-27 1459 F4DBD         59  14     EM2G          59  16
QSO: 14114 PH 2018-10-27 1511 F4DBD         59  14     SV1PMR        59  20
QSO: 14112 PH 2018-10-27 1513 F4DBD         59  14     9H6A          59  15
QSO: 14128 PH 2018-10-27 1515 F4DBD         59  14     YO8TNB        59  20
QSO: 14146 PH 2018-10-27 1517 F4DBD         59  14     LZ2JA         59  20
QSO: 14190 PH 2018-10-27 1518 F4DBD         59  14     LY2MM         59  15
QSO: 14208 PH 2018-10-27 1520 F4DBD         59  14     ER4DX         59  16
QSO: 14215 PH 2018-10-27 1521 F4DBD         59  14     IO9A          59  15
QSO: 14223 PH 2018-10-27 1521 F4DBD         59  14     RL3A          59  16
QSO: 14227 PH 2018-10-27 1523 F4DBD         59  14     9A9A          59  15
QSO: 14241 PH 2018-10-27 1526 F4DBD         59  14     CT9R          59  33
QSO: 14257 PH 2018-10-27 1526 F4DBD         59  14     YP3A          59  20
QSO: 14270 PH 2018-10-27 1527 F4DBD         59  14     EW8OP         59  16
QSO: 14262 PH 2018-10-27 1532 F4DBD         59  14     IQ7YP         59  15
QSO: 14273 PH 2018-10-27 1535 F4DBD         59  14     S52NR         59  15
QSO: 14310 PH 2018-10-27 1550 F4DBD         59  14     OE8Q          59  15
QSO: 14335 PH 2018-10-27 1553 F4DBD         59  14     SN8B          59  15
