START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: KQ2M
LOCATION: CT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 969362
NAME: Robert L. Shohet
CLUB: Yankee Clipper Contest Club
CERTIFICATE: NO
CREATED-BY: CT Version 9.65
SOAPBOX: Lots of antennas broken in the May 15th Macroburst with 110 mph wind
SOAPBOX: gusts have still not been repaired, so this was a very limited effort
SOAPBOX: with 1 radio.  Always fun to say hello to old friends and make new ones.
SOAPBOX: Tnx for the q's and the mults!  73  Bob KQ2M
QSO:  3735 PH 2018-10-27 0000 KQ2M           59 5      FY5KE         59  9
QSO:  3739 PH 2018-10-27 0318 KQ2M           59 5      HG7T          59  15
QSO:  3750 PH 2018-10-27 0318 KQ2M           59 5      S57AL         59  15
QSO:  3752 PH 2018-10-27 0320 KQ2M           59 5      ZW5B          59  11
QSO:  3757 PH 2018-10-27 0320 KQ2M           59 5      ED7W          59  14
QSO:  3759 PH 2018-10-27 0321 KQ2M           59 5      FM5DN         59  08
QSO:  3732 PH 2018-10-27 0323 KQ2M           59 5      D4C           59  35
QSO:  3725 PH 2018-10-27 0323 KQ2M           59 5      EI9E          59  14
QSO:  3724 PH 2018-10-27 0324 KQ2M           59 5      OM2VL         59  15
QSO:  3720 PH 2018-10-27 0325 KQ2M           59 5      K4AJA/VP9     59  05
QSO:  3717 PH 2018-10-27 0327 KQ2M           59 5      HI3T          59  08
QSO:  3714 PH 2018-10-27 0327 KQ2M           59 5      VP9I          59  05
QSO:  3698 PH 2018-10-27 0328 KQ2M           59 5      KP2M          59  08
QSO: 14286 PH 2018-10-27 1140 KQ2M           59 5      OE5XRL        59  15
QSO: 14292 PH 2018-10-27 1142 KQ2M           59 5      SP4DZT        59  15
QSO: 14292 PH 2018-10-27 1142 KQ2M           59 5      HG4F          59  15
QSO: 14292 PH 2018-10-27 1143 KQ2M           59 5      OM7L          59  15
QSO: 14292 PH 2018-10-27 1143 KQ2M           59 5      PA8KW         59  14
QSO: 14292 PH 2018-10-27 1143 KQ2M           59 5      UZ7M          59  16
QSO: 14292 PH 2018-10-27 1144 KQ2M           59 5      HG3R          59  15
