START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: NF7E
LOCATION: AZ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 123984
NAME: BOB WERTZ
OPERATORS: NF7E
CLUB: NORTHERN ARIZONA DX ASSN
CERTIFICATE: NO
CREATED-BY: N3FJP's CQ WW DX Contest Log 4.8
SOAPBOX: After test all I hear is Zulu,Zul,uZulu or Tango,tango,tango for hours!!
QSO: 21000 PH 2018-10-27 0003 NF7E          59  03     KH7M          59  31     0
QSO: 21000 PH 2018-10-27 0005 NF7E          59  03     KL7RA         59  01     0
QSO: 21000 PH 2018-10-27 0010 NF7E          59  03     CV7S          59  13     0
QSO: 21000 PH 2018-10-27 0010 NF7E          59  03     ZW5B          59  11     0
QSO: 21000 PH 2018-10-27 0022 NF7E          59  03     VP6D          59  32     0
QSO: 21000 PH 2018-10-27 0025 NF7E          59  03     LU5VV         59  13     0
QSO: 21000 PH 2018-10-27 0026 NF7E          59  03     JS3CTQ        59  25     0
QSO: 21000 PH 2018-10-27 0027 NF7E          59  03     ZV5O          59  11     0
QSO: 21000 PH 2018-10-27 0029 NF7E          59  03     JA5FDJ        59  25     0
QSO: 21000 PH 2018-10-27 0029 NF7E          59  03     JR2GRX        59  25     0
QSO: 21000 PH 2018-10-27 0030 NF7E          59  03     JA1ZJP        59  25     0
QSO: 21000 PH 2018-10-27 0031 NF7E          59  03     JH4UYB        59  25     0
QSO: 21000 PH 2018-10-27 0031 NF7E          59  03     JJ0JML        59  25     0
QSO: 21000 PH 2018-10-27 0034 NF7E          59  03     JA7BXS        59  25     0
QSO: 21000 PH 2018-10-27 0035 NF7E          59  03     ZM4T          59  32     0
QSO: 21000 PH 2018-10-27 0037 NF7E          59  03     XE3AU         59  06     0
QSO: 21000 PH 2018-10-27 0037 NF7E          59  03     JF3BFS        59  25     0
QSO: 21000 PH 2018-10-27 0042 NF7E          59  03     JE6RPM        59  25     0
QSO: 21000 PH 2018-10-27 0046 NF7E          59  03     ZP6A          59  11     0
QSO: 21000 PH 2018-10-27 0047 NF7E          59  03     NG7E          59  03     0
QSO: 21000 PH 2018-10-27 0048 NF7E          59  03     ZX5J          59  11     0
QSO: 21000 PH 2018-10-27 0051 NF7E          59  03     PR5O          59  11     0
QSO: 21000 PH 2018-10-27 0056 NF7E          59  03     XE2AD         59  06     0
QSO: 21000 PH 2018-10-27 0058 NF7E          59  03     JA8COE        59  25     0
QSO: 21000 PH 2018-10-27 0101 NF7E          59  03     ZL1RQ         59  32     0
QSO: 21000 PH 2018-10-27 0103 NF7E          59  03     VK2RSG        59  30     0
QSO: 21000 PH 2018-10-27 0109 NF7E          59  03     YE2A          59  28     0
QSO: 21000 PH 2018-10-27 0114 NF7E          59  03     DY0MK         59  27     0
QSO: 21000 PH 2018-10-27 0115 NF7E          59  03     JI1ZJS        59  25     0
QSO: 21000 PH 2018-10-27 0127 NF7E          59  03     VK4KW         59  30     0
QSO: 21000 PH 2018-10-27 0138 NF7E          59  03     KH6J          59  31     0
QSO: 21000 PH 2018-10-27 0141 NF7E          59  03     NH2DX         59  27     0
QSO: 14000 PH 2018-10-27 0143 NF7E          59  03     PQ5B          59  11     0
QSO: 14000 PH 2018-10-27 0145 NF7E          59  03     KH6J          59  31     0
QSO: 14000 PH 2018-10-27 0146 NF7E          59  03     KH7XS         59  31     0
QSO: 14000 PH 2018-10-27 0147 NF7E          59  03     NH7A          59  31     0
QSO: 14000 PH 2018-10-27 0149 NF7E          59  03     AH6U          59  31     0
QSO: 14000 PH 2018-10-27 0154 NF7E          59  03     ZL3AJ         59  32     0
QSO:  7000 PH 2018-10-27 0202 NF7E          59  03     KK7DP         59  04     0
QSO:  7000 PH 2018-10-27 0208 NF7E          59  03     VE7YBH        59  03     0
QSO:  7000 PH 2018-10-27 1406 NF7E          59  03     K3EST         59  03     0
QSO:  7000 PH 2018-10-27 1408 NF7E          59  03     JH4UYB        59  25     0
QSO:  7000 PH 2018-10-27 1410 NF7E          59  03     JR2GRX        59  25     0
QSO:  7000 PH 2018-10-27 1413 NF7E          59  03     K4PY          59  04     0
