START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: 4U73B
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 6150
NAME: Pezer Ivo
OPERATORS: 9A3A
CLUB:
CERTIFICATE: NO
CREATED-BY: DXLog.net v2.3.16
SOAPBOX: Just a couple of hours operation accessing 4U1GSC station remotely.
QSO:  7182 PH 2018-10-27 0627 4U73B         59  15     DF0HQ         59  14     0
QSO:  7179 PH 2018-10-27 0627 4U73B         59  15     OH5Z          59  15     0
QSO:  7167 PH 2018-10-27 0628 4U73B         59  15     HA8M          59  15     0
QSO:  7163 PH 2018-10-27 0629 4U73B         59  15     EF8R          59  33     0
QSO:  7159 PH 2018-10-27 0630 4U73B         59  15     SN3A          59  15     0
QSO:  7063 PH 2018-10-27 0649 4U73B         59  15     OG60F         59  15     0
QSO:  7114 PH 2018-10-27 0652 4U73B         59  15     HG8R          59  15     0
QSO:  7133 PH 2018-10-27 0654 4U73B         59  15     OE5BGN        59  15     0
QSO:  7144 PH 2018-10-27 0716 4U73B         59  15     OK1GTH        59  15     0
QSO:  7167 PH 2018-10-27 0718 4U73B         59  15     YT5A          59  15     0
QSO:  7178 PH 2018-10-27 0736 4U73B         59  15     S54ZZ         59  15     0
QSO: 14319 PH 2018-10-27 0739 4U73B         59  15     ES9C          59  15     0
QSO: 14260 PH 2018-10-27 0742 4U73B         59  15     P33W          59  20     0
QSO: 14282 PH 2018-10-28 1807 4U73B         59  15     EF8R          59  33     0
QSO:  7167 PH 2018-10-28 1810 4U73B         59  15     ES9C          59  15     0
QSO:  3786 PH 2018-10-28 1811 4U73B         59  15     ES9C          59  15     0
QSO:  1833 PH 2018-10-28 1814 4U73B         59  15     SP2PIK        59  15     0
QSO:  1847 PH 2018-10-28 1814 4U73B         59  15     OK7K          59  15     0
QSO:  1838 PH 2018-10-28 1816 4U73B         59  15     Z36N          59  15     0
QSO:  7151 PH 2018-10-28 1818 4U73B         59  15     EW1P          59  16     0
QSO:  7151 PH 2018-10-28 1819 4U73B         59  15     UA6YN         59  16     0
QSO:  7151 PH 2018-10-28 1819 4U73B         59  15     UR3VKR        59  16     0
QSO:  7151 PH 2018-10-28 1820 4U73B         59  15     UT8IBU        59  16     0
QSO:  7151 PH 2018-10-28 1821 4U73B         59  15     UX7U          59  16     0
QSO:  7151 PH 2018-10-28 1822 4U73B         59  15     4Z5ML         59  20     0
QSO:  7151 PH 2018-10-28 1822 4U73B         59  15     DQ5M          59  14     0
QSO:  7151 PH 2018-10-28 1823 4U73B         59  15     TC2MK         59  20     0
