START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: KA9MOT
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1056
NAME: Steven Hays
OPERATORS: KA9MOT
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: Checklog. Just played around for a couple of hours
QSO: 21316 PH 2018-10-27 1541 KA9MOT        59  4      CR5E          59  14
QSO: 21321 PH 2018-10-27 1555 KA9MOT        59  4      EF8R          59  33
QSO: 21310 PH 2018-10-27 1604 KA9MOT        59  4      HI3LT         59  08
QSO: 14349 PH 2018-10-27 1608 KA9MOT        59  4      IZ4COW        59  15
QSO: 14309 PH 2018-10-27 1615 KA9MOT        59  4      OE0M          59  15
QSO: 14335 PH 2018-10-27 1622 KA9MOT        59  4      SN8B          59  15
QSO: 14262 PH 2018-10-27 1626 KA9MOT        59  4      K5CD          59  04
QSO: 14297 PH 2018-10-27 1628 KA9MOT        59  4      DP7D          59  14
QSO: 21361 PH 2018-10-27 1638 KA9MOT        59  4      CR6T          59  14
QSO: 21275 PH 2018-10-27 1643 KA9MOT        59  4      CN3A          59  33
QSO: 21330 PH 2018-10-28 1448 KA9MOT        59  4      PJ4G          59  09
QSO: 21327 PH 2018-10-28 1451 KA9MOT        59  4      HK3TK         59  09
QSO: 21285 PH 2018-10-28 1455 KA9MOT        59  4      FY5KE         59  09
QSO: 21366 PH 2018-10-28 1457 KA9MOT        59  4      NP2P          59  08
QSO: 14240 PH 2018-10-28 1507 KA9MOT        59  4      VE6AO         59  04
QSO: 14227 PH 2018-10-28 1508 KA9MOT        59  4      9A9A          59  15
QSO: 14260 PH 2018-10-28 1531 KA9MOT        59  4      IR4X          59  15
QSO: 14254 PH 2018-10-28 1533 KA9MOT        59  4      DR1A          59  14
END-OF-LOG:
