START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: ED8G
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 427452
NAME: Grupo DX Teide
OPERATORS: EA8AM, EA8ARG, EA8BFH, EA8BRW, EA8CH, EA8DK
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: We are a group of operators who decided to operate during the contest
SOAPBOX: from the Buenavista del Norte lighthouse.  It is located in the
SOAPBOX: Tenerife Island (Canary Islands).  We used Icom radios and home-made
SOAPBOX: antennas.
QSO:  1860  PH  2018-10-27  0047 ED8G  59 33  CN3A      59 33  1
QSO:  7101  PH  2018-10-27  0059 ED8G  59 33  DM4M      59 14  0
QSO:  7101  PH  2018-10-27  0108 ED8G  59 33  SP8K      59 15  0
QSO:  3640  PH  2018-10-27  0613 ED8G  59 33  ED9E      59 33  1
QSO:  3690  PH  2018-10-27  0618 ED8G  59 33  CR2L      59 14  1
QSO:  3716  PH  2018-10-27  0623 ED8G  59 33  CN2CO     59 33  1
QSO:  3745  PH  2018-10-27  0645 ED8G  59 33  TM2T      59 14  1
QSO:  3764  PH  2018-10-27  0651 ED8G  59 33  GD9W      59 14  1
QSO:  3791  PH  2018-10-27  0657 ED8G  59 33  M6T       59 14  1
QSO:  3793  PH  2018-10-27  0706 ED8G  59 33  K3LR      59 05  1
QSO:  7109  PH  2018-10-27  0722 ED8G  59 33  EA8DED    59 33  0
QSO:  7110  PH  2018-10-27  0743 ED8G  59 33  CR2L      59 14  0
QSO:  7110  PH  2018-10-27  0744 ED8G  59 33  N3MX      59 05  0
QSO:  7110  PH  2018-10-27  0747 ED8G  59 33  NE3F      59 05  0
QSO:  7110  PH  2018-10-27  0759 ED8G  59 33  KC1XX     59 05  0
QSO:  7110  PH  2018-10-27  0804 ED8G  59 33  ED9E      59 33  0
QSO: 14315  PH  2018-10-27  0849 ED8G  59 33  EE4CC     59 14  0
QSO: 14317  PH  2018-10-27  0909 ED8G  59 33  SN2B      59 15  0
QSO: 14322  PH  2018-10-27  0911 ED8G  59 33  LX7I      59 14  0
QSO: 14329  PH  2018-10-27  0915 ED8G  59 33  DR1A      59 14  0
QSO:  7133  PH  2018-10-27  0915 ED8G  59 33  CT9ABP    59 33  1
QSO: 14343  PH  2018-10-27  0916 ED8G  59 33  OL0M      59 15  0
QSO: 14347  PH  2018-10-27  0919 ED8G  59 33  OH5BM     59 15  0
QSO: 14344  PH  2018-10-27  0921 ED8G  59 33  UR2Y      59 16  0
QSO: 14338  PH  2018-10-27  0922 ED8G  59 33  MW9W      59 14  0
QSO: 14319  PH  2018-10-27  0928 ED8G  59 33  ES9C      59 15  0
QSO: 14307  PH  2018-10-27  0930 ED8G  59 33  DL2ARD    59 14  0
QSO:  7155  PH  2018-10-27  0932 ED8G  59 33  K1TTT     59 05  1
QSO: 14291  PH  2018-10-27  0933 ED8G  59 33  OK1GTH    59 15  0
QSO: 14286  PH  2018-10-27  0935 ED8G  59 33  SH4R      59 14  0
QSO:  7171  PH  2018-10-27  0935 ED8G  59 33  EE7P      59 14  1
QSO: 14274  PH  2018-10-27  0935 ED8G  59 33  TM4L      59 14  0
QSO: 14251  PH  2018-10-27  0941 ED8G  59 33  EA9KB     59 33  0
QSO: 14229  PH  2018-10-27  0944 ED8G  59 33  TM3R      59 14  0
QSO: 14219  PH  2018-10-27  0945 ED8G  59 33  ZX5J      59 11  0
QSO: 14213  PH  2018-10-27  0946 ED8G  59 33  D2C       59 36  0
QSO: 14189  PH  2018-10-27  0950 ED8G  59 33  OH5Z      59 15  0
QSO: 14174  PH  2018-10-27  0952 ED8G  59 33  GW0RHC    59 14  0
QSO: 14186  PH  2018-10-27  0958 ED8G  59 33  F4GGQ     59 14  0
QSO: 14193  PH  2018-10-27  1002 ED8G  59 33  LC1U      59 14  0
QSO: 14234  PH  2018-10-27  1011 ED8G  59 33  IR4M      59 15  0
QSO: 28333  PH  2018-10-27  1013 ED8G  59 33  IR4M      59 15  0
QSO: 28490  PH  2018-10-27  1016 ED8G  59 33  IT9VDQ    59 15  0
QSO: 28460  PH  2018-10-27  1020 ED8G  59 33  IZ8FFA    59 15  0
QSO: 21224  PH  2018-10-27  1021 ED8G  59 33  EI9E      59 14  1
QSO: 28441  PH  2018-10-27  1022 ED8G  59 33  9A2G      59 15  0
QSO: 21243  PH  2018-10-27  1025 ED8G  59 33  IR4X      59 15  1
QSO: 28480  PH  2018-10-27  1026 ED8G  59 33  YU4OIZ    59 15  0
QSO: 21271  PH  2018-10-27  1032 ED8G  59 33  TM1T      59 15  1
QSO: 21282  PH  2018-10-27  1033 ED8G  59 33  P33W      59 20  1
QSO: 14289  PH  2018-10-27  1035 ED8G  59 33  EW6W      59 16  0
QSO: 21293  PH  2018-10-27  1036 ED8G  59 33  YL7X      59 15  1
QSO: 14278  PH  2018-10-27  1037 ED8G  59 33  YP3A      59 20  0
QSO: 21300  PH  2018-10-27  1039 ED8G  59 33  DP6T      59 14  1
QSO: 21318  PH  2018-10-27  1042 ED8G  59 33  EA2KV     59 14  1
QSO: 21258  PH  2018-10-27  1056 ED8G  59 33  RM1Q      59 14  1
QSO: 21274  PH  2018-10-27  1059 ED8G  59 33  UT7HA     59 16  1
QSO: 21280  PH  2018-10-27  1059 ED8G  59 33  SN8B      59 15  1
QSO: 21290  PH  2018-10-27  1102 ED8G  59 33  HZ1HZ     59 21  1
QSO: 21342  PH  2018-10-27  1108 ED8G  59 33  9A7A      59 15  1
QSO: 21254  PH  2018-10-27  1201 ED8G  59 33  F2JD      59 14  0
QSO: 21254  PH  2018-10-27  1202 ED8G  59 33  M0TWB     59 14  0
QSO: 14334  PH  2018-10-27  1210 ED8G  59 33  NP2P      59 08  1
QSO: 21263  PH  2018-10-27  1210 ED8G  59 33  OT5A      59 14  0
QSO: 21265  PH  2018-10-27  1212 ED8G  59 33  IR8P      59 15  0
QSO: 21276  PH  2018-10-27  1213 ED8G  59 33  MM1E      59 14  0
QSO: 21288  PH  2018-10-27  1215 ED8G  59 33  OK1NP     59 15  0
QSO: 21301  PH  2018-10-27  1217 ED8G  59 33  TM5Y      59 14  0
QSO: 21310  PH  2018-10-27  1219 ED8G  59 33  DO2MS     59 14  0
QSO: 21310  PH  2018-10-27  1219 ED8G  59 33  S52BT     59 15  0
QSO: 21310  PH  2018-10-27  1220 ED8G  59 33  S54I      59 15  0
QSO: 21310  PH  2018-10-27  1221 ED8G  59 33  GW0RYT    59 14  0
QSO: 21310  PH  2018-10-27  1222 ED8G  59 33  M0ILT     59 14  0
QSO: 21310  PH  2018-10-27  1222 ED8G  59 33  DL0AO     59 14  0
QSO: 21310  PH  2018-10-27  1223 ED8G  59 33  VA3CCO    59 04  0
QSO: 21310  PH  2018-10-27  1225 ED8G  59 33  LZ5R      59 20  0
QSO: 21310  PH  2018-10-27  1226 ED8G  59 33  DF2RG     59 14  0
QSO: 21310  PH  2018-10-27  1227 ED8G  59 33  DL8MH     59 14  0
QSO: 21310  PH  2018-10-27  1227 ED8G  59 33  F6FET     59 14  0
QSO: 21310  PH  2018-10-27  1229 ED8G  59 33  HG8C      59 15  0
QSO: 21310  PH  2018-10-27  1230 ED8G  59 33  9A6KZH    59 15  0
QSO: 21310  PH  2018-10-27  1231 ED8G  59 33  DR6C      59 14  0
QSO: 21310  PH  2018-10-27  1231 ED8G  59 33  DK6CQ     59 14  0
QSO: 21310  PH  2018-10-27  1231 ED8G  59 33  G5O       59 14  0
QSO: 21310  PH  2018-10-27  1232 ED8G  59 33  M3P       59 14  0
QSO: 21310  PH  2018-10-27  1233 ED8G  59 33  G4WWG/P   59 14  0
QSO: 21310  PH  2018-10-27  1233 ED8G  59 33  HG3C      59 15  0
QSO: 21310  PH  2018-10-27  1234 ED8G  59 33  F1UIJ     59 14  0
QSO: 21310  PH  2018-10-27  1235 ED8G  59 33  2E0ERX    59 14  0
QSO: 21310  PH  2018-10-27  1235 ED8G  59 33  DF3IS     59 14  0
QSO: 21310  PH  2018-10-27  1235 ED8G  59 33  DM5EM     59 14  0
QSO: 21310  PH  2018-10-27  1239 ED8G  59 33  YT7R      59 15  0
QSO: 21310  PH  2018-10-27  1241 ED8G  59 33  S52ZW     59 15  0
QSO: 21310  PH  2018-10-27  1241 ED8G  59 33  PA2LO     59 14  0
