START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: KC4YT
LOCATION: SC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 0
NAME: Richard Anderson
OPERATORS: kc4yt
CLUB:
CERTIFICATE: NO
CREATED-BY: CQWW Adif2Cabrillo Converter (LZ2FQ)
SOAPBOX: Just trying to get some new countries in the log
QSO: 14267 PH 2018-10-28 2120  KC4YT         59  05     9L1YXJ        59  35     0
QSO: 14317 PH 2018-10-28 1823  KC4YT         59  05     TF2R          59  40     0
QSO: 14297 PH 2018-10-28 1819  KC4YT         59  05     RT6A          59  17     0
QSO: 28453 PH 2018-10-27 2047  KC4YT         59  05     V26B          59  08     0
QSO: 21257 PH 2018-10-27 2015  KC4YT         59  05     PV8DX         59  11     0
QSO: 21318 PH 2018-10-27 1955  KC4YT         59  05     7Q6M          59  37     0
QSO: 21306 PH 2018-10-27 1757  KC4YT         59  05     HK3C          59  09     0
QSO: 21232 PH 2018-10-27 1736  KC4YT         59  05     PJ4G          59  09     0
QSO: 14254 PH 2018-10-27 1716  KC4YT         59  05     EI9E          59  14     0
QSO: 14236 PH 2018-10-27 1714  KC4YT         59  05     PI4CC         59  14     0
QSO: 14247 PH 2018-10-27 1500  KC4YT         59  05     EC4DX         59  14     0
QSO: 14211 PH 2018-10-27 1455  KC4YT         59  05     RL3A          59  16     0
QSO: 21390 PH 2018-10-27 1433  KC4YT         59  05     ED1R          59  14     0
QSO: 21316 PH 2018-10-27 1431  KC4YT         59  05     CR5E          59  14     0
QSO: 21287 PH 2018-10-27 1412  KC4YT         59  05     9Y4W          59  09     0
QSO: 21240 PH 2018-10-27 1408  KC4YT         59  05     CN2CO         59  33     0
QSO: 14226 PH 2018-10-27 1335  KC4YT         59  05     S51A          59  15     0
QSO: 14290 PH 2018-10-27 1314  KC4YT         59  05     EW6W          59  16     0
END-OF-LOG:
