START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: K0BWQ
LOCATION: STX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1729
NAME: Willard C. Morton
OPERATORS: K0BWQ @K0BWQ
CLUB:
CERTIFICATE: NO
CREATED-BY: WA7BNM Web2Cabrillo 1.14
SOAPBOX: Yaesu FT-857 100 watts Antenna 40M Dipole (CFZ) in ATTIC
QSO:  7000 PH 2018-10-27 0336 K0BWQ         59  04     ZF1A          59  08
QSO:  7000 PH 2018-10-27 0347 K0BWQ         59  04     CN3A          59  33
QSO:  7000 PH 2018-10-27 1314 K0BWQ         59  04     JR2GRX        59  25
QSO: 21000 PH 2018-10-27 1821 K0BWQ         59  04     PJ4G          59  09
QSO:  7000 PH 2018-10-28 0258 K0BWQ         59  04     CE3CT         59  12
QSO:  7000 PH 2018-10-28 0302 K0BWQ         59  04     YY2HCM        59  09
QSO:  7000 PH 2018-10-28 0310 K0BWQ         59  04     VE3EJ         59  04
QSO:  7000 PH 2018-10-28 0312 K0BWQ         59  04     ZW5B          59  11
QSO:  7000 PH 2018-10-28 0319 K0BWQ         59  04     PZ5K          59  09
QSO:  7000 PH 2018-10-28 0328 K0BWQ         59  04     4M8E          59  09
QSO:  7000 PH 2018-10-28 0331 K0BWQ         59  04     ZF9CW         59  08
QSO:  7000 PH 2018-10-28 0333 K0BWQ         59  04     KH6J          59  31
QSO:  7000 PH 2018-10-28 0336 K0BWQ         59  04     PJ2T          59  09
QSO:  7000 PH 2018-10-28 0350 K0BWQ         59  04     TO1J          59  08
QSO:  7000 PH 2018-10-28 0353 K0BWQ         59  04     8P5A          59  08
QSO:  7000 PH 2018-10-28 0356 K0BWQ         59  04     V26B          59  08
QSO:  7000 PH 2018-10-28 0359 K0BWQ         59  04     ZX2B          59  11
QSO:  7000 PH 2018-10-28 0431 K0BWQ         59  04     KH7XS         59  31
QSO:  7000 PH 2018-10-28 0435 K0BWQ         59  04     LU8YE         59  13
QSO:  7000 PH 2018-10-28 0442 K0BWQ         59  04     ZV5O          59  11
QSO:  7000 PH 2018-10-28 0446 K0BWQ         59  04     VP2MDG        59  08
QSO:  7000 PH 2018-10-28 0451 K0BWQ         59  04     FY5KE         59  09
QSO:  7000 PH 2018-10-28 0504 K0BWQ         59  04     PJ4G          59  09
QSO:  7000 PH 2018-10-28 0508 K0BWQ         59  04     NP2P          59  08
QSO:  7000 PH 2018-10-28 0514 K0BWQ         59  04     EA5SR         59  14
QSO:  7000 PH 2018-10-28 0520 K0BWQ         59  04     ED8W          59  33
QSO:  7000 PH 2018-10-28 0526 K0BWQ         59  04     D4C           59  35
QSO:  7000 PH 2018-10-28 0530 K0BWQ         59  04     EF8R          59  33
QSO:  7000 PH 2018-10-28 1326 K0BWQ         59  04     VB3VI         59  28
QSO:  7000 PH 2018-10-28 1344 K0BWQ         59  04     NH7A          59  31
QSO: 14000 PH 2018-10-28 1352 K0BWQ         59  04     TO1J          59  08
QSO: 14000 PH 2018-10-28 1414 K0BWQ         59  04     SN2B          59  15
QSO: 14000 PH 2018-10-28 1444 K0BWQ         59  04     PJ4G          59  09
QSO: 21000 PH 2018-10-28 1456 K0BWQ         59  04     VE9CB         59  05
QSO: 21000 PH 2018-10-28 1500 K0BWQ         59  04     TI1T          59  07
QSO: 21000 PH 2018-10-28 1503 K0BWQ         59  04     HJ6J          59  09
QSO: 21000 PH 2018-10-28 1558 K0BWQ         59  04     VP2MDG        59  08
QSO: 21000 PH 2018-10-28 1601 K0BWQ         59  04     PJ4G          59  09
QSO: 21000 PH 2018-10-28 1604 K0BWQ         59  04     PJ2T          59  09
QSO: 14000 PH 2018-10-28 1645 K0BWQ         59  04     4M1K          59  09
END-OF-LOG:
