START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: K5ZD
LOCATION: WMA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 3120862
NAME: Randy Thompson
OPERATORS: K5ZD
CLUB: Yankee Clipper Contest Club
CERTIFICATE: NO
CREATED-BY: WriteLog V12.33H
SOAPBOX: Red Sox going 18 innings definitely reduced my operating time!
QSO: 14182 PH 2018-10-27 0023 K5ZD           59     05 ZX2T           59     11
QSO: 14190 PH 2018-10-27 0024 K5ZD           59     05 PT4B           59     11
QSO: 14209 PH 2018-10-27 0025 K5ZD           59     05 CB1H           59     12
QSO: 14215 PH 2018-10-27 0025 K5ZD           59     05 PS2T           59     11
QSO: 14218 PH 2018-10-27 0026 K5ZD           59     05 CB8E           59     12
QSO: 14223 PH 2018-10-27 0027 K5ZD           59     05 CE6PGO         59     12
QSO: 14227 PH 2018-10-27 0029 K5ZD           59     05 KH6J           59     31
QSO: 14260 PH 2018-10-27 0033 K5ZD           59     05 XR1B           59     12
QSO: 14264 PH 2018-10-27 0033 K5ZD           59     05 PY2EX          59     11
QSO: 14265 PH 2018-10-27 0034 K5ZD           59     05 PY2MP          59     11
QSO: 14267 PH 2018-10-27 0035 K5ZD           59     05 ZV5O           59     11
QSO: 14273 PH 2018-10-27 0035 K5ZD           59     05 LO7H           59     13
QSO: 14282 PH 2018-10-27 0036 K5ZD           59     05 ZW5B           59     11
QSO: 14305 PH 2018-10-27 0037 K5ZD           59     05 PY5WW          59     11
QSO: 14347 PH 2018-10-27 0037 K5ZD           59     05 ZX2B           59     11
QSO: 14167 PH 2018-10-27 0038 K5ZD           59     05 HC2AO          59     10
QSO: 14174 PH 2018-10-27 0039 K5ZD           59     05 PP2FRS         59     11
QSO: 14228 PH 2018-10-27 0040 K5ZD           59     05 CE2WNW         59     12
QSO: 14270 PH 2018-10-27 0042 K5ZD           59     05 PX2A           59     11
QSO: 14278 PH 2018-10-27 0043 K5ZD           59     05 LT1F           59     13
QSO: 14235 PH 2018-10-27 0046 K5ZD           59     05 ZW8T           59     11
QSO: 14212 PH 2018-10-27 0046 K5ZD           59     05 LU7HF          59     13
QSO: 14203 PH 2018-10-27 0047 K5ZD           59     05 LU9MBY         59     13
QSO: 14198 PH 2018-10-27 0047 K5ZD           59     05 PP5IP          59     11
QSO: 14193 PH 2018-10-27 0047 K5ZD           59     05 PQ5B           59     11
QSO: 14170 PH 2018-10-27 0049 K5ZD           59     05 PR7RBA         59     11
QSO:  7131 PH 2018-10-27 0050 K5ZD           59     05 S56X           59     15
QSO:  7131 PH 2018-10-27 0050 K5ZD           59     05 ED3X           59     14
QSO:  7133 PH 2018-10-27 0050 K5ZD           59     05 IR4M           59     15
QSO:  7135 PH 2018-10-27 0051 K5ZD           59     05 A44A           59     21
QSO:  7137 PH 2018-10-27 0051 K5ZD           59     05 US1Q           59     16
QSO:  7138 PH 2018-10-27 0051 K5ZD           59     05 EA5SR          59     14
QSO:  7145 PH 2018-10-27 0053 K5ZD           59     05 OK1CF          59     15
QSO:  7146 PH 2018-10-27 0053 K5ZD           59     05 IR4X           59     15
QSO:  7147 PH 2018-10-27 0054 K5ZD           59     05 IR9W           59     15
QSO:  7148 PH 2018-10-27 0055 K5ZD           59     05 HG5A           59     15
QSO:  7149 PH 2018-10-27 0055 K5ZD           59     05 OT5A           59     14
QSO:  7156 PH 2018-10-27 0055 K5ZD           59     05 IR2L           59     15
QSO:  7155 PH 2018-10-27 0056 K5ZD           59     05 TM0T           59     14
QSO:  7157 PH 2018-10-27 0056 K5ZD           59     05 CN3A           59     33
QSO:  7158 PH 2018-10-27 0056 K5ZD           59     05 HA8M           59     15
QSO:  7159 PH 2018-10-27 0057 K5ZD           59     05 SN3A           59     15
QSO:  7161 PH 2018-10-27 0057 K5ZD           59     05 K1LZ           59      5
QSO:  7161 PH 2018-10-27 0058 K5ZD           59     05 IU1JCZ         59     15
QSO:  7163 PH 2018-10-27 0100 K5ZD           59     05 RT5Z           59     16
QSO:  7164 PH 2018-10-27 0100 K5ZD           59     05 P33W           59     20
QSO:  7167 PH 2018-10-27 0101 K5ZD           59     05 YT5A           59     15
QSO:  7169 PH 2018-10-27 0101 K5ZD           59     05 OK5Z           59     15
QSO:  7170 PH 2018-10-27 0102 K5ZD           59     05 EI5IX          59     14
QSO:  7171 PH 2018-10-27 0102 K5ZD           59     05 LZ9W           59     20
QSO:  7172 PH 2018-10-27 0103 K5ZD           59     05 II2S           59     15
QSO:  7174 PH 2018-10-27 0103 K5ZD           59     05 DP7D           59     14
QSO:  7174 PH 2018-10-27 0103 K5ZD           59     05 OR2M           59     14
QSO:  7178 PH 2018-10-27 0104 K5ZD           59     05 RW1F           59     16
QSO:  7180 PH 2018-10-27 0105 K5ZD           59     05 F4FET          59     14
QSO:  7181 PH 2018-10-27 0106 K5ZD           59     05 M6T            59     14
QSO:  7182 PH 2018-10-27 0106 K5ZD           59     05 LX7I           59     14
