START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: N6TCE
LOCATION: SJV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 10582
NAME: Robert H Officer
OPERATORS: N6TCE
CLUB: MOTHER LODE DX/CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: N3FJP's CQ WW DX Contest Log 5.7
SOAPBOX: 1st Time entering this contest. I will participate next year.
QSO:  7000 PH 2018-10-27 0530 N6TCE         59  03     K5TR          59  04     0
QSO:  7000 PH 2018-10-27 0540 N6TCE         59  03     PZ5K          59  09     0
QSO:  7000 PH 2018-10-27 0542 N6TCE         59  03     PJ4G          59  09     0
QSO:  7000 PH 2018-10-27 0614 N6TCE         59  03     KB1H          59  05     0
QSO:  7000 PH 2018-10-27 0628 N6TCE         59  03     ZX5J          59  11     0
QSO:  7000 PH 2018-10-27 0630 N6TCE         59  03     W7WA          59  03     0
QSO:  7000 PH 2018-10-27 0632 N6TCE         59  03     W0AIH         59  04     0
QSO:  7000 PH 2018-10-27 0634 N6TCE         59  03     K5GN          59  04     0
QSO:  7000 PH 2018-10-27 0636 N6TCE         59  03     W7VJ          59  03     0
QSO:  7000 PH 2018-10-27 0641 N6TCE         59  03     CB1H          59  12     0
QSO:  7000 PH 2018-10-27 0647 N6TCE         59  03     ZV5R          59  11     0
QSO:  7000 PH 2018-10-27 0658 N6TCE         59  03     ZF1A          59  08     0
QSO:  7000 PH 2018-10-27 0708 N6TCE         59  03     ZF9CW         59  08     0
QSO:  7000 PH 2018-10-27 0712 N6TCE         59  03     8P5A          59  08     0
QSO:  7000 PH 2018-10-27 0720 N6TCE         59  03     LU2DD         59  13     0
QSO:  7000 PH 2018-10-27 0726 N6TCE         59  03     TO1J          59  08     0
QSO:  7000 PH 2018-10-27 0730 N6TCE         59  03     ZW5B          59  11     0
QSO:  7000 PH 2018-10-27 0738 N6TCE         59  03     RT0C          59  19     0
QSO:  7000 PH 2018-10-27 0754 N6TCE         59  03     PK2T          59  28     0
QSO:  7000 PH 2018-10-27 0803 N6TCE         59  03     KH7XS         59  31     0
QSO:  7000 PH 2018-10-27 0817 N6TCE         59  03     KC1XX         59  05     0
QSO:  7000 PH 2018-10-27 0850 N6TCE         59  03     K1TTT         59  05     0
QSO:  7000 PH 2018-10-27 0854 N6TCE         59  03     K3LR          59  05     0
QSO:  7000 PH 2018-10-27 0901 N6TCE         59  03     W3PLP         59  05     0
QSO:  7000 PH 2018-10-27 0909 N6TCE         59  03     WH6J          59  05     0
QSO:  7000 PH 2018-10-27 0912 N6TCE         59  03     KH6J          59  31     0
QSO:  7000 PH 2018-10-27 0916 N6TCE         59  03     W1A           59  05     0
QSO:  7000 PH 2018-10-27 0917 N6TCE         59  03     VE3EJ         59  04     0
QSO:  7000 PH 2018-10-27 0943 N6TCE         59  03     K1KI          59  05     0
QSO:  7000 PH 2018-10-27 0945 N6TCE         59  03     JR2GRX        59  25     0
QSO:  7000 PH 2018-10-27 0947 N6TCE         59  03     N3AD          59  05     0
QSO:  7000 PH 2018-10-27 0949 N6TCE         59  03     CF3A          59  04     0
QSO:  7000 PH 2018-10-27 0957 N6TCE         59  03     T42T          59  08     0
QSO:  7000 PH 2018-10-27 0959 N6TCE         59  03     VE2EJ         59  05     0
QSO:  7000 PH 2018-10-27 1002 N6TCE         59  03     W1NA          59  05     0
QSO:  7000 PH 2018-10-27 1037 N6TCE         59  03     K6J           59  03     0
QSO:  7000 PH 2018-10-27 1038 N6TCE         59  03     N3OO          59  04     0
QSO:  7000 PH 2018-10-27 1040 N6TCE         59  03     NH7A          59  31     0
QSO:  7000 PH 2018-10-27 1050 N6TCE         59  03     ZF1A          59  08     0
QSO: 21000 PH 2018-10-27 1821 N6TCE         59  03     PJ4K          59  09     0
QSO: 14000 PH 2018-10-27 1917 N6TCE         59  03     VE3AO         59  04     0
QSO: 21000 PH 2018-10-27 1957 N6TCE         59  03     HC0E          59  10     0
QSO: 21000 PH 2018-10-27 2043 N6TCE         59  03     PJ4G          59  09     0
QSO: 21000 PH 2018-10-27 2047 N6TCE         59  03     K3LR          59  05     0
QSO: 21000 PH 2018-10-27 2052 N6TCE         59  03     KH7XS         59  31     0
QSO: 14000 PH 2018-10-27 2119 N6TCE         59  03     4U1WB         59  05     0
QSO: 14000 PH 2018-10-27 2123 N6TCE         59  03     K5TR          59  04     0
QSO: 21000 PH 2018-10-27 2136 N6TCE         59  03     PX2A          59  11     0
QSO: 21000 PH 2018-10-27 2153 N6TCE         59  03     KP2M          59  08     0
QSO: 21000 PH 2018-10-27 2200 N6TCE         59  03     KP4RV         59  08     0
QSO: 21000 PH 2018-10-27 2202 N6TCE         59  03     KL7RA         59  01     0
QSO: 21000 PH 2018-10-27 2207 N6TCE         59  03     YW4D          59  09     0
QSO: 21000 PH 2018-10-27 2233 N6TCE         59  03     LT1F          59  13     0
QSO: 14000 PH 2018-10-27 2257 N6TCE         59  03     LT1F          59  13     0
QSO: 14000 PH 2018-10-27 2329 N6TCE         59  03     PP2FRS        59  11     0
QSO: 14000 PH 2018-10-27 2332 N6TCE         59  03     NH7A          59  31     0
QSO: 14000 PH 2018-10-27 2336 N6TCE         59  03     VE3FI         59  04     0
QSO: 21000 PH 2018-10-27 2353 N6TCE         59  03     JA5FDJ        59  25     0
QSO: 21000 PH 2018-10-28 0000 N6TCE         59  03     CB1H          59  12     0
QSO: 14000 PH 2018-10-28 0054 N6TCE         59  03     VE6AO         59  04     0
QSO: 14000 PH 2018-10-28 0059 N6TCE         59  03     LU5VV         59  13     0
QSO: 14000 PH 2018-10-28 0105 N6TCE         59  03     KH7M          59  31     0
QSO: 14000 PH 2018-10-28 0154 N6TCE         59  03     RN0CT         59  19     0
QSO:  7000 PH 2018-10-28 0203 N6TCE         59  03     KL7RA         59  01     0
QSO:  7000 PH 2018-10-28 0204 N6TCE         59  03     VE6WQ         59  04     0
QSO: 14000 PH 2018-10-28 1737 N6TCE         59  03     JA3YBK        59  25     0
QSO: 14000 PH 2018-10-28 1741 N6TCE         59  03     TM6M          59  14     0
QSO: 14000 PH 2018-10-28 1801 N6TCE         59  03     PJ4G          59  09     0
QSO: 14000 PH 2018-10-28 1813 N6TCE         59  03     XE2JK         59  06     0
QSO: 21000 PH 2018-10-28 1918 N6TCE         59  03     VC3R          59  04     0
QSO: 14000 PH 2018-10-28 1936 N6TCE         59  03     JA7ZFN        59  25     0
QSO: 14000 PH 2018-10-28 1940 N6TCE         59  03     VE3VEE        59  04     0
QSO: 14000 PH 2018-10-28 1953 N6TCE         59  03     KH6J          59  31     0
QSO: 14000 PH 2018-10-28 2017 N6TCE         59  03     VA7QD         59  03     0
QSO: 14000 PH 2018-10-28 2153 N6TCE         59  03     VE6SV         59  04     0
QSO: 14000 PH 2018-10-28 2323 N6TCE         59  03     NH7A          59  31     0
END-OF-LOG:
