START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: PV8IG
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 8470
NAME: IVANILDO F GOMES
OPERATORS: PV8IG
CLUB: GUARA DX GROUP
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: operated Mobile/portable onboard of Tiggo SUV car. FT857 - Ats120
QSO:  7000 PH 2018-10-27 0229 PV8IG         59  11     UA1WW         59  15
QSO:  7000 PH 2018-10-27 0321 PV8IG         59  11     LY7Z          59  15
QSO:  7000 PH 2018-10-27 0325 PV8IG         59  11     PZ5K          59  09
QSO:  7000 PH 2018-10-27 0329 PV8IG         59  11     FY5KE         59  09
QSO:  7000 PH 2018-10-27 0430 PV8IG         59  11     RT6A          59  16
QSO:  7000 PH 2018-10-27 0436 PV8IG         59  11     9Y4W          59  09
QSO:  7000 PH 2018-10-27 0441 PV8IG         59  11     RT5Z          59  16
QSO: 14000 PH 2018-10-27 1247 PV8IG         59  11     PX2A          59  11
QSO: 14000 PH 2018-10-27 1251 PV8IG         59  11     LU9MBY        59  13
QSO: 14000 PH 2018-10-27 1254 PV8IG         59  11     W3FIZ         59  05
QSO: 14000 PH 2018-10-27 1254 PV8IG         59  11     NNW3Y         59  05
QSO: 14000 PH 2018-10-27 1337 PV8IG         59  11     KP2M          59  08
QSO: 21000 PH 2018-10-27 1759 PV8IG         59  11     PY2UD         59  11
QSO: 21000 PH 2018-10-27 1800 PV8IG         59  11     ZX5J          59  11
QSO: 21000 PH 2018-10-27 1805 PV8IG         59  11     ED8W          59  33
QSO: 21000 PH 2018-10-27 1806 PV8IG         59  11     ZW2T          59  11
QSO: 21000 PH 2018-10-27 1823 PV8IG         59  11     D4C           59  35
QSO: 28000 PH 2018-10-27 1834 PV8IG         59  11     HI8RD         59  08
QSO: 28000 PH 2018-10-27 1842 PV8IG         59  11     CN3A          59  33
QSO: 28000 PH 2018-10-27 1851 PV8IG         59  11     CX2DK         59  13
QSO: 28000 PH 2018-10-27 1859 PV8IG         59  11     K3LR          59  05
QSO: 28000 PH 2018-10-27 1950 PV8IG         59  11     ZW5B          59  11
QSO: 28000 PH 2018-10-27 1954 PV8IG         59  11     PY2EX         59  11
QSO: 28000 PH 2018-10-27 1956 PV8IG         59  11     D4C           59  35
QSO: 21000 PH 2018-10-27 2107 PV8IG         59  11     PV8AJ         59  11
QSO: 14000 PH 2018-10-27 2256 PV8IG         59  11     9Y4W          59  09
QSO: 14000 PH 2018-10-27 2333 PV8IG         59  11     FY5KE         59  09
QSO: 14000 PH 2018-10-28 0117 PV8IG         59  11     VP6D          59  32
QSO: 14000 PH 2018-10-28 0139 PV8IG         59  11     ZP5DVD        59  11
QSO:  7000 PH 2018-10-28 0244 PV8IG         59  11     4M6R          59  09
QSO:  7000 PH 2018-10-28 0247 PV8IG         59  11     RL4A          59  16
QSO:  7000 PH 2018-10-28 0251 PV8IG         59  11     UR5ZM         59  16
QSO:  7000 PH 2018-10-28 0253 PV8IG         59  11     UA4S          59  16
QSO:  7000 PH 2018-10-28 0257 PV8IG         59  11     P33W          59  20
QSO:  7000 PH 2018-10-28 0304 PV8IG         59  11     P40T          59  09
QSO:  7000 PH 2018-10-28 0305 PV8IG         59  11     K3LR          59  05
QSO:  7000 PH 2018-10-28 0309 PV8IG         59  11     IG7T          59  15
QSO:  7000 PH 2018-10-28 0322 PV8IG         59  11     PQ5B          59  11
QSO:  7000 PH 2018-10-28 0324 PV8IG         59  11     PJ2G          59  09
QSO:  7000 PH 2018-10-28 0345 PV8IG         59  11     YY4DL         59  09
QSO:  7000 PH 2018-10-28 0352 PV8IG         59  11     TO1J          59  08
QSO:  7000 PH 2018-10-28 0354 PV8IG         59  11     DF0HQ         59  14
QSO:  7000 PH 2018-10-28 0356 PV8IG         59  11     DR1A          59  14
QSO:  3500 PH 2018-10-28 0550 PV8IG         59  11     P40T          59  09
QSO:  3500 PH 2018-10-28 0556 PV8IG         59  11     PJ4G          59  09
QSO:  7000 PH 2018-10-28 1120 PV8IG         59  11     PJ4G          59  09
QSO:  7000 PH 2018-10-28 1134 PV8IG         59  11     P40W          59  09
QSO: 14000 PH 2018-10-28 1505 PV8IG         59  11     TO1J          59  08
QSO: 21000 PH 2018-10-28 1509 PV8IG         59  11     LU2DD         59  13
QSO: 21000 PH 2018-10-28 1510 PV8IG         59  11     PY0F          59  11
QSO: 21000 PH 2018-10-28 1515 PV8IG         59  11     CV7S          59  13
QSO: 21000 PH 2018-10-28 1528 PV8IG         59  11     LU3YE         59  13
QSO: 21000 PH 2018-10-28 1613 PV8IG         59  11     LU1DBQ        59  13
QSO: 21000 PH 2018-10-28 1625 PV8IG         59  11     CN3A          59  33
QSO: 21000 PH 2018-10-28 1645 PV8IG         59  11     PY2MET        59  11
QSO: 21000 PH 2018-10-28 1648 PV8IG         59  11     KP2M          59  08
QSO: 21000 PH 2018-10-28 1652 PV8IG         59  11     PJ4G          59  09
QSO: 21000 PH 2018-10-28 1654 PV8IG         59  11     V26B          59  08
QSO: 21000 PH 2018-10-28 1654 PV8IG         59  11     PJ2T          59  09
QSO: 21000 PH 2018-10-28 1656 PV8IG         59  11     PY2KJ         59  11
QSO: 21000 PH 2018-10-28 1658 PV8IG         59  11     PJ4Q          59  09
QSO: 21000 PH 2018-10-28 1705 PV8IG         59  11     CE3CT         59  12
QSO: 21000 PH 2018-10-28 1706 PV8IG         59  11     PX2A          59  11
QSO: 21000 PH 2018-10-28 1707 PV8IG         59  11     ZW5B          59  11
QSO: 14000 PH 2018-10-28 1716 PV8IG         59  11     PZ5K          59  09
QSO: 21000 PH 2018-10-28 1725 PV8IG         59  11     LU1VM         59  13
QSO: 21000 PH 2018-10-28 1728 PV8IG         59  11     HK3TK         59  09
QSO: 28000 PH 2018-10-28 2040 PV8IG         59  11     9Z4Y          59  09
END-OF-LOG:
