START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL7CX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 580720
NAME: Olaf Brunner
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0
SOAPBOX: During a GMA (global mountain activity) I used dl7cx/p with qrp.
SOAPBOX: I hope that is not too be confused
SOAPBOX: because the maintime I was in the contest with dl7cx only.
SOAPBOX: On the end I made the 2 logs together. 73 Olaf
QSO: 14313 PH 2018-10-27 0637 DL7CX         59  14     A61ET         59  21     0
QSO: 14300 PH 2018-10-27 0638 DL7CX         59  14     HZ1TL         59  21     0
QSO: 14178 PH 2018-10-27 0639 DL7CX         59  14     7Z1SJ         59  21     0
QSO: 14277 PH 2018-10-27 0640 DL7CX         59  14     EM2G          59  16     0
QSO: 21335 PH 2018-10-27 0643 DL7CX         59  14     JH4UYB        59  25     0
QSO: 21272 PH 2018-10-27 0647 DL7CX         59  14     4X1DX         59  20     0
QSO: 21195 PH 2018-10-27 0647 DL7CX         59  14     A44A          59  21     0
QSO: 21380 PH 2018-10-27 0759 DL7CX         59  14     JA5FDJ        59  25     0
QSO: 21170 PH 2018-10-27 0759 DL7CX         59  14     JS3CTQ        59  25     0
QSO: 21382 PH 2018-10-27 0759 DL7CX         59  14     JF3BFS        59  25     0
QSO: 21366 PH 2018-10-27 0800 DL7CX         59  14     JA3YBK        59  25     0
QSO: 21256 PH 2018-10-27 0801 DL7CX         59  14     A61ZX         59  21     0
QSO: 21240 PH 2018-10-27 0802 DL7CX         59  14     A71HA         59  21     0
QSO: 21300 PH 2018-10-27 0802 DL7CX         59  14     A73A          59  21     0
QSO: 21341 PH 2018-10-27 0803 DL7CX         59  14     HZ1SK         59  21     0
QSO: 21160 PH 2018-10-27 0803 DL7CX         59  14     C44C          59  20     0
QSO: 21250 PH 2018-10-27 0803 DL7CX         59  14     4X6TT         59  20     0
QSO: 21278 PH 2018-10-27 0804 DL7CX         59  14     DF0HQ         59  14     0
QSO: 21388 PH 2018-10-27 0805 DL7CX         59  14     UP0L          59  17     0
QSO: 21399 PH 2018-10-27 0806 DL7CX         59  14     UA4S          59  16     0
QSO: 21399 PH 2018-10-27 0807 DL7CX         59  14     RT4W          59  16     0
QSO: 21399 PH 2018-10-27 0808 DL7CX         59  14     UA4M          59  16     0
QSO: 21399 PH 2018-10-27 0810 DL7CX         59  14     CR3DX         59  33     0
QSO: 21399 PH 2018-10-27 0812 DL7CX         59  14     DG0JPM        59  14     0
QSO: 21154 PH 2018-10-27 0814 DL7CX         59  14     JF3BFS        59  25     0
QSO: 21180 PH 2018-10-27 0815 DL7CX         59  14     4X2M          59  20     0
QSO: 21315 PH 2018-10-27 0816 DL7CX         59  14     ET3AA         59  37     0
QSO: 21323 PH 2018-10-27 0818 DL7CX         59  14     YL2GD         59  15     0
QSO: 21310 PH 2018-10-27 0818 DL7CX         59  14     RT9L          59  17     0
QSO: 21218 PH 2018-10-27 0820 DL7CX         59  14     C4A           59  20     0
QSO: 21222 PH 2018-10-27 0820 DL7CX         59  14     A5A           59  22     0
QSO: 21330 PH 2018-10-27 0822 DL7CX         59  14     RO9A          59  17     0
QSO: 14213 PH 2018-10-27 0828 DL7CX         59  14     D4C           59  35     0
QSO: 21360 PH 2018-10-27 1309 DL7CX         59  14     CR6T          59  14     0
