START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: N4ETC
LOCATION: NC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 13122
NAME: Eden Crowson
OPERATORS: N4ETC
CLUB: NORTH CAROLINA DX AND CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7182.0
SOAPBOX: Had lots of fun picking up new DXCC entities!
QSO: 14000 PH 2018-10-27 0003 N4ETC         59  5      VE4JBB        59  04
QSO: 14000 PH 2018-10-27 0008 N4ETC         59  5      W5KV          59  04
QSO:  7000 PH 2018-10-27 0045 N4ETC         59  5      8P5A          59  08
QSO:  7000 PH 2018-10-27 0048 N4ETC         59  5      P40L          59  09
QSO:  7000 PH 2018-10-27 0120 N4ETC         59  5      ZF9CW         59  08
QSO:  7000 PH 2018-10-27 0123 N4ETC         59  5      TO1J          59  08
QSO:  7000 PH 2018-10-27 1100 N4ETC         59  5      NP2P          59  08
QSO:  7000 PH 2018-10-27 1105 N4ETC         59  5      PJ2T          59  09
QSO:  7000 PH 2018-10-27 1110 N4ETC         59  5      ZF1A          59  08
QSO:  7000 PH 2018-10-27 1117 N4ETC         59  5      CO8ZZ         59  08
QSO:  7000 PH 2018-10-27 1118 N4ETC         59  5      HI8LT         59  08
QSO:  7000 PH 2018-10-27 1121 N4ETC         59  5      KH7XS         59  31
QSO:  7000 PH 2018-10-27 1123 N4ETC         59  5      4M8E          59  09
QSO:  7000 PH 2018-10-27 1125 N4ETC         59  5      VP9I          59  05
QSO:  7000 PH 2018-10-27 1135 N4ETC         59  5      KP3Z          59  08
QSO:  7000 PH 2018-10-27 1207 N4ETC         59  5      K1RX          59  05
QSO:  7000 PH 2018-10-27 1212 N4ETC         59  5      NH7A          59  31
QSO:  7000 PH 2018-10-27 1236 N4ETC         59  5      K9SEH         59  04
QSO: 21000 PH 2018-10-27 1348 N4ETC         59  5      8P5A          59  08
QSO: 21000 PH 2018-10-27 1356 N4ETC         59  5      TM5Y          59  14
QSO: 21000 PH 2018-10-27 1441 N4ETC         59  5      AA4LS         59  05
QSO: 14000 PH 2018-10-27 1442 N4ETC         59  5      8P5A          59  08
QSO: 14000 PH 2018-10-27 1448 N4ETC         59  5      J68GD         59  08
QSO: 21000 PH 2018-10-27 1507 N4ETC         59  5      9Y4W          59  09
QSO: 21000 PH 2018-10-27 1512 N4ETC         59  5      PJ2T          59  09
QSO: 21000 PH 2018-10-27 1514 N4ETC         59  5      9Y4D          59  09
QSO: 21000 PH 2018-10-27 1523 N4ETC         59  5      CR6T          59  14
QSO: 21000 PH 2018-10-27 1527 N4ETC         59  5      V26B          59  08
QSO: 14000 PH 2018-10-27 1850 N4ETC         59  5      HI3T          59  08
QSO: 21000 PH 2018-10-27 1851 N4ETC         59  5      YW4D          59  09
QSO: 21000 PH 2018-10-27 1854 N4ETC         59  5      KT7E          59  03
QSO: 21000 PH 2018-10-27 1858 N4ETC         59  5      PZ5K          59  09
QSO: 21000 PH 2018-10-27 1901 N4ETC         59  5      ZW5B          59  11
QSO: 14000 PH 2018-10-27 2256 N4ETC         59  5      RT0C          59  19
