START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: OK2OLD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OK2OLD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2017.
QSO: 14242 PH 2017-10-29 0736 OK2OLD        59 15 IF9A          59 15
QSO: 14200 PH 2017-10-29 0746 OK2OLD        59 15 CN2AA         59 33
QSO: 21305 PH 2017-10-29 0808 OK2OLD        59 15 D4Z           59 35
QSO: 21325 PH 2017-10-29 0810 OK2OLD        59 15 EA9KB         59 33
QSO: 21262 PH 2017-10-29 0811 OK2OLD        59 15 RW0A          59 18
QSO: 21261 PH 2017-10-29 0814 OK2OLD        59 15 RY6Y          59 16
QSO: 21237 PH 2017-10-29 0818 OK2OLD        59 15 CR5T          59 14
QSO: 21265 PH 2017-10-29 0826 OK2OLD        59 15 CN3A          59 33
QSO: 21287 PH 2017-10-29 0828 OK2OLD        59 15 CN2R          59 33
QSO: 21352 PH 2017-10-29 1114 OK2OLD        59 15 CR6T          59 14
QSO: 21372 PH 2017-10-29 1116 OK2OLD        59 15 HI3K          59 8
QSO: 21131 PH 2017-10-29 1122 OK2OLD        59 15 A92GR         59 21
QSO: 21183 PH 2017-10-29 1130 OK2OLD        59 15 A61EK         59 21
QSO: 21192 PH 2017-10-29 1137 OK2OLD        59 15 EA7ATX        59 14
QSO: 28508 PH 2017-10-29 1229 OK2OLD        59 15 CU4DX         59 14
QSO: 21218 PH 2017-10-29 1238 OK2OLD        59 15 W2RE          59 5
QSO: 21000 PH 2017-10-29 1242 OK2OLD        59 15 K3ZO          59 05
QSO: 21245 PH 2017-10-29 1304 OK2OLD        59 15 KU2M          59 5
QSO: 21441 PH 2017-10-29 1331 OK2OLD        59 15 A73A          59 21
QSO: 21200 PH 2017-10-29 1337 OK2OLD        59 15 K3LR          59 5
QSO: 21406 PH 2017-10-29 1344 OK2OLD        59 15 P33W          59 20
QSO: 21307 PH 2017-10-29 1414 OK2OLD        59 15 K3WW          59 5
QSO: 21337 PH 2017-10-29 1420 OK2OLD        59 15 W5MX          59 4
QSO: 21350 PH 2017-10-29 1422 OK2OLD        59 15 W0AIH         59 4
QSO: 21187 PH 2017-10-29 1429 OK2OLD        59 15 ZB2TT         59 14
QSO: 21193 PH 2017-10-29 1430 OK2OLD        59 15 VE3EJ         59 04
QSO: 21445 PH 2017-10-29 1437 OK2OLD        59 15 K0EJ          59 4
QSO: 21306 PH 2017-10-29 1445 OK2OLD        59 15 WW4LL         59 5
QSO: 21135 PH 2017-10-29 1448 OK2OLD        59 15 YV2CAR        59 9
QSO: 21140 PH 2017-10-29 1450 OK2OLD        59 15 VY2ZM         59 5
QSO: 21154 PH 2017-10-29 1453 OK2OLD        59 15 4Z5LY         59 20
QSO: 21208 PH 2017-10-29 1458 OK2OLD        59 15 N0MA          59 4
QSO: 14000 PH 2017-10-29 1520 OK2OLD        59 15 CU4DX         59 14
QSO: 14185 PH 2017-10-29 1727 OK2OLD        59 15 CN2R          59 33
QSO: 14183 PH 2017-10-29 1939 OK2OLD        59 15 K1TTT         59 5
END-OF-LOG:
