START-OF-LOG: 3.0
CALLSIGN: PG3N
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 376371
NAME: Peter Merx
LOCATION: DX
OPERATORS: PG3N
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6059.0
SOAPBOX: Poor condx, good activity cu all next contest 73s Peter
QSO:  3598 RY 2017-02-11 0503 PG3N          599 0001   LY2W          599 0257
QSO:  3598 RY 2017-02-11 0504 PG3N          599 0002   S51A          599 0268
QSO:  3598 RY 2017-02-11 0504 PG3N          599 0003   IK2SBB        599 0029
QSO:  3603 RY 2017-02-11 0509 PG3N          599 0004   IQ1RY         599 0334
QSO:  3603 RY 2017-02-11 0511 PG3N          599 0005   IQ6AN         599 0427
QSO:  3603 RY 2017-02-11 0513 PG3N          599 0006   UT4UWC        599 0134
QSO:  3603 RY 2017-02-11 0516 PG3N          599 0007   DF6RI         599 0046
QSO:  3603 RY 2017-02-11 0519 PG3N          599 0008   OK1EP         599 0003
QSO:  3603 RY 2017-02-11 0520 PG3N          599 0009   HA8TI         599 0021
QSO:  3603 RY 2017-02-11 0522 PG3N          599 0010   OF2PLA        599 0224
QSO:  3603 RY 2017-02-11 0522 PG3N          599 0011   OK5NW         599 0040
QSO:  3603 RY 2017-02-11 0523 PG3N          599 0012   OE3DXA        599 0062
QSO:  3603 RY 2017-02-11 0523 PG3N          599 0013   9A4AA         599 0070
QSO:  3603 RY 2017-02-11 0525 PG3N          599 0014   RU3XB         599 0010
QSO:  7059 RY 2017-02-11 0532 PG3N          599 0015   YR7J          599 0202
QSO:  7060 RY 2017-02-11 0536 PG3N          599 0016   UT2IO         599 0199
QSO:  3603 RY 2017-02-11 0542 PG3N          599 0017   DO2MRC        599 0098
QSO:  3603 RY 2017-02-11 0544 PG3N          599 0018   DK1KC         599 0070
QSO:  3603 RY 2017-02-11 0546 PG3N          599 0019   OK1DQT        599 0084
QSO:  3603 RY 2017-02-11 0546 PG3N          599 0020   UW3U          599 0359
QSO:  3603 RY 2017-02-11 0548 PG3N          599 0021   YP8W          599 0137
QSO:  7066 RY 2017-02-11 0747 PG3N          599 0022   OK2PAD        599 0090
QSO:  7066 RY 2017-02-11 0748 PG3N          599 0023   YO4NF         599 0274
QSO:  7066 RY 2017-02-11 0748 PG3N          599 0024   P3X           599 0500
QSO:  7066 RY 2017-02-11 0749 PG3N          599 0025   LZ7W          599 0327
QSO:  7066 RY 2017-02-11 0749 PG3N          599 0026   W9PA          599 0370
QSO:  7066 RY 2017-02-11 0751 PG3N          599 0027   TM4C          599 0089
