START-OF-LOG: 3.0
CALLSIGN: EE2A
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 32396
NAME: Jon Iza
LOCATION: DX
OPERATORS: EA2SN
CLUB: None
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6059.0
SOAPBOX: Broken antenna mast due to wind on 11-12 night.
QSO:  3561 RY 2017-02-11 0449 EE2A          599 0001   IZ0KBR        599 0254
QSO:  3565 RY 2017-02-11 0454 EE2A          599 0002   DL7CX         599 0040
QSO:  3568 RY 2017-02-11 0502 EE2A          599 0003   ED7P          599 0132
QSO:  3568 RY 2017-02-11 0505 EE2A          599 0004   W3FV          599 0294
QSO:  3571 RY 2017-02-11 0511 EE2A          599 0005   IR9RW         599 0208
QSO:  3573 RY 2017-02-11 0516 EE2A          599 0006   LX1HD         599 0221
QSO:  3573 RY 2017-02-11 0517 EE2A          599 0007   ON3BZ         599 0020
QSO:  3574 RY 2017-02-11 0520 EE2A          599 0008   IQ1RY         599 0342
QSO:  3575 RY 2017-02-11 0521 EE2A          599 0009   OK1NP         599 0279
QSO:  3577 RY 2017-02-11 0524 EE2A          599 0010   DL8OH         599 0006
QSO:  3580 RY 2017-02-11 0526 EE2A          599 0011   EA5IDQ        599 0010
QSO:  3582 RY 2017-02-11 0527 EE2A          599 0012   LX7I          599 0245
QSO:  3583 RY 2017-02-11 0534 EE2A          599 0013   DF8XC         599 0100
QSO:  3584 RY 2017-02-11 0536 EE2A          599 0014   F5POJ         599 0051
QSO:  3586 RY 2017-02-11 0539 EE2A          599 0015   I4AVG         599 0287
QSO:  3587 RY 2017-02-11 0540 EE2A          599 0016   EC1DBO        599 0044
QSO:  3590 RY 2017-02-11 0544 EE2A          599 0017   IQ0AP         599 0229
QSO:  3593 RY 2017-02-11 0548 EE2A          599 0018   OL9A          599 0432
QSO:  3595 RY 2017-02-11 0549 EE2A          599 0019   LY7Z          599 0076
QSO:  3595 RY 2017-02-11 0551 EE2A          599 0020   OF3OJ         599 0105
QSO:  7036 RY 2017-02-11 0557 EE2A          599 0021   HF9M          599 0342
QSO:  7040 RY 2017-02-11 0601 EE2A          599 0022   WT4O          599 0491
QSO:  7044 RY 2017-02-11 0606 EE2A          599 0023   9A1A          599 0345
QSO:  7046 RY 2017-02-11 0609 EE2A          599 0024   W3LL          599 0386
QSO:  7049 RY 2017-02-11 0610 EE2A          599 0025   K5DU          599 0448
QSO:  7051 RY 2017-02-11 0611 EE2A          599 0026   IZ8EPX        599 0413
QSO:  7052 RY 2017-02-11 0614 EE2A          599 0027   9A0Z          599 0277
QSO:  7052 RY 2017-02-11 0614 EE2A          599 0028   OM2VL         599 0414
QSO:  7054 RY 2017-02-11 0617 EE2A          599 0029   S50A          599 0391
QSO:  7055 RY 2017-02-11 0618 EE2A          599 0030   OK1KSL        599 0237
QSO:  3560 RY 2017-02-11 0627 EE2A          599 0031   IQ3UD         599 0056
QSO:  3561 RY 2017-02-11 0629 EE2A          599 0032   DL4ZA         599 0043
QSO:  3564 RY 2017-02-11 0630 EE2A          599 0033   DM6DX         599 0123
QSO:  3566 RY 2017-02-11 0636 EE2A          599 0034   DO4OD         599 0068
QSO:  3569 RY 2017-02-11 0640 EE2A          599 0035   F4DSK         599 0033
QSO:  3571 RY 2017-02-11 0641 EE2A          599 0036   EB3CW         599 0287
QSO:  3574 RY 2017-02-11 0643 EE2A          599 0037   DL6DH         599 0110
QSO:  3577 RY 2017-02-11 0646 EE2A          599 0038   KU2M          599 0393
QSO:  3582 RY 2017-02-11 0651 EE2A          599 0039   EA1AKS        599 0363
QSO:  3583 RY 2017-02-11 0653 EE2A          599 0040   LA9RY         599 0021
QSO:  3581 RY 2017-02-11 0806 EE2A          599 0041   TM3T          599 0274
QSO: 14078 RY 2017-02-11 0809 EE2A          599 0042   DL70DSH       599 0002
QSO:  7037 RY 2017-02-11 0821 EE2A          599 0043   CR3A          599 0569
QSO:  7047 RY 2017-02-11 0838 EE2A          599 0044   S51CK         599 0405
QSO:  7049 RY 2017-02-11 0842 EE2A          599 0045   F5NBX         599 0030
QSO:  7051 RY 2017-02-11 0844 EE2A          599 0046   LX7I          599 0481
QSO:  7051 RY 2017-02-11 0847 EE2A          599 0047   EA8DED        599 0393
QSO:  7056 RY 2017-02-11 0855 EE2A          599 0048   DP7D          599 0382
QSO: 21083 RY 2017-02-11 0901 EE2A          599 0049   LZ2DF         599 0133
QSO: 21082 RY 2017-02-11 0936 EE2A          599 0050   UR2Y          599 0089
QSO:  7035 RY 2017-02-11 0948 EE2A          599 0051   IK3SSJ        599 0176
QSO:  7036 RY 2017-02-11 0950 EE2A          599 0052   DL5RK         599 0113
QSO:  7039 RY 2017-02-11 0954 EE2A          599 0053   DF0WRTC       599 0147
QSO:  7043 RY 2017-02-11 0959 EE2A          599 0054   F5GFA         599 0041
QSO: 14092 RY 2017-02-11 1101 EE2A          599 0055   IK4GNI        599 0220
QSO: 14092 RY 2017-02-11 1102 EE2A          599 0056   GS8VL         599 0156
QSO: 14093 RY 2017-02-11 1106 EE2A          599 0057   DL5SE         599 0222
QSO: 14093 RY 2017-02-11 1109 EE2A          599 0058   CR3A          599 0189
QSO: 14094 RY 2017-02-11 1112 EE2A          599 0059   HG17EYOF      599 0811
QSO: 14096 RY 2017-02-11 1113 EE2A          599 0060   DL0SLG        599 0408
QSO: 14096 RY 2017-02-11 1114 EE2A          599 0061   IW3QRM        599 0228
QSO: 14097 RY 2017-02-11 1115 EE2A          599 0062   9A1A          599 0349
QSO: 14098 RY 2017-02-11 1117 EE2A          599 0063   EF8O          599 0067
QSO: 14099 RY 2017-02-11 1118 EE2A          599 0064   RM6C          599 0429
QSO: 14100 RY 2017-02-11 1119 EE2A          599 0065   DL3BQA        599 0178
QSO: 14102 RY 2017-02-11 1122 EE2A          599 0066   RK4FF         599 0458
QSO: 14104 RY 2017-02-11 1125 EE2A          599 0067   SM6NOC        599 0215
QSO: 14106 RY 2017-02-11 1128 EE2A          599 0068   R6CO          599 0111
QSO: 14109 RY 2017-02-11 1129 EE2A          599 0069   OE2LCM        599 0218
QSO: 14109 RY 2017-02-11 1130 EE2A          599 0070   9A5Y          599 0374
QSO: 14110 RY 2017-02-11 1131 EE2A          599 0071   S55W          599 0643
QSO: 14111 RY 2017-02-11 1132 EE2A          599 0072   PZ5RA         599 0253
QSO: 14111 RY 2017-02-11 1133 EE2A          599 0073   GM3W          599 0170
QSO: 14111 RY 2017-02-11 1134 EE2A          599 0074   Z39A          599 0023
QSO: 14113 RY 2017-02-11 1135 EE2A          599 0075   OE2GEN        599 0264
QSO: 14114 RY 2017-02-11 1138 EE2A          599 0076   OF7MN         599 0108
QSO: 14115 RY 2017-02-11 1139 EE2A          599 0077   HA8JV         599 0256
QSO: 14090 RY 2017-02-11 1147 EE2A          599 0078   IQ9UI         599 0714
QSO: 14092 RY 2017-02-11 1149 EE2A          599 0079   S51A          599 0189
QSO: 14080 RY 2017-02-11 1441 EE2A          599 0080   TF3T          599 0059
QSO: 14081 RY 2017-02-11 1442 EE2A          599 0081   LY9Y          599 0580
QSO: 14081 RY 2017-02-11 1443 EE2A          599 0082   HA1SU         599 0117
QSO: 14084 RY 2017-02-11 1446 EE2A          599 0083   EM2G          599 0548
QSO: 14089 RY 2017-02-11 1641 EE2A          599 0084   ER5LL         599 0190
QSO: 14089 RY 2017-02-11 1642 EE2A          599 0085   NR4M          599 0375
QSO: 14091 RY 2017-02-11 1645 EE2A          599 0086   LZ1YQ         599 0265
QSO: 14094 RY 2017-02-11 1647 EE2A          599 0087   LZ1KDP        599 0418
QSO: 14099 RY 2017-02-11 1650 EE2A          599 0088   ED2C          599 0214
QSO: 14103 RY 2017-02-11 1654 EE2A          599 0089   SP2KPD        599 0003
QSO: 14105 RY 2017-02-11 1702 EE2A          599 0090   DM5TI         599 0387
QSO: 14105 RY 2017-02-11 1702 EE2A          599 0091   LZ45YE        599 0457
QSO: 14110 RY 2017-02-11 1705 EE2A          599 0092   IT9VCE        599 0326
QSO: 14125 RY 2017-02-11 1717 EE2A          599 0093   DK0EE         599 0712
QSO: 14126 RY 2017-02-11 1720 EE2A          599 0094   AK1W          599 1119
QSO:  7039 RY 2017-02-11 1727 EE2A          599 0095   YT2B          599 0444
QSO:  7047 RY 2017-02-11 1731 EE2A          599 0096   F6CBL         599 0421
QSO:  7042 RY 2017-02-11 1914 EE2A          599 0097   IK2SND        599 0260
QSO:  7037 RY 2017-02-11 2035 EE2A          599 0098   P3X           599 0901
QSO:  7050 RY 2017-02-11 2052 EE2A          599 0099   S57AL         599 0049
QSO:  7043 RY 2017-02-11 2057 EE2A          599 0100   HG17EYOF      599 1492
QSO:  3562 RY 2017-02-12 0508 EE2A          599 0101   OZ11A         599 0936
QSO:  3564 RY 2017-02-12 0510 EE2A          599 0102   F4BKT         599 0082
QSO:  3566 RY 2017-02-12 0517 EE2A          599 0103   DO2MRC        599 0179
QSO:  3566 RY 2017-02-12 0527 EE2A          599 0104   F5BEG         599 0398
QSO:  3567 RY 2017-02-12 0529 EE2A          599 0105   IT9BLB        599 0228
QSO:  3582 RY 2017-02-12 0550 EE2A          599 0106   CR3A          599 0308
QSO:  7040 RY 2017-02-12 0556 EE2A          599 0107   NO7R          599 0284
END-OF-LOG:
