START-OF-LOG: 3.0
CALLSIGN: VU2DED
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 166701
NAME: AJAYA GUPTA
LOCATION: DX
OPERATORS: VU2DED
CLUB: VU CONTEST GROUP
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6071.0
SOAPBOX: IC-707, barefoot with Trap Dipole. Home-brew digital Interface with DM780.
QSO:  7000 RY 2017-02-11 0009 VU2DED        599 0001   OM2VL         599 0004
QSO:  7000 RY 2017-02-11 0016 VU2DED        599 0002   YO9HP         599 0025
QSO:  7000 RY 2017-02-11 0025 VU2DED        599 0003   UT5EPP        599 0020
QSO:  7000 RY 2017-02-11 0037 VU2DED        599 0004   UV0A          599 0031
QSO:  7000 RY 2017-02-11 0040 VU2DED        599 0005   RG4A          599 0013
QSO:  7000 RY 2017-02-11 0042 VU2DED        599 0006   4M1K          599 0053
QSO:  7000 RY 2017-02-11 0046 VU2DED        599 0007   IQ6AN         599 0071
QSO:  7000 RY 2017-02-11 0047 VU2DED        599 0008   LZ8E          599 0096
QSO:  7000 RY 2017-02-11 0050 VU2DED        599 0009   DQ5M          599 0054
QSO:  7000 RY 2017-02-11 0052 VU2DED        599 0010   DP9A          599 0038
QSO:  7000 RY 2017-02-11 0102 VU2DED        599 0011   UR4MG         599 0037
QSO:  7000 RY 2017-02-11 0104 VU2DED        599 0012   RA6GW         599 0016
QSO:  7000 RY 2017-02-11 0107 VU2DED        599 0013   SZ1A          599 0066
QSO:  7000 RY 2017-02-11 0109 VU2DED        599 0014   SX2X          599 0068
QSO:  7000 RY 2017-02-11 0116 VU2DED        599 0015   ES5Q          599 0021
QSO:  7000 RY 2017-02-11 0122 VU2DED        599 0016   S51CK         599 0052
QSO:  7000 RY 2017-02-11 0123 VU2DED        599 0017   DL1DVO        599 0035
QSO:  7000 RY 2017-02-11 0125 VU2DED        599 0018   OH2T          599 0042
QSO:  7000 RY 2017-02-11 0142 VU2DED        599 0019   OF6HZH        599 0042
QSO:  7000 RY 2017-02-11 0145 VU2DED        599 0020   TF1AM         599 0076
QSO:  7000 RY 2017-02-11 0146 VU2DED        599 0021   IQ5PJ         599 0077
QSO:  7000 RY 2017-02-11 0150 VU2DED        599 0022   AT0L          599 0010
QSO:  7000 RY 2017-02-11 0152 VU2DED        599 0023   YT2B          599 0081
QSO:  7000 RY 2017-02-11 0206 VU2DED        599 0024   DM5TI         599 0116
QSO:  7000 RY 2017-02-11 0212 VU2DED        599 0025   PZ5RA         599 0128
QSO: 14000 RY 2017-02-11 0221 VU2DED        599 0026   HS5NMF        599 0016
QSO: 14000 RY 2017-02-11 0222 VU2DED        599 0027   YE1C          599 0078
QSO: 14000 RY 2017-02-11 0351 VU2DED        599 0028   YB3LZ         599 0034
QSO: 14000 RY 2017-02-11 0355 VU2DED        599 0029   RM6C          599 0015
QSO: 14000 RY 2017-02-11 0358 VU2DED        599 0030   RK4FF         599 0029
QSO: 14000 RY 2017-02-11 0403 VU2DED        599 0031   UN6LN         599 0022
QSO: 21000 RY 2017-02-11 0406 VU2DED        599 0032   UN6TA         599 0039
QSO: 21000 RY 2017-02-11 0710 VU2DED        599 0033   R3AQ          599 0027
QSO: 21000 RY 2017-02-11 0712 VU2DED        599 0034   RK3PWR        599 0157
QSO: 21000 RY 2017-02-11 0714 VU2DED        599 0035   RA0LQ/MM      599 0015
QSO: 21000 RY 2017-02-11 0716 VU2DED        599 0036   UT8EL         599 0388
QSO: 21000 RY 2017-02-11 0717 VU2DED        599 0037   EO3Q          599 0036
QSO: 21000 RY 2017-02-11 0720 VU2DED        599 0038   LZ8E          599 0742
QSO: 21000 RY 2017-02-11 0721 VU2DED        599 0039   UR2Y          599 0032
QSO: 21000 RY 2017-02-11 0727 VU2DED        599 0040   R3BB          599 0156
QSO: 21000 RY 2017-02-11 0732 VU2DED        599 0041   OF5C          599 0007
QSO: 21000 RY 2017-02-11 0738 VU2DED        599 0042   YD1SDL/2      599 0243
QSO: 21000 RY 2017-02-11 0746 VU2DED        599 0043   UA9XL         599 0131
QSO: 21000 RY 2017-02-11 0747 VU2DED        599 0044   UT3C          599 0186
QSO: 21000 RY 2017-02-11 0748 VU2DED        599 0045   9M2/JE1SCJ    599 0011
QSO: 21000 RY 2017-02-11 0750 VU2DED        599 0046   UN7PGA        599 0085
QSO: 21000 RY 2017-02-11 0753 VU2DED        599 0047   EB8AH         599 0026
QSO: 21000 RY 2017-02-11 0755 VU2DED        599 0048   9M2TO         599 0052
QSO: 21000 RY 2017-02-11 0759 VU2DED        599 0049   UW3U          599 0521
