START-OF-LOG: 3.0
CALLSIGN: LZ6K
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1031257
NAME: Vladimir Lazarov
LOCATION: DX
OPERATORS: LZ2PL
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6059.0
QSO: 21096 RY 2017-02-11 1111 LZ6K          599 0001   EA7ZY         599 0134
QSO: 21096 RY 2017-02-11 1112 LZ6K          599 0002   EC7AT         599 0076
QSO: 21101 RY 2017-02-11 1113 LZ6K          599 0003   F4HQZ         599 0032
QSO: 21102 RY 2017-02-11 1114 LZ6K          599 0004   PY2NY         599 0216
QSO: 21104 RY 2017-02-11 1115 LZ6K          599 0005   V53DX         599 0332
QSO: 21108 RY 2017-02-11 1116 LZ6K          599 0006   TR8CA         599 0025
QSO: 21115 RY 2017-02-11 1122 LZ6K          599 0007   YY4TSS/1      599 0019
QSO: 14133 RY 2017-02-11 1129 LZ6K          599 0008   YU1RH         599 0076
QSO: 14133 RY 2017-02-11 1129 LZ6K          599 0009   DL8TG         599 0068
QSO: 14134 RY 2017-02-11 1130 LZ6K          599 0010   OF2LZI        599 0104
QSO: 14134 RY 2017-02-11 1133 LZ6K          599 0011   RK9UE         599 0068
QSO: 14134 RY 2017-02-11 1134 LZ6K          599 0012   IW1CBG        599 0147
QSO: 14134 RY 2017-02-11 1135 LZ6K          599 0013   DJ1YF         599 0071
QSO: 14134 RY 2017-02-11 1135 LZ6K          599 0014   UA9UDX        599 0193
QSO: 14134 RY 2017-02-11 1137 LZ6K          599 0015   9A7T          599 0287
QSO: 14134 RY 2017-02-11 1139 LZ6K          599 0016   RW4S          599 0239
QSO: 14134 RY 2017-02-11 1139 LZ6K          599 0017   OF8JJ         599 0067
QSO: 14134 RY 2017-02-11 1141 LZ6K          599 0018   DF1JM         599 0023
QSO: 14134 RY 2017-02-11 1142 LZ6K          599 0019   PE1BNF        599 0075
QSO: 14134 RY 2017-02-11 1143 LZ6K          599 0020   UA5F          599 0135
QSO: 14134 RY 2017-02-11 1143 LZ6K          599 0021   DF8JK         599 0048
QSO: 14136 RY 2017-02-11 1145 LZ6K          599 0022   OF6MW         599 0091
QSO: 14133 RY 2017-02-11 1146 LZ6K          599 0023   F8KKH         599 0206
QSO: 21099 RY 2017-02-11 1149 LZ6K          599 0024   ZZ2T          599 0066
QSO: 21101 RY 2017-02-11 1150 LZ6K          599 0025   ZX2V          599 0125
QSO: 21092 RY 2017-02-11 1152 LZ6K          599 0026   A71AE         599 0329
QSO: 21097 RY 2017-02-11 1156 LZ6K          599 0027   YB3LZ         599 0093
QSO: 21097 RY 2017-02-11 1156 LZ6K          599 0028   RT9S          599 0508
QSO: 21094 RY 2017-02-11 1157 LZ6K          599 0029   RK9AX         599 0715
QSO: 21090 RY 2017-02-11 1159 LZ6K          599 0030   A61M          599 0293
