START-OF-LOG: 3.0
CALLSIGN: G3RTU
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 38220
NAME: Keith Kahn
LOCATION: DX
OPERATORS: G3RTU
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger V12.1.4
SOAPBOX: Only able to operate part time. Running just 40w
QSO:  7036 RY 2017-02-11 0524 G3RTU         173 0001   IK5UAN        599 0173
QSO:  3586 RY 2017-02-11 0528 G3RTU         599 0002   I4AVG         599 0280
QSO:  3594 RY 2017-02-11 0533 G3RTU         599 0003   OL9A          599 0413
QSO:  3601 RY 2017-02-11 0535 G3RTU         599 0004   SN7Q          599 0460
QSO:  3583 RY 2017-02-11 0537 G3RTU         599 0005   DF8XC         599 0102
QSO:  3588 RY 2017-02-11 0545 G3RTU         599 0006   DQ5M          599 0273
QSO:  7086 RY 2017-02-11 0550 G3RTU         599 0007   S51A          599 0287
QSO:  7062 RY 2017-02-11 0552 G3RTU         599 0008   IK0FMB        599 0104
QSO:  7062 RY 2017-02-11 0557 G3RTU         599 0009   EA4DB         599 0214
QSO:  7043 RY 2017-02-11 0558 G3RTU         599 0010   9A1A          599 0338
QSO:  7041 RY 2017-02-11 0608 G3RTU         599 0011   IV3IYH        599 0030
QSO:  7051 RY 2017-02-11 0609 G3RTU         599 0012   9A0Z          599 0274
QSO:  7067 RY 2017-02-11 0611 G3RTU         599 0013   LZ8E          599 0621
QSO:  7054 RY 2017-02-11 0612 G3RTU         599 0014   IQ6AN         599 0487
QSO:  7064 RY 2017-02-11 0623 G3RTU         599 0015   S55W          599 0367
QSO:  3581 RY 2017-02-11 0627 G3RTU         599 0016   LX7I          599 0291
QSO:  3593 RY 2017-02-11 0630 G3RTU         599 0017   EA1AKS        599 0349
QSO:  3598 RY 2017-02-11 0631 G3RTU         599 0018   IQ6AN         599 0504
QSO:  3588 RY 2017-02-11 0634 G3RTU         599 0019   OK1NP         599 0326
QSO:  3569 RY 2017-02-11 0637 G3RTU         599 0020   F4DSK         599 0028
QSO:  3598 RY 2017-02-11 0642 G3RTU         599 0021   IQ1RY         599 0424
QSO:  7051 RY 2017-02-11 0652 G3RTU         599 0022   IV3SKB        599 0382
QSO:  7053 RY 2017-02-11 0656 G3RTU         599 0023   S50A          599 0435
QSO:  7090 RY 2017-02-11 0659 G3RTU         599 0024   EA8ZS         599 0162
QSO:  7076 RY 2017-02-11 0701 G3RTU         599 0025   LY16W         599 0223
QSO:  7071 RY 2017-02-11 0702 G3RTU         599 0026   I1JTQ         599 0121
QSO:  7070 RY 2017-02-11 0703 G3RTU         599 0027   YL4U          599 0131
QSO:  7062 RY 2017-02-11 0704 G3RTU         599 0028   LY2W          599 0267
QSO:  7054 RY 2017-02-11 0705 G3RTU         599 0029   OK1KSL        599 0273
QSO:  7049 RY 2017-02-11 0707 G3RTU         599 0030   EA2WT         599 0020
QSO:  7073 RY 2017-02-11 0708 G3RTU         599 0031   OG4X          599 0054
QSO:  7059 RY 2017-02-11 0712 G3RTU         599 0032   IK2SND        599 0086
QSO:  7038 RY 2017-02-11 0719 G3RTU         599 0033   OE2GEN        599 0131
QSO:  7055 RY 2017-02-11 0723 G3RTU         599 0034   DQ5M          599 0352
QSO:  7064 RY 2017-02-11 0730 G3RTU         599 0035   OM2VL         599 0487
QSO:  7057 RY 2017-02-11 0817 G3RTU         599 0036   DL6DH         599 0163
QSO:  7061 RY 2017-02-11 0818 G3RTU         599 0037   LX4A          599 0093
QSO:  7050 RY 2017-02-11 0820 G3RTU         599 0038   LX7I          599 0462
QSO:  7055 RY 2017-02-11 0827 G3RTU         599 0039   DL7CX         599 0084
QSO:  7052 RY 2017-02-11 0830 G3RTU         599 0040   DP7D          599 0360
QSO:  7037 RY 2017-02-11 0832 G3RTU         599 0041   CR3A          599 0574
QSO: 14079 RY 2017-02-11 0835 G3RTU         599 0042   ES5Q          599 0074
QSO: 14086 RY 2017-02-11 0837 G3RTU         599 0043   IQ4RN         599 0176
QSO: 14088 RY 2017-02-11 0844 G3RTU         599 0044   YO3RU         599 0111
QSO: 14090 RY 2017-02-11 0845 G3RTU         599 0045   IK4GNI        599 0095
QSO: 14095 RY 2017-02-11 0847 G3RTU         599 0046   9A1A          599 0235
QSO: 14097 RY 2017-02-11 0848 G3RTU         599 0047   RM6C          599 0240
QSO: 14123 RY 2017-02-11 0856 G3RTU         599 0048   EB1BCG        599 0037
QSO: 14099 RY 2017-02-11 0900 G3RTU         599 0049   RK3DXW        599 0278
QSO: 14105 RY 2017-02-11 0901 G3RTU         599 0050   R3PV          599 0177
QSO: 14111 RY 2017-02-11 0902 G3RTU         599 0051   OF2PLA        599 0372
QSO: 14111 RY 2017-02-11 1230 G3RTU         599 0052   OF3OJ         599 0430
QSO: 14113 RY 2017-02-11 1231 G3RTU         599 0053   HA8JV         599 0294
QSO: 14117 RY 2017-02-11 1231 G3RTU         599 0054   S53EO         599 0234
QSO: 14121 RY 2017-02-11 1233 G3RTU         599 0055   IT9VCE        599 0160
QSO: 14094 RY 2017-02-11 1235 G3RTU         599 0056   IW3QRM        599 0274
QSO: 14102 RY 2017-02-11 1309 G3RTU         599 0057   TF1AM         599 0337
QSO: 14108 RY 2017-02-11 1310 G3RTU         599 0058   YL4U          599 0352
QSO: 14116 RY 2017-02-11 1312 G3RTU         599 0059   YU1UN         599 0101
QSO: 14133 RY 2017-02-11 1314 G3RTU         599 0060   LY2J          599 0156
QSO: 14110 RY 2017-02-11 1315 G3RTU         599 0061   SN7Q          599 0885
QSO: 14098 RY 2017-02-11 1318 G3RTU         599 0062   ES1O          599 0332
QSO: 14087 RY 2017-02-11 1320 G3RTU         599 0063   IW1QN         599 0266
QSO: 14083 RY 2017-02-11 1321 G3RTU         599 0064   IW2MZX        599 0163
QSO: 14086 RY 2017-02-11 1325 G3RTU         599 0065   OF6HZH        599 0086
QSO: 21081 RY 2017-02-11 1329 G3RTU         599 0066   LZ2DF         599 0190
QSO: 21084 RY 2017-02-11 1331 G3RTU         599 0067   LZ6Y          599 0170
QSO: 21091 RY 2017-02-11 1336 G3RTU         599 0068   NR4M          599 0052
QSO: 21117 RY 2017-02-11 1338 G3RTU         599 0069   YP0C          599 0487
QSO: 21080 RY 2017-02-11 1340 G3RTU         599 0070   EB8AH         599 0549
QSO: 21087 RY 2017-02-11 1341 G3RTU         599 0071   UR2Y          599 0134
QSO: 21105 RY 2017-02-11 1349 G3RTU         599 0072   IK0PRP        599 0084
QSO: 21107 RY 2017-02-11 1354 G3RTU         599 0073   IK8UND        599 0330
QSO: 21094 RY 2017-02-11 1356 G3RTU         599 0074   IZ8EPX        599 0573
QSO: 21111 RY 2017-02-11 1358 G3RTU         599 0075   EA8PT         599 0309
QSO: 14093 RY 2017-02-11 1405 G3RTU         599 0076   IU4CHE        599 0340
QSO: 14102 RY 2017-02-11 1407 G3RTU         599 0077   SO6X          599 0157
QSO: 14119 RY 2017-02-11 1410 G3RTU         599 0078   IV3SKB        599 0617
QSO: 14125 RY 2017-02-11 1412 G3RTU         599 0079   OM2VL         599 0728
QSO: 14125 RY 2017-02-11 1413 G3RTU         599 0080   S55W          599 0760
QSO: 14128 RY 2017-02-11 1414 G3RTU         599 0081   OH2T          599 0386
QSO: 14086 RY 2017-02-11 1631 G3RTU         599 0082   ER5LL         599 0185
QSO: 14086 RY 2017-02-11 1632 G3RTU         599 0083   ER5LL         599 0185
QSO: 14090 RY 2017-02-11 1634 G3RTU         599 0084   9A1BHI        599 0551
QSO: 14097 RY 2017-02-11 1636 G3RTU         599 0085   ED2C          599 0198
QSO: 14109 RY 2017-02-11 1639 G3RTU         599 0086   OZ11A         599 0603
QSO: 14113 RY 2017-02-11 1640 G3RTU         599 0087   YT0W          599 0326
QSO: 14120 RY 2017-02-11 1642 G3RTU         599 0088   YP0C          599 0544
QSO: 14087 RY 2017-02-11 1647 G3RTU         599 0089   EA5IDQ        599 0179
QSO: 14101 RY 2017-02-11 1649 G3RTU         599 0090   EA7KP         599 0304
QSO: 14104 RY 2017-02-11 1659 G3RTU         599 0091   SX2X          599 0847
QSO: 14136 RY 2017-02-11 1700 G3RTU         599 0092   TC2C          599 0626
QSO: 14078 RY 2017-02-11 1704 G3RTU         599 0093   SZ1A          599 0992
QSO:  7056 RY 2017-02-11 1706 G3RTU         599 0094   RM3DA         599 0535
QSO:  7077 RY 2017-02-11 1713 G3RTU         599 0095   F4DSK         599 0261
