START-OF-LOG: 2.0
CREATED-BY: Coupe du REFde F6ADE
CONTEST: REF-SSB
CALLSIGN: F8AAB
NAME: MAURIN Gérard
REF-SECTION: 84
OPERATORS: 
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 4900
SOAPBOX: Pour distribuer des Pts et simple participation 
RIG: Emetteur=FT 857 D Récepteur=FT 857 D Antenne= MULTI BANDES FIL Puissance=100W
OFFTIME: 2010-02-27 1445 2010-02-27 1730
OFFTIME: 2010-02-27 2140 2010-02-28 0750
OFFTIME: 2010-02-28 0943 2010-02-28 1335
QSO: 7000  PH 2010-02-27 0925 F8AAB         59  84     F6KRC         59  35     0
QSO: 7000  PH 2010-02-27 0932 F8AAB         59  84     F6IRM         59  52     0
QSO: 14000 PH 2010-02-27 1002 F8AAB         59  84     RN4HA         59  0024   0
QSO: 14000 PH 2010-02-27 1006 F8AAB         59  84     SY7A          59  0076   0
QSO: 14000 PH 2010-02-27 1009 F8AAB         59  84     SE6W          59  0101   0
QSO: 14000 PH 2010-02-27 1316 F8AAB         59  84     LA6KOA        59  0007   0
QSO: 14000 PH 2010-02-27 1319 F8AAB         59  84     SK7OA         59  0113   0
QSO: 7000  PH 2010-02-27 1351 F8AAB         59  84     F5KDY/P       59  28     0
QSO: 14000 PH 2010-02-27 1438 F8AAB         59  84     SN4W          59  0079   0
QSO: 14000 PH 2010-02-27 1445 F8AAB         59  84     EK3SA         59  0105   0
QSO: 3500  PH 2010-02-27 1729 F8AAB         59  84     F4AQG         59  13     0
QSO: 7000  PH 2010-02-27 1751 F8AAB         59  84     TM0W          59  64     0
QSO: 7000  PH 2010-02-27 1755 F8AAB         59  84     SY7A          59  0361   0
QSO: 3500  PH 2010-02-27 1810 F8AAB         59  84     F1TZG         59  26     0
QSO: 7000  PH 2010-02-27 2012 F8AAB         59  84     EI6JK         59  0083   0
QSO: 7000  PH 2010-02-27 2021 F8AAB         59  84     EA8TH         59  0360   0
QSO: 7000  PH 2010-02-27 2032 F8AAB         59  84     LZ2CJ         59  0019   0
QSO: 7000  PH 2010-02-27 2038 F8AAB         59  84     SV8EP         59  0171   0
QSO: 3500  PH 2010-02-27 2046 F8AAB         59  84     F6KLO         59  19     0
QSO: 3500  PH 2010-02-27 2050 F8AAB         59  84     F6HIA         59  30     0
QSO: 3500  PH 2010-02-27 2056 F8AAB         59  84     F6FDR         59  84     0
QSO: 3500  PH 2010-02-27 2107 F8AAB         59  84     ON7USB        59  0461   0
QSO: 3500  PH 2010-02-27 2125 F8AAB         59  84     F6FZS         59  64     0
QSO: 7000  PH 2010-02-27 2140 F8AAB         59  84     VE2LH         59  0039   0
QSO: 3500  PH 2010-02-28 0754 F8AAB         59  84     F6REF         59  00     0
QSO: 14000 PH 2010-02-28 0814 F8AAB         59  84     RA9CB         59  0019   0
QSO: 14000 PH 2010-02-28 0816 F8AAB         59  84     YO3CZW        59  0447   0
QSO: 14000 PH 2010-02-28 0818 F8AAB         59  84     CN2DJ         59  0193   0
QSO: 14000 PH 2010-02-28 0821 F8AAB         59  84     YR0R          59  0211   0
QSO: 7000  PH 2010-02-28 0836 F8AAB         59  84     TM0ANT        59  69     0
QSO: 3500  PH 2010-02-28 0900 F8AAB         59  84     F5FGU         59  09     0
QSO: 3500  PH 2010-02-28 0915 F8AAB         59  84     F6DIZ         59  24     0
QSO: 3500  PH 2010-02-28 0928 F8AAB         59  84     F5HAY         59  43     0
QSO: 14000 PH 2010-02-28 0935 F8AAB         59  84     YL1XN         59  0214   0
QSO: 21000 PH 2010-02-28 0941 F8AAB         59  84     RA9CB         59  0048   0
QSO: 21000 PH 2010-02-28 0943 F8AAB         59  84     4Z8AY         59  0094   0
QSO: 21000 PH 2010-02-28 1335 F8AAB         59  84     FM5WD         59  FM     0
QSO: 14000 PH 2010-02-28 1342 F8AAB         59  84     UA3QOS        59  0300   0
QSO: 7000  PH 2010-02-28 1548 F8AAB         59  84     F6KVP         59  75     0
END-OF-LOG:

