START-OF-LOG: 2.0
CREATED-BY: Win-Test 3.22.0
CONTEST: REF-SSB
REF-SECTION: 44
CALLSIGN: F5OHH
CATEGORY: SINGLE-OP ALL LOW 
CLAIMED-SCORE: 152733
OFFTIME: 2010-02-27 1202 2010-02-27 1414
OFFTIME: 2010-02-27 1925 2010-02-28 0528
OFFTIME: 2010-02-28 1211 2010-02-28 1534
OPERATORS: 
NAME: REGNIER Christian
SOAPBOX: 
RIG: FT847 yaesu,  90Watts, antennes Levy 2x21m, échelle à grenouille 18mètres
RIG: directement sur coupleur, TH3F sur 20, 15, 10m
QSO: 14000 PH 2010-02-27 1058 F5OHH         59  44     UA9XL         59  099   
QSO: 14000 PH 2010-02-27 1101 F5OHH         59  44     SM5CSS        59  116   
QSO: 14000 PH 2010-02-27 1102 F5OHH         59  44     IW0HLZ        59  010   
QSO: 14000 PH 2010-02-27 1104 F5OHH         59  44     YT4W          59  112   
QSO: 14000 PH 2010-02-27 1108 F5OHH         59  44     LY2FN         59  021   
QSO: 14000 PH 2010-02-27 1117 F5OHH         59  44     SN4W          59  045   
QSO: 14000 PH 2010-02-27 1124 F5OHH         59  44     F4FJH         59  022   
QSO: 14000 PH 2010-02-27 1126 F5OHH         59  44     IZ8EFD        59  007   
QSO: 14000 PH 2010-02-27 1127 F5OHH         59  44     HA3GN         59  061   
QSO: 14000 PH 2010-02-27 1130 F5OHH         59  44     F5AMH         59  041   
QSO: 14000 PH 2010-02-27 1141 F5OHH         59  44     YL2TB         59  054   
QSO: 14000 PH 2010-02-27 1146 F5OHH         59  44     EA7IBK        59  013   
QSO: 14000 PH 2010-02-27 1147 F5OHH         59  44     EA8TH         59  122   
QSO: 14000 PH 2010-02-27 1149 F5OHH         59  44     IZ0RCP        59  024   
QSO: 14000 PH 2010-02-27 1156 F5OHH         59  44     F6KRC         59  035   
QSO: 14000 PH 2010-02-27 1202 F5OHH         59  44     F6KAV         59  033   
