START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: HC2GRC
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: FI07BS
CLAIMED-SCORE: 1421880
NAME: GRC
OPERATORS: HC2AO HC2DR HC2IC HC2TKV HC2TPR HC2TMW HC2TVK HC2TRL
CREATED-BY: N1MM Logger+ 1.0.9319.0
SOAPBOX: We were Low Power on all bands this time.73
QSO: 21000 PH 2021-10-30 0003 HC2GRC 59   10 CM2XN  59   08 
QSO: 21000 PH 2021-10-30 0004 HC2GRC 59   10 N5YT   59   04 
QSO: 21000 PH 2021-10-30 0004 HC2GRC 59   10 CO8NDZ 59   08 
QSO: 21000 PH 2021-10-30 0005 HC2GRC 59   10 K5XU   59   04 
QSO: 21000 PH 2021-10-30 0006 HC2GRC 59   10 KJ0I   59   04 
QSO: 21000 PH 2021-10-30 0006 HC2GRC 59   10 W1PR   59   03 
QSO: 21000 PH 2021-10-30 0007 HC2GRC 59   10 K5RX   59   04 
QSO: 21000 PH 2021-10-30 0007 HC2GRC 59   10 NW6P   59   03 
QSO: 21000 PH 2021-10-30 0010 HC2GRC 59   10 JA5QAH 59   25 
QSO: 21000 PH 2021-10-30 0012 HC2GRC 59   10 NX7X   59   03 
QSO: 21000 PH 2021-10-30 0013 HC2GRC 59   10 RA0LQ/MM 59   08 
QSO: 21000 PH 2021-10-30 0016 HC2GRC 59   10 NR4L   59   04 
QSO: 21000 PH 2021-10-30 0018 HC2GRC 59   10 KD7PCE 59   03 
QSO: 28000 PH 2021-10-30 0019 HC2GRC 59   10 K3EST  59   03 
QSO: 21000 PH 2021-10-30 0019 HC2GRC 59   10 N4EEB  59   05 
QSO: 28000 PH 2021-10-30 0020 HC2GRC 59   10 KP4AA  59   08 
QSO: 21000 PH 2021-10-30 0020 HC2GRC 59   10 HR2DDL 59   07 
QSO: 28000 PH 2021-10-30 0021 HC2GRC 59   10 D4F    59   35 
QSO: 28000 PH 2021-10-30 0022 HC2GRC 59   10 WP4RF  59   08 
QSO: 21000 PH 2021-10-30 0024 HC2GRC 59   10 JE1CKA 59   25 
QSO: 28000 PH 2021-10-30 0026 HC2GRC 59   10 VR2XAN 59   24 
QSO: 28000 PH 2021-10-30 0027 HC2GRC 59   10 JA7OWD 59   25 
QSO: 21000 PH 2021-10-30 0031 HC2GRC 59   10 TI3DK  59   07 
QSO: 14000 PH 2021-10-30 0032 HC2GRC 59   10 TI2OY  59   07 
QSO: 14000 PH 2021-10-30 0032 HC2GRC 59   10 N4HID  59   04 
QSO: 21000 PH 2021-10-30 0033 HC2GRC 59   10 YS1YS  59   07 
QSO: 14000 PH 2021-10-30 0033 HC2GRC 59   10 K2ZBA  59   05 
QSO: 21000 PH 2021-10-30 0034 HC2GRC 59   10 XE2B   59   06 
QSO: 21000 PH 2021-10-30 0036 HC2GRC 59   10 TI1T   59   07 
QSO: 14000 PH 2021-10-30 0036 HC2GRC 59   10 NT5AT  59   04 
QSO: 14000 PH 2021-10-30 0037 HC2GRC 59   10 W0GJ   59   04 
QSO: 14000 PH 2021-10-30 0037 HC2GRC 59   10 KM5YL  59   04 
QSO: 14000 PH 2021-10-30 0037 HC2GRC 59   10 K9YY   59   04 
QSO:  7000 PH 2021-10-30 0040 HC2GRC 59   10 HP3SS  59   07 
QSO: 14000 PH 2021-10-30 0041 HC2GRC 59   10 AD8J   59   09 
QSO: 14000 PH 2021-10-30 0043 HC2GRC 59   10 AA8R   59   05 
QSO:  7000 PH 2021-10-30 0046 HC2GRC 59   10 HK1T   59   09 
QSO: 14000 PH 2021-10-30 0052 HC2GRC 59   10 HK3PSA 59   09 
QSO: 28000 PH 2021-10-30 0053 HC2GRC 59   10 4M1W   59   09 
QSO: 28000 PH 2021-10-30 0057 HC2GRC 59   10 K3NQ   59   03 
QSO: 28000 PH 2021-10-30 0058 HC2GRC 59   10 JG8TDZ 59   25 
QSO: 28000 PH 2021-10-30 0059 HC2GRC 59   10 JR3JFZ 59   25 
QSO: 14000 PH 2021-10-30 0104 HC2GRC 59   10 CE2DX  59   12 
QSO: 21000 PH 2021-10-30 0110 HC2GRC 59   10 P43A   59   09 
QSO: 21000 PH 2021-10-30 0111 HC2GRC 59   10 HI8RD  59   08 
QSO: 21000 PH 2021-10-30 0112 HC2GRC 59   10 PZ2YT  59   09 
QSO: 14000 PH 2021-10-30 0113 HC2GRC 59   10 TI1K   59   07 
QSO: 14000 PH 2021-10-30 0114 HC2GRC 59   10 HK3C   59   09 
QSO: 21000 PH 2021-10-30 0115 HC2GRC 59   10 K6XX   59   03 
QSO: 21000 PH 2021-10-30 0116 HC2GRC 59   10 BY5EA  59   24 
QSO: 21000 PH 2021-10-30 0116 HC2GRC 59   10 JA7YRR 59   25 
QSO: 21000 PH 2021-10-30 0119 HC2GRC 59   10 JR8VSE 59   25 
QSO:  7000 PH 2021-10-30 0121 HC2GRC 59   10 CE5DS  59   12 
QSO: 21000 PH 2021-10-30 0121 HC2GRC 59   10 AJ6V   59   03 
QSO: 21000 PH 2021-10-30 0122 HC2GRC 59   10 BG5TOX 59   24 
QSO: 21000 PH 2021-10-30 0123 HC2GRC 59   10 JE1LFX 59   25 
QSO: 21000 PH 2021-10-30 0124 HC2GRC 59   10 W6YX   59   03 
QSO: 14000 PH 2021-10-30 0124 HC2GRC 59   10 LO7H   59   13 
QSO: 21000 PH 2021-10-30 0125 HC2GRC 59   10 JF2QNM 59   25 
QSO: 21000 PH 2021-10-30 0126 HC2GRC 59   10 JL3VUT/3 59   25 
QSO: 21000 PH 2021-10-30 0127 HC2GRC 59   10 JH7QXJ 59   25 
QSO: 21000 PH 2021-10-30 0128 HC2GRC 59   10 JE1CKA 59   25 
QSO: 14000 PH 2021-10-30 0129 HC2GRC 59   10 HP3SS  59   07 
QSO: 14000 PH 2021-10-30 0135 HC2GRC 59   10 LT1F   59   13 
QSO: 21000 PH 2021-10-30 0136 HC2GRC 59   10 FY5KE  59   09 
QSO: 21000 PH 2021-10-30 0137 HC2GRC 59   10 HP1RIS 59   07 
QSO: 21000 PH 2021-10-30 0138 HC2GRC 59   10 CO8BYT 59   08 
QSO: 14000 PH 2021-10-30 0139 HC2GRC 59   10 HD8R   59   10 
QSO: 21000 PH 2021-10-30 0139 HC2GRC 59   10 PJ2T   59   09 
QSO: 21000 PH 2021-10-30 0140 HC2GRC 59   10 6Y5IC  59   08 
QSO: 14000 PH 2021-10-30 0141 HC2GRC 59   10 PJ2T   59   09 
QSO: 21000 PH 2021-10-30 0142 HC2GRC 59   10 JA3YBK 59   25 
QSO: 14000 PH 2021-10-30 0156 HC2GRC 59   10 PT5J   59   11 
QSO: 14000 PH 2021-10-30 0218 HC2GRC 59   10 CE2LE  59   12 
QSO: 14000 PH 2021-10-30 0220 HC2GRC 59   10 KH7Q   59   31 
QSO: 14000 PH 2021-10-30 0222 HC2GRC 59   10 JA3YBK 59   25 
QSO: 14000 PH 2021-10-30 0227 HC2GRC 59   10 RN0CT  59   19 
QSO: 14000 PH 2021-10-30 0229 HC2GRC 59   10 OA4SS  59   10 
QSO:  7000 PH 2021-10-30 0229 HC2GRC 59   10 CE3CT  59   12 
QSO: 14000 PH 2021-10-30 0229 HC2GRC 59   10 RK7A   59   16 
QSO:  7000 PH 2021-10-30 0230 HC2GRC 59   10 K3ZO   59   05 
QSO: 14000 PH 2021-10-30 0231 HC2GRC 59   10 RZ9OQ  59   18 
QSO: 14000 PH 2021-10-30 0232 HC2GRC 59   10 RA9V   59   18 
