START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: W9RE
LOCATION: IN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: em69
CLAIMED-SCORE: 5064156
NAME: Mike Wetzel
OPERATORS: W9RE
CLUB: SOCIETY OF MIDWEST CONTESTERS
CREATED-BY: TR Log POST Version Linux 0.40
SOAPBOX: Thanks for sponsoring the top of the line SSB Contest.
QSO: 21379 PH 2021-10-30 0002 W9RE   59   04 JA1XEC 59   25 
QSO: 21297 PH 2021-10-30 0004 W9RE   59   04 VK4SDD 59   30 
QSO: 21293 PH 2021-10-30 0005 W9RE   59   04 KH0/KC0W 59   27 
QSO: 21224 PH 2021-10-30 0008 W9RE   59   04 VA7X   59   03 
QSO: 14154 PH 2021-10-30 0010 W9RE   59   04 VO2NS  59   02 
QSO: 14157 PH 2021-10-30 0010 W9RE   59   04 VA6MA  59   04 
QSO: 14173 PH 2021-10-30 0011 W9RE   59   04 OA4SS  59   10 
QSO: 14178 PH 2021-10-30 0012 W9RE   59   04 PJ4K   59   09 
QSO: 14182 PH 2021-10-30 0013 W9RE   59   04 HK3C   59   09 
QSO: 14185 PH 2021-10-30 0013 W9RE   59   04 KL7RA  59   01 
QSO: 14192 PH 2021-10-30 0014 W9RE   59   04 CE3QY  59   12 
QSO: 14202 PH 2021-10-30 0015 W9RE   59   04 JA6ZPR 59   25 
QSO: 14203 PH 2021-10-30 0016 W9RE   59   04 PJ4G   59   09 
QSO: 14207 PH 2021-10-30 0017 W9RE   59   04 LU9MBY 59   13 
QSO: 14217 PH 2021-10-30 0018 W9RE   59   04 OH7R   59   15 
QSO: 14221 PH 2021-10-30 0019 W9RE   59   04 CE4JZO 59   12 
QSO: 14223 PH 2021-10-30 0020 W9RE   59   04 RN0CT  59   19 
QSO: 14224 PH 2021-10-30 0020 W9RE   59   04 CE3CLF 59   12 
QSO: 14226 PH 2021-10-30 0021 W9RE   59   04 PY0F   59   11 
QSO: 14241 PH 2021-10-30 0023 W9RE   59   04 4G0T   59   27 
QSO: 14245 PH 2021-10-30 0024 W9RE   59   04 OA4O   59   10 
QSO: 14247 PH 2021-10-30 0026 W9RE   59   04 TI1K   59   07 
QSO: 14250 PH 2021-10-30 0026 W9RE   59   04 VE5DLC 59   04 
QSO: 14257 PH 2021-10-30 0027 W9RE   59   04 LT1F   59   13 
QSO: 14261 PH 2021-10-30 0029 W9RE   59   04 VY0ERC 59   02 
QSO: 14265 PH 2021-10-30 0031 W9RE   59   04 VA7RR  59   03 
QSO: 14271 PH 2021-10-30 0031 W9RE   59   04 VE6AO  59   04 
QSO: 14308 PH 2021-10-30 0032 W9RE   59   04 SJ2W   59   14 
QSO: 14314 PH 2021-10-30 0033 W9RE   59   04 PP4T   59   11 
QSO: 14330 PH 2021-10-30 0034 W9RE   59   04 D4L    59   35 
QSO: 14281 PH 2021-10-30 0036 W9RE   59   04 JE1RZR 59   25 
QSO: 21364 PH 2021-10-30 0038 W9RE   59   04 VJ4M   59   30 
QSO: 14281 PH 2021-10-30 0039 W9RE   59   04 VE5PV  59   04 
QSO: 14281 PH 2021-10-30 0040 W9RE   59   04 VE7CV  59   03 
QSO: 21336 PH 2021-10-30 0041 W9RE   59   04 NH6JC  59   31 
QSO: 14281 PH 2021-10-30 0042 W9RE   59   04 KL4OB  59   01 
QSO: 14281 PH 2021-10-30 0043 W9RE   59   04 JK7CWL 59   25 
QSO:  7203 PH 2021-10-30 0045 W9RE   59   04 VO1GRC 59   05 
QSO:  7211 PH 2021-10-30 0045 W9RE   59   04 VA2UR  59   05 
QSO:  7193 PH 2021-10-30 0046 W9RE   59   04 II2S   59   15 
QSO:  7190 PH 2021-10-30 0046 W9RE   59   04 IR4X   59   15 
