START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: YG3EOY
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR:
CLAIMED-SCORE: 666
NAME: IMAM ASRORI
OPERATORS: YG3EOY
CLUB: ORARI LOKAL KEDIRI
CREATED-BY: N1MM Logger+ 1.0.8841.0
SOAPBOX: we are member of KEDIRI DXC TEAM- YB3ZBD ORARI LOKAL KEDIRI, nice
SOAPBOX: contest , see you again next year, 73 de YG3EOY
QSO:    7000 PH 2021-10-30 0151 YG3EOY           59  28    YE3CIF           59   28       
QSO:    7000 PH 2021-10-30 1346 YG3EOY           59  28    4I1LCP           59   27       
QSO:    7000 PH 2021-10-30 1559 YG3EOY           59  28    VK6N             59   29       
QSO:    7000 PH 2021-10-30 1607 YG3EOY           59  28    9M2SAF           59   28       
QSO:    7000 PH 2021-10-30 1628 YG3EOY           59  28    E21YDP           59   26       
QSO:    7000 PH 2021-10-30 1633 YG3EOY           59  28    W7WA             59   03       
QSO:    7000 PH 2021-10-30 1645 YG3EOY           59  28    II2S             59   15       
QSO:    7000 PH 2021-10-30 1701 YG3EOY           59  28    E2A              59   26       
QSO:    7000 PH 2021-10-30 1710 YG3EOY           59  28    JR2GRX           59   25       
QSO:    7000 PH 2021-10-30 1728 YG3EOY           59  28    JI2ZJS           59   25       
QSO:    7000 PH 2021-10-30 1733 YG3EOY           59  28    9M8DEN           59   28       
QSO:    7000 PH 2021-10-30 1750 YG3EOY           59  28    9M2U             59   28       
QSO:    7000 PH 2021-10-30 1928 YG3EOY           59  28    9W8ZZK           59   28       
QSO:    7000 PH 2021-10-31 1348 YG3EOY           59  28    9M2S             59   28       
QSO:    7000 PH 2021-10-31 1353 YG3EOY           59  28    9M2VJP           59   28       
QSO:    7000 PH 2021-10-31 1457 YG3EOY           59  28    US1Q             59   16       
END-OF-LOG:
