START-OF-LOG: 3.0
CALLSIGN: IQ2CU
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 240846
NAME: ANTONIO BONETTI
LOCATION: DX
OPERATORS: IN3OWY
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW 2.19
SOAPBOX: TS-590  95 W    ANT.  VERTICAL
QSO: 14026 CW 2017-05-27 0001 IQ2CU         599 001    K4PV          599 002
QSO: 14025 CW 2017-05-27 0001 IQ2CU         599 002    K3CCR         599 001
QSO: 14022 CW 2017-05-27 0006 IQ2CU         599 003    KT5J          599 012
QSO: 14021 CW 2017-05-27 0008 IQ2CU         599 004    KC7V          599 012
QSO: 14020 CW 2017-05-27 0009 IQ2CU         599 005    VE3YAA        599 025
QSO: 14017 CW 2017-05-27 0011 IQ2CU         599 006    SZ1A          599 002
QSO: 14010 CW 2017-05-27 0013 IQ2CU         599 007    WA1Z          599 017
QSO: 14008 CW 2017-05-27 0022 IQ2CU         599 008    K3LR          599 049
QSO: 14008 CW 2017-05-27 0022 IQ2CU         599 009    K2PLF         599 031
QSO: 14007 CW 2017-05-27 0023 IQ2CU         599 010    K8MP          599 054
QSO: 14004 CW 2017-05-27 0030 IQ2CU         599 011    WU4KC         599 061
QSO: 14002 CW 2017-05-27 0031 IQ2CU         599 012    WT7V          599 085
QSO: 14000 CW 2017-05-27 0032 IQ2CU         599 013    AK1W          599 094
QSO: 14000 CW 2017-05-27 0034 IQ2CU         599 014    K3RS          599 088
QSO: 14000 CW 2017-05-27 0035 IQ2CU         599 015    N2MM          599 065
QSO: 14036 CW 2017-05-27 0038 IQ2CU         599 016    II9P          599 093
QSO: 14037 CW 2017-05-27 0040 IQ2CU         599 017    N3RD          599 083
QSO: 14050 CW 2017-05-27 0044 IQ2CU         599 018    VY2TT         599 123
QSO: 14057 CW 2017-05-27 0047 IQ2CU         599 019    W3IUU         599 052
QSO: 14057 CW 2017-05-27 0049 IQ2CU         599 020    WW4R          599 075
QSO: 14059 CW 2017-05-27 0051 IQ2CU         599 021    VE3XN         599 018
QSO: 14060 CW 2017-05-27 0052 IQ2CU         599 022    WO4O          599 086
QSO: 14063 CW 2017-05-27 0054 IQ2CU         599 023    K9NW          599 090
QSO: 14022 CW 2017-05-27 0057 IQ2CU         599 024    NR4M          599 119
QSO: 14007 CW 2017-05-27 0104 IQ2CU         599 025    WN9O          599 038
QSO: 14020 CW 2017-05-27 0111 IQ2CU         599 026    KW4AM         599 098
QSO: 14036 CW 2017-05-27 0116 IQ2CU         599 027    HK1R          599 198
QSO: 14037 CW 2017-05-27 0117 IQ2CU         599 028    WY8DX         599 021
QSO: 14041 CW 2017-05-27 0119 IQ2CU         599 029    N1TO          599 152
QSO: 14048 CW 2017-05-27 0120 IQ2CU         599 030    AA3B          599 209
QSO: 14055 CW 2017-05-27 0121 IQ2CU         599 031    KM9P          599 161
QSO: 14018 CW 2017-05-27 0517 IQ2CU         599 032    HG7T          599 184
QSO: 14012 CW 2017-05-27 0519 IQ2CU         599 033    IR2C          599 252
QSO: 14008 CW 2017-05-27 0520 IQ2CU         599 034    SV2/SV1RP/A   599 162
QSO: 14010 CW 2017-05-27 0522 IQ2CU         599 035    RU1A          599 459
QSO: 14010 CW 2017-05-27 0522 IQ2CU         599 036    UT4U          599 379
QSO: 14019 CW 2017-05-27 0526 IQ2CU         599 037    OF100FI/3     599 115
QSO: 14021 CW 2017-05-27 0527 IQ2CU         599 038    UR7GO         599 349
QSO: 14024 CW 2017-05-27 0529 IQ2CU         599 039    UW5Y          599 682
QSO: 14025 CW 2017-05-27 0530 IQ2CU         599 040    UB6B          599 413
QSO: 14029 CW 2017-05-27 0532 IQ2CU         599 041    YL2BJ         599 186
QSO: 14029 CW 2017-05-27 0532 IQ2CU         599 042    OG73X         599 476
QSO: 14030 CW 2017-05-27 0535 IQ2CU         599 043    ES7GM         599 566
QSO: 14031 CW 2017-05-27 0535 IQ2CU         599 044    UP2L          599 662
QSO: 14031 CW 2017-05-27 0536 IQ2CU         599 045    IF9A          599 067
QSO: 14035 CW 2017-05-27 0537 IQ2CU         599 046    LZ9W          599 432
QSO: 14036 CW 2017-05-27 0539 IQ2CU         599 047    LY5E          599 565
QSO: 14037 CW 2017-05-27 0611 IQ2CU         599 048    SV5DKL        599 303
QSO: 14038 CW 2017-05-27 0613 IQ2CU         599 049    ER4A          599 700
QSO: 14041 CW 2017-05-27 0614 IQ2CU         599 050    RG6G          599 692
QSO: 14042 CW 2017-05-27 0614 IQ2CU         599 051    SX1T          599 412
