START-OF-LOG: 3.0
CALLSIGN: OZ6OM
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 465
NAME: O. B. Madsen
LOCATION: DX
OPERATORS: OZ6OM
CLUB: DANISH DX GROUP
CERTIFICATE: YES
CREATED-BY: UcxLog 7.51
SOAPBOX: Busy weekend, sunday evening gave a window of a couple of hours of
SOAPBOX: participation. Have marked the calendar for a longer stint next year.
QSO:  7000 CW 2017-05-28 1845 OZ6OM         599 001    OZ1OM         599 001    0
QSO:  7000 CW 2017-05-28 2049 OZ6OM         599 002    EN4U          599 1800   0
QSO:  7000 CW 2017-05-28 2201 OZ6OM         599 003    EI7M          599 1499   0
QSO:  7000 CW 2017-05-28 2221 OZ6OM         599 004    SV2DSJ        599 1203   0
QSO:  7000 CW 2017-05-28 2230 OZ6OM         599 005    HG7T          599 1393   0
QSO:  7000 CW 2017-05-28 2251 OZ6OM         599 006    RU6K          599 2514   0
QSO:  7000 CW 2017-05-28 2255 OZ6OM         599 007    OL4A          599 1580   0
QSO:  7000 CW 2017-05-28 2257 OZ6OM         599 008    UB7K          599 2016   0
QSO:  7000 CW 2017-05-28 2304 OZ6OM         599 009    SN8B          599 1622   0
QSO:  7000 CW 2017-05-28 2305 OZ6OM         599 010    OM7M          599 1807   0
QSO:  7000 CW 2017-05-28 2310 OZ6OM         599 011    US1I          599 1665   0
QSO:  7000 CW 2017-05-28 2324 OZ6OM         599 012    UC4C          599 1724   0
QSO:  7000 CW 2017-05-28 2327 OZ6OM         599 013    SV2DSJ        599 1223   0
QSO:  7000 CW 2017-05-28 2331 OZ6OM         599 014    Z3B           599 2359   0
QSO:  7000 CW 2017-05-28 2342 OZ6OM         599 015    S50C          599 3868   0
QSO:  7000 CW 2017-05-28 2355 OZ6OM         599 016    S50A          599 1773   0
QSO:  7000 CW 2017-05-28 2356 OZ6OM         599 017    S53A          599 2647   0
END-OF-LOG:
