START-OF-LOG: 3.0
CALLSIGN: K5ME
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 122807
NAME: Robert Knibb
LOCATION: STX
OPERATORS: K5ME
CLUB: DFW Contest Group
CERTIFICATE: NO
CREATED-BY: N3FJP's CQ WPX Contest Log 3.0
SOAPBOX: Good contest. My 40m antenna was kaput. Thunderstorms Sunday evening.
QSO: 14000 CW 2017-05-27 0001 K5ME          599 001    OP4K          599 007    0
QSO: 14000 CW 2017-05-27 0004 K5ME          599 002    YL2KO         599 007    0
QSO: 14000 CW 2017-05-27 0005 K5ME          599 003    K3CCR         599 007    0
QSO: 14000 CW 2017-05-27 0007 K5ME          599 004    RM9I          599 007    0
QSO: 14000 CW 2017-05-27 0012 K5ME          599 005    F6KOP         599 020    0
QSO: 14000 CW 2017-05-27 0013 K5ME          599 006    VC7T          599 007    0
QSO: 14000 CW 2017-05-27 0014 K5ME          599 007    NR4M          599 027    0
QSO: 14000 CW 2017-05-27 0015 K5ME          599 008    OL4A          599 035    0
QSO: 14000 CW 2017-05-27 0016 K5ME          599 009    EC2DX         599 024    0
QSO: 14000 CW 2017-05-27 0023 K5ME          599 010    HG5F          599 37     0
QSO: 14000 CW 2017-05-27 0025 K5ME          599 011    OG73X         599 34     0
QSO: 14000 CW 2017-05-27 0027 K5ME          599 012    II9P          599 61     0
QSO: 14000 CW 2017-05-27 0028 K5ME          599 013    V31PS         599 21     0
QSO: 14000 CW 2017-05-27 0029 K5ME          599 014    DJ5MW         599 71     0
QSO: 14000 CW 2017-05-27 0031 K5ME          599 015    TM4Q          599 051    0
QSO: 14000 CW 2017-05-27 0034 K5ME          599 016    HA3DX         599 038    0
QSO: 14000 CW 2017-05-27 0038 K5ME          599 017    VE4EA         599 53     0
QSO: 14000 CW 2017-05-27 0041 K5ME          599 018    VY2TT         599 114    0
QSO: 21000 CW 2017-05-27 0043 K5ME          599 019    WN1GIV        599 61     0
QSO: 21000 CW 2017-05-27 0045 K5ME          599 020    NG7A          599 46     0
QSO: 21000 CW 2017-05-27 0046 K5ME          599 021    K4OAQ         599 56     0
QSO: 21000 CW 2017-05-27 0049 K5ME          599 022    KH6TU         599 100    0
QSO: 21000 CW 2017-05-27 0051 K5ME          599 023    K2SSS         599 056    0
QSO: 21000 CW 2017-05-27 0051 K5ME          599 024    N5SJ          599 26     0
QSO: 21000 CW 2017-05-27 0052 K5ME          599 025    WP3C          599 116    0
QSO: 21000 CW 2017-05-27 0053 K5ME          599 026    N8BJQ         599 058    0
QSO: 21000 CW 2017-05-27 0053 K5ME          599 027    KS9K          599 047    0
QSO: 21000 CW 2017-05-27 0054 K5ME          599 028    ZB2TT         599 45     0
QSO: 21000 CW 2017-05-27 0055 K5ME          599 029    NR4M          599 62     0
QSO:  3500 CW 2017-05-27 0117 K5ME          599 030    W3BGN         599 57     0
QSO:  3500 CW 2017-05-27 0118 K5ME          599 031    N9LQ          599 12     0
QSO:  3500 CW 2017-05-27 0122 K5ME          599 032    KU1CW         599 017    0
QSO: 14000 CW 2017-05-27 0128 K5ME          599 033    WT7V          599 198    0
QSO: 14000 CW 2017-05-27 0130 K5ME          599 034    OE2S          599 028    0
QSO: 14000 CW 2017-05-27 0132 K5ME          599 035    R4RR          599 157    0
QSO: 14000 CW 2017-05-27 0133 K5ME          599 036    W0RIC         599 173    0
QSO: 14000 CW 2017-05-27 0133 K5ME          599 037    K8MP          599 169    0
QSO: 14000 CW 2017-05-27 0135 K5ME          599 038    EI7KD         599 192    0
QSO: 14000 CW 2017-05-27 0136 K5ME          599 039    RT9A          599 151    0
QSO: 14000 CW 2017-05-27 0138 K5ME          599 040    KI6RRN        599 110    0
QSO: 14000 CW 2017-05-27 0138 K5ME          599 041    W4UAT         599 44     0
QSO: 14000 CW 2017-05-27 0140 K5ME          599 042    WS9V          599 88     0
QSO: 14000 CW 2017-05-27 0140 K5ME          599 043    K0MD          599 199    0
QSO: 14000 CW 2017-05-27 0142 K5ME          599 044    RK4FF         599 19     0
QSO: 14000 CW 2017-05-27 0143 K5ME          599 045    N4WO          599 080    0
QSO: 14000 CW 2017-05-27 0144 K5ME          599 046    K6AR          599 184    0
QSO: 14000 CW 2017-05-27 0145 K5ME          599 047    WJ9B          599 126    0
QSO: 14000 CW 2017-05-27 0146 K5ME          599 048    NW6H          599 192    0
QSO: 14000 CW 2017-05-27 0147 K5ME          599 049    RK3T          599 38     0
QSO: 14000 CW 2017-05-27 0148 K5ME          599 050    NS0R          599 128    0
QSO: 14000 CW 2017-05-27 0151 K5ME          599 051    K9CT          599 235    0
QSO: 14000 CW 2017-05-27 0153 K5ME          599 052    9A1A          599 257    0
QSO: 14000 CW 2017-05-27 0155 K5ME          599 053    UP2L          599 230    0
QSO: 14000 CW 2017-05-27 0158 K5ME          599 054    HK1R          599 294    0
QSO: 14000 CW 2017-05-27 0159 K5ME          599 055    WK7S          599 202    0
QSO: 14000 CW 2017-05-27 0201 K5ME          599 056    CR6K          599 346    0
QSO:  3500 CW 2017-05-27 1119 K5ME          599 057    NA6O          599 149    0
QSO:  3500 CW 2017-05-27 1121 K5ME          599 058    WQ6X          599 86     0
