START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: M8C
CLUB:
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 446418
OPERATORS: G4DBL
SOAPBOX: Most operating done during Sunday.  The geo-magnetic storm was an
SOAPBOX: interesting challenge. Compensated by the great Sporadic E
SOAPBOX: conditions in the evening, including multi-hop to the USA on 10m.
NAME: Tim Stanley
CREATED-BY: N1MM Logger+ 1.0.6349.0
QSO:  7000 CW 2017-05-27 0444 M8C           599 0001   NY4A          599 0651
QSO:  7000 CW 2017-05-27 0510 M8C           599 0002   DM9K          599 0497
QSO:  7000 CW 2017-05-27 0511 M8C           599 0003   OG25YL        599 0327
QSO:  7000 CW 2017-05-27 0514 M8C           599 0004   OZ0Q          599 0274
QSO:  7000 CW 2017-05-27 0516 M8C           599 0005   9A1A          599 0429
QSO:  7000 CW 2017-05-27 0518 M8C           599 0006   DM1517L       599 0351
QSO:  7000 CW 2017-05-27 0519 M8C           599 0007   K3LR          599 0502
QSO:  7000 CW 2017-05-27 0520 M8C           599 0008   KU2G          599 0596
QSO:  7000 CW 2017-05-27 0521 M8C           599 0009   S50A          599 0543
QSO:  7000 CW 2017-05-27 0521 M8C           599 0010   YU1NA         599 0324
QSO:  7000 CW 2017-05-27 0522 M8C           599 0011   OL6A          599 0022
QSO:  7000 CW 2017-05-27 0523 M8C           599 0012   I2VXJ         599 0354
QSO:  7000 CW 2017-05-27 0524 M8C           599 0013   SN8C          599 0509
QSO:  7000 CW 2017-05-27 0525 M8C           599 0014   AC1U          599 0536
QSO:  7000 CW 2017-05-27 0527 M8C           599 0015   NR3X          599 0815
QSO:  7000 CW 2017-05-27 0531 M8C           599 0016   N3RS          599 0585
QSO:  7000 CW 2017-05-27 0532 M8C           599 0017   SN8B          599 0556
QSO:  7000 CW 2017-05-27 0533 M8C           599 0018   UY2UQ         599 0185
QSO:  7000 CW 2017-05-27 0534 M8C           599 0019   KQ2M          599 0693
QSO:  7000 CW 2017-05-27 0534 M8C           599 0020   YT7A          599 0586
QSO:  7000 CW 2017-05-27 0536 M8C           599 0021   DF4XX         599 0232
QSO:  7000 CW 2017-05-27 0538 M8C           599 0022   OE9WGI        599 0079
QSO: 28000 CW 2017-05-27 0958 M8C           599 0023   EC2DX         599 0217
QSO: 28000 CW 2017-05-27 1000 M8C           599 0024   DH8BQA        599 0172
QSO: 28000 CW 2017-05-27 1000 M8C           599 0025   OL4A          599 0080
QSO: 21000 CW 2017-05-27 1806 M8C           599 0026   EB7KA         599 0101
QSO: 21000 CW 2017-05-27 1807 M8C           599 0027   VM1K          599 0661
QSO: 21000 CW 2017-05-27 1810 M8C           599 0028   PW2D          599 0775
QSO: 14000 CW 2017-05-27 1815 M8C           599 0029   HA7GN         599 0643
QSO: 14000 CW 2017-05-27 1816 M8C           599 0030   YU4A          599 0336
QSO: 14000 CW 2017-05-27 1817 M8C           599 0031   WW4R          599 0524
QSO: 14000 CW 2017-05-27 1818 M8C           599 0032   Z3B           599 1106
QSO: 14000 CW 2017-05-27 1818 M8C           599 0033   E77W          599 1159
QSO: 14000 CW 2017-05-27 1819 M8C           599 0034   KE1J          599 0352
QSO: 14000 CW 2017-05-27 1820 M8C           599 0035   N8AA          599 0074
QSO: 14000 CW 2017-05-27 1820 M8C           599 0036   NR4M          599 1120
QSO: 14000 CW 2017-05-27 1822 M8C           599 0037   NB3I          599 0370
QSO: 14000 CW 2017-05-27 1824 M8C           599 0038   9A9K          599 0318
QSO: 14000 CW 2017-05-27 1825 M8C           599 0039   WT7V          599 1014
QSO: 14000 CW 2017-05-27 1825 M8C           599 0040   II9P          599 1382
QSO: 14000 CW 2017-05-27 1826 M8C           599 0041   K9CT          599 1191
QSO: 14000 CW 2017-05-27 1827 M8C           599 0042   SV5DKL        599 1000
QSO: 14000 CW 2017-05-27 1827 M8C           599 0043   HG8C          599 0453
QSO: 14000 CW 2017-05-27 1828 M8C           599 0044   E79D          599 0322
QSO: 14000 CW 2017-05-27 1828 M8C           599 0045   AA3B          599 1639
QSO: 14000 CW 2017-05-27 1829 M8C           599 0046   HG7T          599 1153
QSO: 14000 CW 2017-05-27 1830 M8C           599 0047   YU3EEA        599 0244
QSO: 14000 CW 2017-05-27 1831 M8C           599 0048   IT9LKX        599 0431
QSO: 14000 CW 2017-05-27 1831 M8C           599 0049   Z33C          599 0602
QSO: 14000 CW 2017-05-27 1832 M8C           599 0050   SZ1A          599 1044
QSO: 14000 CW 2017-05-27 1832 M8C           599 0051   Z31NA         599 0507
QSO: 14000 CW 2017-05-27 1833 M8C           599 0052   WO4O          599 1081
QSO: 14000 CW 2017-05-27 1833 M8C           599 0053   VE9AA         599 0800
QSO: 14000 CW 2017-05-27 1834 M8C           599 0054   NG1R          599 0352
QSO: 14000 CW 2017-05-27 1835 M8C           599 0055   TA7I          599 0091
QSO: 14000 CW 2017-05-27 1836 M8C           599 0056   VE2FK         599 0305
QSO: 14000 CW 2017-05-27 1836 M8C           599 0057   LZ7M          599 0200
QSO: 14000 CW 2017-05-27 2213 M8C           599 0058   EF5F          599 1267
QSO: 14000 CW 2017-05-27 2214 M8C           599 0059   YT3X          599 1519
QSO: 14000 CW 2017-05-27 2216 M8C           599 0060   9A7A          599 2449
QSO: 14000 CW 2017-05-27 2217 M8C           599 0061   RM5A          599 1174
QSO: 14000 CW 2017-05-27 2218 M8C           599 0062   K5WA          599 1658
QSO: 14000 CW 2017-05-27 2220 M8C           599 0063   TM77M         599 0628
QSO: 14000 CW 2017-05-27 2221 M8C           599 0064   VE3QA         599 0559
QSO: 14000 CW 2017-05-27 2223 M8C           599 0065   YU5A          599 0616
QSO: 14000 CW 2017-05-27 2224 M8C           599 0066   IZ8GCB        599 0404
QSO: 14000 CW 2017-05-27 2224 M8C           599 0067   K3WJV         599 0593
QSO: 14000 CW 2017-05-27 2226 M8C           599 0068   VE9HF         599 0432
QSO: 14000 CW 2017-05-27 2227 M8C           599 0069   UX3IO         599 1145
QSO: 14200 CW 2017-05-27 2231 M8C           599 0070   AA4CF         599 0451
QSO: 14200 CW 2017-05-27 2232 M8C           599 0071   WA2CP         599 0281
QSO: 14000 CW 2017-05-27 2234 M8C           599 0072   UY5AR         599 0283
QSO: 14000 CW 2017-05-27 2235 M8C           599 0073   EA5KV         599 0474
QSO: 14000 CW 2017-05-27 2235 M8C           599 0074   ZF2DO         599 1085
QSO: 14000 CW 2017-05-27 2237 M8C           599 0075   SN7C          599 1925
QSO: 14000 CW 2017-05-27 2238 M8C           599 0076   OM7ND         599 1535
QSO: 14000 CW 2017-05-27 2239 M8C           599 0077   NF4U          599 0682
QSO: 14000 CW 2017-05-27 2239 M8C           599 0078   P44X          599 1544
QSO: 14000 CW 2017-05-27 2241 M8C           599 0079   8P5A          599 2439
QSO: 14000 CW 2017-05-27 2242 M8C           599 0080   WK2G          599 0820
QSO: 14000 CW 2017-05-27 2242 M8C           599 0081   KM5PS         599 0543
QSO: 14000 CW 2017-05-27 2243 M8C           599 0082   KE1I          599 0528
QSO: 14000 CW 2017-05-27 2244 M8C           599 0083   LZ3FN         599 1372
QSO: 14000 CW 2017-05-27 2251 M8C           599 0084   P33W          599 2241
QSO: 14000 CW 2017-05-27 2251 M8C           599 0085   VA2ES         599 0342
QSO: 14000 CW 2017-05-27 2252 M8C           599 0086   W3KB          599 0254
