START-OF-LOG: 3.0
CALLSIGN: AA7ST
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: John Smith
LOCATION: AZ
OPERATORS: 
CLUB:
CERTIFICATE: NO
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
SOAPBOX: First contest in decades! First licensed in 1959 and just reinstated.
QSO: 14005 CW 2017-05-27 1704  AA7ST         599 1      K0AD          599 478    0
QSO: 14010 CW 2017-05-27 1706  AA7ST         599 2      NA6O          599 979    0
QSO: 14016 CW 2017-05-27 1708  AA7ST         599 3      VE5MX         599 566    0
QSO: 14018 CW 2017-05-27 1709  AA7ST         599 4      N6SJ          599 111    0
QSO: 14052 CW 2017-05-27 1718  AA7ST         599 5      XO1X          599 440    0
QSO: 14058 CW 2017-05-27 1720  AA7ST         599 6      CG6WQ         599 285    0
QSO: 14039 CW 2017-05-27 1728  AA7ST         599 7      KN7K          599 243    0
QSO: 14031 CW 2017-05-27 1732  AA7ST         599 8      KN7NV         599 1505   0
QSO: 14004 CW 2017-05-27 1735  AA7ST         599 9      XE2B          599 431    0
QSO: 14003 CW 2017-05-27 1738  AA7ST         599 10     K5WA          599 1286   0
QSO: 14044 CW 2017-05-27 1803  AA7ST         599 11     K9OM          599 780    0
QSO: 14069 CW 2017-05-27 1817  AA7ST         599 12     K9LJN         599 619    0
QSO: 14002 CW 2017-05-28 0422  AA7ST         599 13     E51DWC        599 1147   0
QSO: 14008 CW 2017-05-28 0426  AA7ST         599 14     ZM4T          599 578    0
QSO: 14009 CW 2017-05-28 0429  AA7ST         599 15     WA7NB         599 97     0
QSO: 14010 CW 2017-05-28 0430  AA7ST         599 16     K3LR          599 1621   0
QSO: 14018 CW 2017-05-28 0440  AA7ST         599 17     VK7GN         599 297    0
QSO: 14022 CW 2017-05-28 0443  AA7ST         599 18     NA6O          599 1374   0
QSO: 14027 CW 2017-05-28 0448  AA7ST         599 19     RT0F          599 1435   0
QSO: 14030 CW 2017-05-28 0451  AA7ST         599 20     NF4A          599 825    0
QSO: 14034 CW 2017-05-28 0454  AA7ST         599 21     WR5J          599 968    0
QSO: 14040 CW 2017-05-28 0459  AA7ST         599 22     K6AAM         599 927    0
QSO: 14044 CW 2017-05-28 0500  AA7ST         599 23     W4UAT         599 438    0
QSO: 14046 CW 2017-05-28 0506  AA7ST         599 24     VK7CW         599 148    0
QSO: 14026 CW 2017-05-28 0513  AA7ST         599 25     NH7A          599 1576   0
QSO: 14002 CW 2017-05-28 0527  AA7ST         599 26     EH1ZWC        599 1216   0
QSO: 14017 CW 2017-05-28 0535  AA7ST         599 27     JN2AMD        599 1118   0
QSO:  7045 CW 2017-05-28 0551  AA7ST         599 28     NH7A          599 541    0
QSO:  7043 CW 2017-05-28 0552  AA7ST         599 29     NY5B          599 655    0
QSO:  7037 CW 2017-05-28 0554  AA7ST         599 30     N4YA          599 460    0
QSO:  7035 CW 2017-05-28 0555  AA7ST         599 31     WQ5MM         599 1099   0
QSO:  7031 CW 2017-05-28 0556  AA7ST         599 32     K3LR          599 1104   0
QSO:  7028 CW 2017-05-28 0559  AA7ST         599 33     AD4ES         599 1340   0
QSO:  7017 CW 2017-05-28 0601  AA7ST         599 34     KH6FP         599 269    0
QSO:  7013 CW 2017-05-28 0603  AA7ST         599 35     KH6ND/NZ7     599 441    0
QSO:  7009 CW 2017-05-28 0605  AA7ST         599 36     NR4M          599 1377   0
QSO:  7008 CW 2017-05-28 0607  AA7ST         599 37     K5WA          599 2129   0
QSO:  7006 CW 2017-05-28 0609  AA7ST         599 38     W0EWD         599 359    0
QSO:  7007 CW 2017-05-28 0612  AA7ST         599 39     K9CT          599 860    0
QSO:  7015 CW 2017-05-28 0614  AA7ST         599 40     W6YX          599 560    0
QSO:  7022 CW 2017-05-28 0615  AA7ST         599 41     NG7A          599 1641   0
QSO: 14026 CW 2017-05-28 1825  AA7ST         599 42     N6NF          599 415    0
QSO: 14043 CW 2017-05-28 1827  AA7ST         599 43     NQ6N          599 2018   0
QSO: 14011 CW 2017-05-28 1832  AA7ST         599 44     VE7NY         599 1599   0
QSO: 14042 CW 2017-05-28 1837  AA7ST         599 45     KA3DRR        599 648    0
QSO: 14020 CW 2017-05-28 1842  AA7ST         599 46     VA7ST         599 1155   0
QSO: 14015 CW 2017-05-28 1845  AA7ST         599 47     VB3E          599 2749   0
QSO: 14027 CW 2017-05-28 1848  AA7ST         599 48     KK5I          599 1312   0
QSO: 14034 CW 2017-05-28 1851  AA7ST         599 49     NY5B          599 958    0
QSO: 14002 CW 2017-05-28 1900  AA7ST         599 50     AD7JP         599 1711   0
QSO: 14025 CW 2017-05-28 1904  AA7ST         599 51     N3BB          599 694    0
QSO: 14031 CW 2017-05-28 1907  AA7ST         599 52     AD4EB         599 923    0
QSO: 14041 CW 2017-05-28 1910  AA7ST         599 53     NK8Q          599 644    0
QSO: 14055 CW 2017-05-28 1912  AA7ST         599 54     W0UY          599 335    0
QSO: 14044 CW 2017-05-28 1916  AA7ST         599 55     KS7AA         599 672    0
QSO: 14031 CW 2017-05-28 1919  AA7ST         599 56     KU6F          599 1500   0
QSO: 14027 CW 2017-05-28 1924  AA7ST         599 57     K7XC          599 430    0
END-OF-LOG:
